TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,3,0.0,0.56,-9.6,0.381628,0.303595,0.108704,0.0,0.0,0.0,-18.975,-9999.0
201301010030,201301010100,-9999.0,3,0.0,1.474,-10.1,0.371763,0.268096,0.106647,0.0,0.0,0.0,-16.3,48.0
201301010100,201301010130,-9999.0,3,0.0,1.401,-10.5,0.363861,0.283778,0.104988,0.0,0.0,0.0,-16.25,49.0
201301010130,201301010200,-9999.0,3,0.0,1.407,-10.2,0.369788,0.266087,0.106233,0.0,0.0,0.0,-16.2,50.0
201301010200,201301010230,-9999.0,3,0.0,1.264,-10.5,0.363861,0.283778,0.104988,0.0,0.0,0.0,-16.2,54.0
201301010230,201301010300,-9999.0,3,0.0,1.031,-11.9,0.33617,0.282359,0.099096,0.0,0.0,0.0,-16.2,58.0
201301010300,201301010330,-9999.0,3,0.0,0.879,-12.8,0.318368,0.30864,0.095239,0.0,0.0,0.0,-16.15,61.5
201301010330,201301010400,-9999.0,3,0.0,0.786,-13.0,0.314415,0.304643,0.094374,0.0,0.0,0.0,-16.1,65.0
201301010400,201301010430,-9999.0,3,0.0,0.808,-13.0,0.314415,0.304643,0.094374,0.0,0.0,0.0,-16.1,64.0
201301010430,201301010500,-9999.0,3,0.0,0.851,-12.7,0.320345,0.302558,0.09567,0.0,0.0,0.0,-16.1,63.0
201301010500,201301010530,-9999.0,3,0.0,0.837,-13.4,0.306515,0.322728,0.092638,0.0,0.0,0.0,-16.1,61.5
201301010530,201301010600,-9999.0,3,0.0,0.936,-12.5,0.3243,0.289739,0.09653,0.0,0.0,0.0,-16.1,60.0
201301010600,201301010630,-9999.0,3,0.0,0.826,-13.4,0.306515,0.322728,0.092638,0.0,0.0,0.0,-16.1,62.0
201301010630,201301010700,-9999.0,3,0.0,0.795,-13.2,0.310464,0.326717,0.093507,0.0,0.0,0.0,-16.1,64.0
201301010700,201301010730,-9999.0,3,0.0,0.675,-14.5,0.284848,0.365388,0.087813,0.0,0.0,0.0,-16.1,66.0
201301010730,201301010800,-9999.0,3,0.0,0.668,-13.9,0.296654,0.377285,0.090454,0.0,0.0,0.0,-16.1,68.0
201301010800,201301010830,-9999.0,3,0.0,0.677,-14.1,0.292715,0.373314,0.089576,0.0,0.0,0.0,-16.1,67.0
201301010830,201301010900,-9999.0,3,0.0,0.727,-13.6,0.302568,0.342722,0.091766,0.0,0.0,0.0,-16.1,66.0
201301010900,201301010930,-9999.0,3,0.0,0.631,-13.8,0.298625,0.379273,0.090892,0.0,0.0,0.0,-16.15,70.0
201301010930,201301011000,-9999.0,3,0.0,0.479,-15.4,0.267216,0.31947,0.083813,0.0,0.0,0.0,-16.2,74.0
201301011000,201301011030,-9999.0,3,0.0,0.534,-16.2,0.251646,0.229555,0.08022,0.0,0.0,0.0,-16.25,69.0
201301011030,201301011100,-9999.0,3,0.0,0.68,-15.1,0.273082,0.353548,0.085151,0.0,0.0,0.0,-16.3,64.0
201301011100,201301011130,-9999.0,3,0.0,0.593,-16.4,0.247771,0.225674,0.079317,0.0,0.0,0.0,-16.35,65.0
201301011130,201301011200,-9999.0,3,0.0,0.611,-15.7,0.261364,0.236682,0.082469,0.0,0.0,0.0,-16.4,66.0
201301011200,201301011230,-9999.0,3,0.0,0.517,-16.6,0.243905,0.221803,0.078412,0.0,0.0,0.0,-16.5,69.0
201301011230,201301011300,-9999.0,3,0.0,0.444,-17.2,0.23236,0.152898,0.075686,0.0,0.0,0.0,-16.6,72.0
201301011300,201301011330,-9999.0,3,0.0,0.511,-17.3,0.230444,0.150984,0.07523,0.0,0.0,0.0,-16.7,67.5
201301011330,201301011400,-9999.0,3,0.0,0.612,-16.7,0.241975,0.219872,0.077959,0.0,0.0,0.0,-16.8,63.0
201301011400,201301011430,-9999.0,3,0.0,0.511,-18.0,0.21711,0.137683,0.072029,0.0,0.0,0.0,-16.9,65.5
201301011430,201301011500,-9999.0,3,0.0,0.442,-18.8,0.202053,0.122702,0.068348,0.0,0.0,0.0,-17.0,68.0
201301011500,201301011530,-9999.0,3,0.0,0.587,-16.0,0.255528,0.22406,0.081121,0.0,0.0,0.0,-17.1,66.5
201301011530,201301011600,-9999.0,3,0.0,0.55,-17.3,0.230444,0.150984,0.07523,0.0,0.0,0.0,-17.2,65.0
201301011600,201301011630,-9999.0,3,0.0,0.478,-18.6,0.205797,0.126424,0.06927,0.0,0.0,0.0,-17.25,66.0
201301011630,201301011700,-9999.0,3,0.0,0.48,-18.2,0.213326,0.133915,0.07111,0.0,0.0,0.0,-17.3,67.0
201301011700,201301011730,-9999.0,3,0.0,0.512,-18.3,0.211439,0.132036,0.070651,0.0,0.0,0.0,-17.35,64.5
201301011730,201301011800,-9999.0,3,0.0,0.65,-16.3,0.249707,0.227613,0.079769,0.0,0.0,0.0,-17.4,62.0
201301011800,201301011830,-9999.0,3,0.0,0.666,-16.0,0.255528,0.22406,0.081121,0.0,0.0,0.0,-17.45,62.0
201301011830,201301011900,-9999.0,3,0.0,0.618,-16.9,0.238122,0.244068,0.077051,0.0,0.0,0.0,-17.5,62.0
201301011900,201301011930,-9999.0,3,0.0,0.62,-16.7,0.241975,0.219872,0.077959,0.0,0.0,0.0,-17.55,62.5
201301011930,201301012000,-9999.0,3,0.0,0.649,-16.0,0.255528,0.22406,0.081121,0.0,0.0,0.0,-17.6,63.0
201301012000,201301012030,-9999.0,3,0.0,0.676,-15.5,0.265264,0.240597,0.083365,0.0,0.0,0.0,-17.6,63.0
201301012030,201301012100,-9999.0,3,0.0,0.649,-16.0,0.255528,0.22406,0.081121,0.0,0.0,0.0,-17.6,63.0
201301012100,201301012130,-9999.0,3,0.0,0.737,-15.4,0.267216,0.31947,0.083813,0.0,0.0,0.0,-17.6,60.0
201301012130,201301012200,-9999.0,3,0.0,0.813,-15.1,0.273082,0.353548,0.085151,0.0,0.0,0.0,-17.6,57.0
201301012200,201301012230,-9999.0,3,0.0,0.707,-15.9,0.257472,0.226009,0.081571,0.0,0.0,0.0,-17.6,60.0
201301012230,201301012300,-9999.0,3,0.0,0.562,-17.7,0.222808,0.143363,0.073403,0.0,0.0,0.0,-17.6,63.0
201301012300,201301012330,-9999.0,3,0.0,0.664,-16.8,0.240047,0.245993,0.077505,0.0,0.0,0.0,-17.6,59.5
201301012330,201301020000,-9999.0,3,0.0,0.867,-14.6,0.282884,0.36341,0.087371,0.0,0.0,0.0,-17.6,56.0
201301020000,201301020030,-9999.0,3,0.0,0.698,-16.2,0.251646,0.229555,0.08022,0.0,0.0,0.0,-17.65,59.5
201301020030,201301020100,-9999.0,3,0.0,0.622,-16.5,0.245837,0.223737,0.078865,0.0,0.0,0.0,-17.7,63.0
201301020100,201301020130,-9999.0,3,0.0,0.808,-14.3,0.28878,0.369348,0.088696,0.0,0.0,0.0,-17.65,60.0
201301020130,201301020200,-9999.0,3,0.0,0.76,-15.9,0.257472,0.226009,0.081571,0.0,0.0,0.0,-17.6,57.0
201301020200,201301020230,-9999.0,3,0.0,0.758,-15.8,0.259417,0.234728,0.08202,0.0,0.0,0.0,-17.65,57.5
201301020230,201301020300,-9999.0,3,0.0,0.73,-16.1,0.253586,0.222113,0.080671,0.0,0.0,0.0,-17.7,58.0
