TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,0.249,12.67,2.11424,0.599713,1.38444,0.0,0.0,0.0,3.919,98.3
200601010030,200601010100,-9999.0,1,0.0,0.435,13.55,2.19994,0.684754,1.44424,0.0,0.0,0.0,3.988,97.2
200601010100,200601010130,-9999.0,1,0.0,0.642,13.68,2.21267,0.680625,1.45314,0.0,0.0,0.0,4.126,95.9
200601010130,200601010200,-9999.0,1,0.0,0.755,13.75,2.21954,0.706818,1.45793,0.0,0.0,0.0,4.275,95.2
200601010200,200601010230,-9999.0,1,0.0,0.944,13.75,2.21954,0.683738,1.45793,0.0,0.0,0.0,4.413,94.0
200601010230,200601010300,-9999.0,1,0.0,1.261,13.78,2.22248,0.662961,1.45999,0.0,0.0,0.0,4.534,92.0
200601010300,200601010330,-9999.0,1,0.0,1.351,13.73,2.21758,0.649287,1.45656,0.0,0.0,0.0,4.63,91.4
200601010330,200601010400,-9999.0,1,0.0,1.387,13.78,2.22248,0.628491,1.45999,0.0,0.0,0.0,4.719,91.2
200601010400,200601010430,-9999.0,1,0.0,1.394,13.86,2.23033,0.598203,1.46548,0.0,0.0,0.0,4.798,91.2
200601010430,200601010500,-9999.0,1,0.0,1.524,13.89,2.23328,0.565399,1.46754,0.0,0.0,0.0,4.873,90.4
200601010500,200601010530,-9999.0,1,0.0,1.699,13.89,2.23328,0.544519,1.46754,0.0,0.0,0.0,4.956,89.3
200601010530,200601010600,-9999.0,1,0.0,1.937,13.89,2.23328,0.510569,1.46754,0.0,0.0,0.0,5.03,87.8
200601010600,200601010630,-9999.0,1,0.0,2.155,13.97,2.24114,0.50316,1.47304,0.0,0.0,0.0,5.073,86.5
200601010630,200601010700,-9999.0,1,0.0,2.072,13.95,2.23917,0.503085,1.47166,0.0,0.0,0.0,5.13,87.0
200601010700,200601010730,-9999.0,1,0.0,2.456,13.96,2.24016,0.521087,1.47235,0.0,0.0872493,0.206,5.18,84.6
200601010730,200601010800,-9999.0,1,0.967,2.791,13.96,2.24016,0.470577,1.47235,0.060236,64.1116,2.984,5.22,82.5
200601010800,200601010830,-9999.0,1,4.12,3.186,14.02,2.24606,0.476477,1.47648,0.254831,177.853,9.47,5.239,80.1
200601010830,200601010900,-9999.0,1,16.05,3.114,14.06,2.24999,0.480413,1.47923,0.966895,282.35,33.24,5.262,80.6
200601010900,200601010930,-9999.0,2,29.56,3.052,14.07,2.25098,2.77876,1.47992,1.7298,375.814,60.62,5.283,81.0
200601010930,200601011000,-9999.0,2,42.72,3.188,14.03,2.24704,4.15102,1.47717,2.43209,456.646,88.7,5.315,80.1
200601011000,200601011030,-9999.0,2,31.05,3.552,14.01,2.24507,2.59999,1.47579,1.81128,523.463,66.96,5.354,77.8
200601011030,200601011100,-9999.0,2,36.53,3.422,14.07,2.25098,3.37041,1.47992,2.10656,575.121,78.9,5.377,78.7
200601011100,200601011130,-9999.0,2,42.58,3.321,14.05,2.24901,3.94515,1.47854,2.42482,610.737,91.0,5.403,79.3
200601011130,200601011200,-9999.0,2,27.61,3.236,13.95,2.23917,2.1701,1.47166,1.62239,629.702,62.28,5.437,79.7
200601011200,200601011230,-9999.0,2,34.05,3.666,13.95,2.23917,2.90347,1.47166,1.97377,631.69,74.7,5.462,77.0
200601011230,200601011300,-9999.0,2,24.53,3.454,13.86,2.23033,1.96689,1.46548,1.45092,616.669,55.21,5.483,78.2
200601011300,200601011330,-9999.0,1,15.41,3.142,13.65,2.20974,0.440156,1.45108,0.929638,584.894,36.62,5.481,79.9
200601011330,200601011400,-9999.0,2,20.99,3.64,13.84,2.22837,1.23985,1.46411,1.25102,536.909,46.81,5.496,77.0
200601011400,200601011430,-9999.0,1,17.55,3.738,13.79,2.22346,0.453882,1.46068,1.05381,473.536,39.56,5.498,76.3
200601011430,200601011500,-9999.0,1,11.16,3.596,13.79,2.22346,0.453882,1.46068,0.679557,395.859,24.63,5.496,77.2
200601011500,200601011530,-9999.0,1,13.32,3.545,13.91,2.23524,0.465664,1.46892,0.80724,305.207,28.78,5.497,77.7
200601011530,200601011600,-9999.0,1,10.82,2.807,13.7,2.21464,0.445056,1.45451,0.659348,203.131,23.12,5.517,82.1
200601011600,200601011630,-9999.0,1,6.25,2.013,13.27,2.17258,0.403003,1.42513,0.384741,91.378,12.03,5.564,86.8
200601011630,200601011700,-9999.0,1,1.515,2.593,13.64,2.20876,0.439175,1.4504,0.094256,4.45578,2.706,5.571,83.4
200601011700,200601011730,-9999.0,1,0.0,2.71,13.77,2.2215,0.451919,1.45931,0.0,0.0,0.05,5.586,82.8
200601011730,200601011800,-9999.0,1,0.0,1.608,13.19,2.16478,0.395201,1.41969,0.0,0.0,0.0,5.631,89.4
200601011800,200601011830,-9999.0,1,0.0,1.225,12.95,2.14142,0.344758,1.40339,0.0,0.0,0.0,5.653,91.8
200601011830,200601011900,-9999.0,1,0.0,0.787,12.58,2.10553,0.246067,1.37837,0.0,0.0,0.0,5.689,94.6
200601011900,200601011930,-9999.0,1,0.0,1.455,13.02,2.14823,0.224616,1.40814,0.0,0.0,0.0,5.718,90.3
200601011930,200601012000,-9999.0,1,0.0,1.918,13.49,2.19407,0.283623,1.44014,0.0,0.0,0.0,5.733,87.6
200601012000,200601012030,-9999.0,1,0.0,2.437,13.84,2.22837,0.281919,1.46411,0.0,0.0,0.0,5.759,84.6
200601012030,200601012100,-9999.0,1,0.0,2.699,13.98,2.24212,0.231334,1.47373,0.0,0.0,0.0,5.818,83.1
200601012100,200601012130,-9999.0,1,0.0,2.879,14.09,2.25295,0.196985,1.4813,0.0,0.0,0.0,5.788,82.1
200601012130,200601012200,-9999.0,1,0.0,3.295,14.23,2.26674,0.410306,1.49095,0.0,0.0,0.0,5.812,79.7
200601012200,200601012230,-9999.0,1,0.0,2.076,13.51,2.19603,0.554849,1.44151,0.0,0.0,0.0,5.85,86.6
200601012230,200601012300,-9999.0,1,0.0,1.029,12.07,2.05631,0.444524,1.34411,0.0,0.0,0.0,5.928,92.7
200601012300,200601012330,-9999.0,1,0.0,0.547,10.88,1.9427,0.330913,1.26523,0.0,0.0,0.0,5.941,95.8
200601012330,200601020000,-9999.0,1,0.0,0.433,10.54,1.91057,0.298782,1.24297,0.0,0.0,0.0,5.888,96.6
200601020000,200601020030,-9999.0,1,0.0,0.466,10.36,1.89362,0.281833,1.23124,0.0,0.0,0.0,5.822,96.3
200601020030,200601020100,-9999.0,1,0.0,0.416,10.38,1.89551,0.283715,1.23254,0.0,0.0,0.0,5.751,96.7
200601020100,200601020130,-9999.0,1,0.0,0.401,10.31,1.88892,0.277133,1.22799,0.0,0.0,0.0,5.692,96.8
200601020130,200601020200,-9999.0,1,0.0,0.448,9.4,1.80397,0.192181,1.1693,0.0,0.0,0.0,5.639,96.2
200601020200,200601020230,-9999.0,2,0.0,0.319,9.96,1.85611,0.244324,1.2053,0.0,0.0,0.0,5.532,97.4
200601020230,200601020300,-9999.0,2,0.0,0.471,10.12,1.87109,0.324932,1.21565,0.0,0.0,0.0,5.453,96.2
200601020300,200601020330,-9999.0,2,0.0,0.987,10.25,1.88329,0.336387,1.22409,0.0,0.0,0.0,5.416,92.1
200601020330,200601020400,-9999.0,2,0.0,1.361,10.25,1.88329,0.343297,1.22409,0.0,0.0,0.0,5.385,89.1
200601020400,200601020430,-9999.0,2,0.0,1.186,9.78,1.83931,0.227516,1.19369,0.0,0.0,0.0,5.357,90.2
200601020430,200601020500,-9999.0,2,0.0,1.449,9.62,1.8244,-0.032027,1.1834,0.0,0.0,0.0,5.309,87.9
200601020500,200601020530,-9999.0,2,0.0,2.849,10.39,1.89644,0.355375,1.23319,0.0,0.0,0.0,5.215,77.4
200601020530,200601020600,-9999.0,2,0.0,3.234,10.42,1.89927,0.355398,1.23514,0.0,0.0,0.0,5.124,74.4
200601020600,200601020630,-9999.0,2,0.0,3.262,10.49,1.90586,0.34602,1.23971,0.0,0.0,0.0,5.012,74.3
200601020630,200601020700,-9999.0,2,0.0,3.314,10.38,1.89551,0.351635,1.23254,0.0,0.0,0.0,4.927,73.7
200601020700,200601020730,-9999.0,2,0.771,3.349,10.77,1.93229,0.379511,1.25801,0.048048,0.133697,1.323,4.814,74.1
200601020730,200601020800,-9999.0,2,11.16,3.173,10.61,1.91718,0.462655,1.24754,0.679557,65.5424,17.77,4.748,75.2
200601020800,200601020830,-9999.0,2,13.82,1.342,9.24,1.78915,-0.121296,1.15908,0.836623,179.353,29.42,4.716,88.5
200601020830,200601020900,-9999.0,2,47.7,0.763,8.66,1.73575,4.34143,1.1223,2.68801,283.913,91.7,4.68,93.2
200601020900,200601020930,-9999.0,2,76.6,0.734,9.46,1.80954,7.9459,1.17314,4.07624,377.434,148.6,4.623,93.8
200601020930,200601021000,-9999.0,2,27.79,0.663,9.18,1.78361,2.05947,1.15526,1.63235,458.315,58.6,4.662,94.3
200601021000,200601021030,-9999.0,2,80.7,0.426,9.45,1.80861,8.36488,1.1725,4.26077,525.172,159.8,4.654,96.4
200601021030,200601021100,-9999.0,2,115.8,0.715,10.57,1.9134,9.10676,1.24493,5.72953,576.862,223.2,4.649,94.4
200601021100,200601021130,-9999.0,2,265.1,1.732,11.69,2.01985,14.5023,1.31876,10.3487,612.5,498.6,4.697,87.4
200601021130,200601021200,-9999.0,2,137.4,2.225,12.06,2.05535,11.047,1.34344,6.54499,631.476,267.6,4.801,84.2
200601021200,200601021230,-9999.0,2,150.5,1.879,11.66,2.01697,11.3212,1.31676,7.01061,633.465,291.8,4.983,86.3
200601021230,200601021300,-9999.0,2,104.9,2.127,11.57,2.00837,8.75844,1.31078,5.29358,618.434,208.0,5.112,84.4
200601021300,200601021330,-9999.0,2,54.39,1.786,10.89,1.94365,5.34709,1.26588,3.02374,586.64,114.3,5.226,86.3
200601021330,200601021400,-9999.0,2,142.9,1.308,10.94,1.94839,9.54451,1.26917,6.74302,538.627,270.7,5.273,90.0
200601021400,200601021430,-9999.0,2,59.06,0.798,10.22,1.88047,5.46437,1.22214,3.25278,475.215,120.1,5.34,93.6
200601021430,200601021500,-9999.0,2,37.7,0.631,10.1,1.86922,2.98993,1.21436,2.16874,397.491,80.8,5.383,94.9
200601021500,200601021530,-9999.0,2,47.02,0.661,9.68,1.82999,4.04049,1.18725,2.65338,306.784,96.0,5.393,94.5
200601021530,200601021600,-9999.0,2,48.51,0.652,9.74,1.83558,4.43819,1.19111,2.72915,204.646,93.9,5.331,94.6
200601021600,200601021630,-9999.0,2,32.83,0.474,9.1,1.77622,2.05209,1.15017,1.90794,92.8253,58.75,5.294,95.9
200601021630,200601021700,-9999.0,2,5.515,0.469,8.23,1.69648,-0.162976,1.0953,0.340052,4.82964,12.73,5.268,95.7
200601021700,200601021730,-9999.0,2,0.0,0.446,7.85,1.66202,-0.071725,1.07164,0.0,0.0,0.342,5.178,95.8
200601021730,200601021800,-9999.0,2,0.0,0.393,7.85,1.66202,-0.071725,1.07164,0.0,0.0,0.0,5.053,96.3
200601021800,200601021830,-9999.0,2,0.0,0.364,7.97,1.67288,-0.107954,1.07909,0.0,0.0,0.0,4.945,96.6
200601021830,200601021900,-9999.0,2,0.0,0.47,7.92,1.66835,-0.112482,1.07598,0.0,0.0,0.0,4.878,95.6
200601021900,200601021930,-9999.0,2,0.0,0.48,7.9,1.66654,-0.114291,1.07474,0.0,0.0,0.0,4.794,95.5
