TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,1,0.0,2.506,0.38,0.717224,0.325183,0.177732,0.0,0.0,-0.606,3.588,60.11
201201010030,201201010100,-9999.0,1,0.0,2.513,0.22,0.707645,0.316512,0.172509,0.0,0.0,-0.644,3.531,59.53
201201010100,201201010130,-9999.0,1,0.0,2.481,0.12,0.701689,0.311109,0.169305,0.0,0.0,-0.644,3.481,59.74
201201010130,201201010200,-9999.0,1,0.0,2.4,0.26,0.710034,0.318677,0.173804,0.0,0.0,-0.448,3.418,61.45
201201010200,201201010230,0.354697,0,0.0,2.636,0.83,0.7445,0.507245,0.193076,0.0,0.0,-0.401,3.354,59.38
201201010230,201201010300,-0.168051,0,0.0,2.441,1.12,0.762337,1.04594,0.203488,0.0,0.0,-0.392,3.296,63.16
201201010300,201201010330,-9999.0,1,0.0,2.449,0.7,0.73657,0.342615,0.188543,0.0,0.0,-0.56,3.248,61.91
201201010330,201201010400,-9999.0,1,0.0,2.313,-0.25,0.679869,0.421188,0.157846,0.0,0.0,-0.774,3.199,61.45
201201010400,201201010430,-9999.0,1,0.0,2.159,-0.51,0.664739,0.276986,0.150159,0.0,0.0,-0.569,3.153,63.32
201201010430,201201010500,-9999.0,1,0.0,2.464,-0.02,0.693393,0.433532,0.164896,0.0,0.0,-0.616,3.099,59.62
201201010500,201201010530,-9999.0,1,0.0,2.516,0.85,0.745724,0.350827,0.19378,0.0,0.0,-0.42,3.044,61.28
201201010530,201201010600,0.632838,0,0.0,2.309,0.89,0.748174,0.232395,0.195195,0.0,0.0,-0.401,2.998,64.57
201201010600,201201010630,-9999.0,1,0.0,2.397,0.55,0.72747,0.334429,0.183414,0.0,0.0,-0.84,2.961,62.3
201201010630,201201010700,-9999.0,1,0.0,2.473,0.77,0.740835,0.346444,0.190973,0.0,0.0,-0.821,2.918,61.73
201201010700,201201010730,0.422827,0,0.0,2.695,1.52,0.78727,0.477202,0.218547,0.0,0.0,0.494,2.878,60.49
201201010730,201201010800,-0.269388,0,7.55,2.981,2.23,0.832457,1.20915,0.247352,0.206958,12.729,18.08,2.825,58.46
201201010800,201201010830,0.736537,0,43.25,3.32,2.59,0.855817,0.223577,0.263014,0.99314,109.477,82.9,2.796,54.91
201201010830,201201010900,-0.400199,0,113.5,3.767,3.96,0.947409,1.43893,0.329563,1.97539,214.529,206.9,2.76,53.56
201201010900,201201010930,-1.53455,0,187.6,4.456,5.5,1.05529,2.66371,0.418632,2.60095,309.478,336.2,2.725,50.68
201201010930,201201011000,-0.824038,0,188.4,4.637,6.27,1.1111,1.99915,0.469338,2.60632,392.698,336.8,2.7,51.34
201201011000,201201011030,-2.35233,0,150.1,4.592,6.74,1.14576,3.55572,0.502435,2.31983,462.764,260.6,2.687,53.35
201201011030,201201011100,-2.0858,0,155.9,4.692,7.15,1.17635,3.31399,0.532685,2.36745,518.48,268.9,2.691,53.66
201201011100,201201011130,-1.53006,0,346.0,5.719,8.85,1.30667,2.86231,0.672506,3.34339,558.89,608.8,2.732,49.69
201201011130,201201011200,-1.98029,0,424.3,7.315,10.63,1.4488,3.42339,0.845618,3.56586,583.304,750.0,2.84,42.9
201201011200,201201011230,-0.372002,0,441.9,8.049,11.54,1.52356,1.87243,0.945486,3.60811,591.304,773.0,3.003,40.86
201201011230,201201011300,-1.59663,0,168.4,7.306,11.1,1.48724,3.06929,0.896203,2.46465,582.753,299.2,3.233,44.73
201201011300,201201011330,-1.97736,0,129.0,6.578,10.81,1.46348,3.43177,0.864743,2.13133,557.798,226.9,3.49,49.27
201201011330,201201011400,-9999.0,1,115.6,6.417,11.03,1.48149,2.82786,0.888536,1.99749,516.865,203.8,3.716,51.23
201201011400,201201011430,-9999.0,1,97.4,6.826,11.29,1.50289,2.5143,0.917253,1.79475,460.654,173.5,3.919,49.01
201201011430,201201011500,-9999.0,1,67.89,6.237,11.34,1.50701,1.21739,0.922851,1.4019,390.128,120.9,4.109,53.56
201201011500,201201011530,-9999.0,1,60.17,6.059,11.36,1.50867,1.25708,0.925097,1.28298,306.493,107.4,4.279,54.95
201201011530,201201011600,-9999.0,1,33.77,5.847,11.27,1.50124,0.449565,0.915021,0.810378,211.181,59.89,4.426,56.26
201201011600,201201011630,-9999.0,1,14.98,5.809,11.26,1.50041,-0.149876,0.913907,0.394711,105.821,29.47,4.561,56.52
201201011630,201201011700,-9999.0,1,1.939,4.991,10.53,1.44067,-0.067839,0.835125,0.054821,10.9913,6.132,4.671,60.78
201201011700,201201011730,-9999.0,1,0.0,5.034,9.49,1.35712,0.183353,0.731472,0.0,0.0,0.0,4.761,57.59
201201011730,201201011800,-9999.0,1,0.0,4.877,9.16,1.33102,0.184469,0.70062,0.0,0.0,0.0,4.83,57.99
201201011800,201201011830,-9999.0,1,0.036,4.666,9.03,1.32079,0.18445,0.688728,0.001029,0.0,0.0,4.877,59.45
201201011830,201201011900,-9999.0,1,0.021,4.552,9.0,1.31843,0.186314,0.686005,0.0006,0.0,0.0,4.917,60.36
201201011900,201201011930,-9999.0,1,0.144,4.534,9.02,1.32,0.187551,0.68782,0.004113,0.0,-0.028,4.946,60.57
201201011930,201201012000,-9999.0,1,0.201,4.822,9.24,1.33733,0.162706,0.708011,0.005739,0.0,0.0,4.976,58.69
201201012000,201201012030,-9999.0,1,0.075,4.785,9.26,1.33891,0.163946,0.709868,0.002143,0.0,0.0,5.003,59.06
201201012030,201201012100,-9999.0,1,0.0,4.494,9.08,1.32472,0.181025,0.693285,0.0,0.0,0.0,5.032,61.08
201201012100,201201012130,-9999.0,1,0.0,4.446,8.85,1.30667,0.169783,0.672506,0.0,0.0,0.0,5.062,60.89
201201012130,201201012200,-9999.0,1,0.051,4.296,8.67,1.29261,0.186346,0.656562,0.001457,0.0,-0.028,5.088,61.75
201201012200,201201012230,-9999.0,1,0.264,4.184,8.8,1.30276,0.194366,0.668049,0.007535,0.0,0.0,5.115,63.07
201201012230,201201012300,-9999.0,1,0.212,4.005,8.85,1.30667,0.169783,0.672506,0.006052,0.0,0.0,5.138,64.77
201201012300,201201012330,-9999.0,1,0.1,3.891,8.8,1.30276,0.194366,0.668049,0.002857,0.0,-0.028,5.162,65.66
201201012330,201201020000,-9999.0,1,0.143,4.047,8.92,1.31215,0.174108,0.678781,0.004084,0.0,0.0,5.186,64.57
201201020000,201201020030,-9999.0,1,0.037,4.009,9.08,1.32472,0.181025,0.693285,0.001057,0.0,-0.056,5.207,65.28
201201020030,201201020100,-9999.0,1,0.0,3.75,8.86,1.30745,0.170401,0.6734,0.0,0.0,0.0,5.232,67.04
