TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
199801010000,199801010030,-9999.0,1,0.0,1.231,-2.273,0.376851,-0.069653,0.780873,0.0,0.0,0.0,10.16,76.2
199801010030,199801010100,-9999.0,1,0.0,1.13,-2.93,0.358147,-0.122224,0.767383,0.0,0.0,0.0,10.113,77.05
199801010100,199801010130,-9999.0,1,0.0,1.209,-2.902,0.358936,-0.117081,0.767962,0.0,0.0,0.0,10.065,75.5
199801010130,199801010200,-9999.0,1,0.0,1.333,-2.478,0.370973,-0.126269,0.776683,0.0,0.0,0.0,10.023,73.815
199801010200,199801010230,-9999.0,1,0.0,1.311,-2.845,0.360545,-0.123483,0.769138,0.0,0.0,0.0,9.979,73.54
199801010230,199801010300,-9999.0,1,0.0,1.207,-3.268,0.348677,-0.121896,0.760376,0.0,0.0,0.0,9.943,74.85
199801010300,199801010330,-9999.0,1,0.0,1.255,-2.931,0.358119,-0.140785,0.767363,0.0,0.0,0.0,9.903,74.5
199801010330,199801010400,-9999.0,1,0.0,1.258,-3.035,0.355194,-0.128657,0.765211,0.0,0.0,0.0,9.864,74.25
199801010400,199801010430,-9999.0,1,0.0,1.26,-3.058,0.354548,-0.127073,0.764735,0.0,0.0,0.0,9.827,74.165
199801010430,199801010500,-9999.0,1,0.0,1.416,-2.962,0.357246,-0.141658,0.766722,0.0,0.0,0.0,9.792,71.17
199801010500,199801010530,-9999.0,1,0.0,1.465,-2.962,0.357246,-0.141658,0.766722,0.0,0.0,0.0,9.758,70.17
199801010530,199801010600,-9999.0,1,0.0,1.55,-3.078,0.353987,-0.127634,0.764321,0.0,0.0,0.0,9.737,68.165
199801010600,199801010630,-9999.0,1,0.0,1.676,-2.828,0.361026,-0.142581,0.769489,0.0,0.0,0.0,9.729,66.21
199801010630,199801010700,-9999.0,1,0.0,1.83,-2.303,0.375988,-0.088387,0.780261,0.0,0.0,0.0,9.731,64.53
199801010700,199801010730,-9999.0,1,0.0,1.776,-2.462,0.371431,-0.125812,0.777011,0.0,0.0,0.0,9.751,65.175
199801010730,199801010800,-9999.0,1,0.0,1.76,-2.498,0.370402,-0.126841,0.776273,0.0,30.9003,0.0,9.788,65.38
199801010800,199801010830,-9999.0,1,10.135,1.841,-2.445,0.371917,-0.161116,0.777358,0.0,139.314,19.49,9.839,63.94
199801010830,199801010900,-9999.0,1,77.168,1.813,-1.791,0.390815,-0.392066,0.79066,0.0,243.353,148.4,9.907,66.155
199801010900,199801010930,-9999.0,2,141.128,2.269,0.35,0.455188,-0.370688,0.833026,0.0,336.859,271.4,9.997,63.805
199801010930,199801011000,-9999.0,1,223.236,3.005,2.523,0.524116,-2.4463,0.874222,0.0,418.235,429.3,10.095,58.995
199801011000,199801011030,-9999.0,1,242.58,3.361,3.236,0.547448,-1.72703,0.887354,0.0,486.086,466.5,10.201,56.395
199801011030,199801011100,-9999.0,1,359.944,4.014,4.624,0.593797,0.252717,0.912388,0.0,539.252,692.2,10.321,52.775
199801011100,199801011130,-9999.0,1,262.08,4.178,4.811,0.600131,-1.54775,0.915707,0.0,576.823,504.0,10.446,51.48
199801011130,199801011200,-9999.0,1,187.824,3.734,3.941,0.570841,-0.915819,0.900156,0.0,598.157,361.2,10.577,53.905
199801011200,199801011230,-9999.0,1,319.228,4.41,4.421,0.586945,0.193056,0.90877,0.0,602.888,613.9,10.715,47.37
199801011230,199801011300,-9999.0,1,343.928,4.672,4.68,0.595692,0.298679,0.913383,0.0,590.936,661.4,10.855,45.25
199801011300,199801011330,-9999.0,1,338.832,4.629,4.848,0.601387,0.717359,0.916363,0.0,562.504,651.6,10.988,46.39
199801011330,199801011400,-9999.0,1,290.472,4.593,4.771,0.598774,0.373218,0.914998,0.0,518.08,558.6,11.039,46.52
199801011400,199801011430,-9999.0,2,237.016,4.739,4.844,0.601251,-1.20066,0.916292,0.0,458.424,455.8,11.078,45.09
199801011430,199801011500,-9999.0,2,158.34,5.028,4.466,0.588462,-0.482378,0.909573,0.0,384.556,304.5,11.116,40.185
199801011500,199801011530,-9999.0,2,98.696,4.646,4.21,0.579849,-0.080651,0.904993,0.0,297.74,189.8,11.153,43.73
199801011530,199801011600,-9999.0,1,65.728,3.934,3.785,0.565638,0.527768,0.897339,0.0,199.462,126.4,11.186,50.905
199801011600,199801011630,-9999.0,1,16.427,3.255,2.655,0.52841,-0.67134,0.876667,0.0,91.4026,31.59,11.219,55.995
199801011630,199801011700,-9999.0,1,0.0,2.044,0.114,0.447912,-0.593388,0.828444,0.0,5.11257,0.0,11.245,66.825
199801011700,199801011730,-9999.0,1,0.0,1.552,-1.283,0.405749,-0.47087,0.800875,0.0,0.0,0.0,11.255,72.1
199801011730,199801011800,-9999.0,1,0.0,1.388,-2.191,0.379212,-0.085163,0.782545,0.0,0.0,0.0,11.242,73.315
199801011800,199801011830,-9999.0,1,0.0,1.453,-2.136,0.380799,-0.080301,0.783665,0.0,0.0,0.0,11.219,72.18
199801011830,199801011900,-9999.0,1,0.0,1.366,-2.436,0.372175,-0.125068,0.777543,0.0,0.0,0.0,11.18,73.265
199801011900,199801011930,-9999.0,1,0.0,1.236,-2.682,0.365162,-0.138444,0.772496,0.0,0.0,0.0,11.119,75.35
199801011930,199801012000,-9999.0,1,0.0,1.41,-1.017,0.413655,-0.559233,0.806184,0.0,0.0,0.0,11.053,75.15
199801012000,199801012030,-9999.0,1,0.0,1.632,-0.347,0.433825,-0.583525,0.819431,0.0,0.0,0.0,10.993,72.61
199801012030,199801012100,-9999.0,1,0.0,2.129,0.43,0.457664,-0.610456,0.834575,0.0,0.0,0.0,10.923,66.225
199801012100,199801012130,-9999.0,1,0.0,2.28,0.162,0.449389,-0.633301,0.829378,0.0,0.0,0.0,10.857,63.12
199801012130,199801012200,-9999.0,1,0.0,1.776,-0.277,0.435953,-0.621616,0.820805,0.0,0.0,0.0,10.8,70.335
199801012200,199801012230,-9999.0,1,0.0,1.491,-0.466,0.430216,-0.627354,0.817091,0.0,0.0,0.0,10.744,74.75
199801012230,199801012300,-9999.0,1,0.0,1.555,-0.297,0.435345,-0.622225,0.820412,0.0,0.0,0.0,10.694,74.0
199801012300,199801012330,-9999.0,1,0.0,1.734,-0.372,0.433066,-0.624504,0.81894,0.0,0.0,0.0,10.648,70.835
199801012330,199801020000,-9999.0,1,0.0,1.417,-0.701,0.423123,-0.634447,0.812453,0.0,0.0,-9999.0,10.607,75.6
199801020000,199801020030,-9999.0,1,0.0,1.265,-0.958,0.415416,-0.626694,0.807357,0.0,0.0,0.0,10.566,77.8
199801020030,199801020100,-9999.0,1,0.0,1.427,-0.825,0.419398,-0.628962,0.809998,0.0,0.0,0.0,10.524,75.2
199801020100,199801020130,-9999.0,1,0.0,1.594,-0.772,0.420988,-0.636582,0.811048,0.0,0.0,0.0,10.482,72.4
199801020130,199801020200,-9999.0,1,0.0,1.703,-0.85,0.418648,-0.624412,0.809502,0.0,0.0,0.0,10.446,70.345
199801020200,199801020230,-9999.0,1,0.0,1.725,-0.773,0.420958,-0.636612,0.811028,0.0,0.0,0.0,10.403,70.135
199801020230,199801020300,-9999.0,1,0.0,1.72,-0.793,0.420358,-0.628002,0.810632,0.0,0.0,0.0,10.368,70.165
199801020300,199801020330,-9999.0,1,0.0,1.552,-0.959,0.415386,-0.636494,0.807337,0.0,0.0,0.0,10.328,72.75
199801020330,199801020400,-9999.0,1,0.0,1.397,-1.054,0.412551,-0.640299,0.805447,0.0,0.0,0.0,10.284,75.3
199801020400,199801020430,-9999.0,1,0.0,1.218,-1.625,0.395671,-0.316511,0.79401,0.0,0.0,0.0,10.24,77.55
199801020430,199801020500,-9999.0,1,0.0,1.146,-1.145,0.409843,-0.648237,0.803633,0.0,0.0,0.0,10.198,79.6
199801020500,199801020530,-9999.0,1,0.0,1.29,-0.775,0.420898,-0.683462,0.810989,0.0,0.0,0.0,10.153,77.65
199801020530,199801020600,-9999.0,1,0.0,1.23,-1.25,0.406726,-0.623144,0.801535,0.0,0.0,0.0,10.125,77.95
199801020600,199801020630,-9999.0,1,0.0,1.027,-1.635,0.395378,-0.302506,0.793808,0.0,0.0,0.0,10.111,81.05
199801020630,199801020700,-9999.0,1,0.0,1.129,-0.449,0.430731,-0.681719,0.817425,0.0,0.0,0.0,10.105,80.9
199801020700,199801020730,-9999.0,1,0.0,1.501,0.063,0.446346,-0.617704,0.827451,0.0,0.0,0.0,10.116,75.55
199801020730,199801020800,-9999.0,1,0.0,1.443,-0.049,0.442912,-0.646778,0.825267,0.0,29.1732,0.0,10.14,76.3
199801020800,199801020830,-9999.0,1,0.0,1.363,-0.235,0.437232,-0.647468,0.821628,0.0,137.196,0.0,10.176,77.3
199801020830,199801020900,-9999.0,1,0.0,0.913,-0.545,0.427827,-0.656663,0.815534,0.0,241.62,0.0,10.223,84.45
199801020900,199801020930,-9999.0,1,23.759,0.684,-0.312,0.434889,-0.598781,0.820118,0.0,335.561,45.69,10.292,88.55
199801020930,199801021000,-9999.0,1,66.456,0.634,0.1,0.447482,0.147224,0.828171,0.0,417.414,127.8,10.369,89.7
199801021000,199801021030,-9999.0,1,47.996,0.637,0.359,0.455467,-0.469951,0.833201,0.0,485.778,92.3,10.458,89.85
199801021030,199801021100,-9999.0,1,61.828,0.527,0.37,0.455807,-0.377222,0.833414,0.0,539.482,118.9,10.554,91.6
199801021100,199801021130,-9999.0,1,65.208,0.454,0.519,0.460425,-0.09115,0.836295,0.0,577.608,125.4,10.684,92.85
199801021130,199801021200,-9999.0,1,39.312,0.43,0.48,0.459214,-0.982086,0.835541,0.0,599.504,75.6,10.825,93.2
199801021200,199801021230,-9999.0,1,66.872,0.407,0.54,0.461077,-0.366355,0.8367,0.0,604.794,128.6,10.986,93.6
199801021230,199801021300,-9999.0,1,39.416,0.401,0.469,0.458873,-0.831887,0.835329,0.0,593.39,75.8,11.16,93.65
199801021300,199801021330,-9999.0,2,79.716,0.417,0.685,0.465589,-0.012991,0.839494,0.0,565.484,153.3,11.35,93.5
199801021330,199801021400,-9999.0,2,131.612,0.587,1.293,0.484681,-0.341304,0.851123,0.0,521.556,253.1,11.33,91.25
199801021400,199801021430,-9999.0,2,40.092,0.603,1.038,0.476641,-0.332051,0.846263,0.0,462.356,77.1,11.302,90.85
199801021430,199801021500,-9999.0,1,0.0,0.462,0.666,0.464997,-0.674023,0.839128,0.0,388.898,0.0,11.276,92.8
199801021500,199801021530,-9999.0,1,0.0,0.413,0.449,0.458253,-0.628217,0.834942,0.0,302.439,0.0,11.266,93.45
