TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
201401010000,201401010030,-9999.0,1,0.0,0.27,11.4,2.82728,0.621975,2.67941,0.0,0.0,11.11,98.0
201401010030,201401010100,-3.67548,0,0.0,0.692,6.8,2.23382,5.9093,2.48373,0.0,0.0,11.098,93.0
201401010100,201401010130,1.31468,0,0.0,0.682,6.6,2.20899,0.894311,2.47481,0.0,0.0,11.074,93.0
201401010130,201401010200,0.822958,0,0.0,0.769,6.4,2.18425,1.36129,2.46585,0.0,0.0,11.048,92.0
201401010200,201401010230,2.45401,0,0.0,0.759,6.2,2.1596,-0.29441,2.45686,0.0,0.0,11.023,92.0
201401010230,201401010300,1.75975,0,0.0,0.659,6.1,2.14731,0.38756,2.45235,0.0,0.0,10.997,93.0
201401010300,201401010330,-9999.0,1,0.0,0.733,5.7,2.09838,0.12931,2.43423,0.0,0.0,10.975,92.0
201401010330,201401010400,-9999.0,1,0.0,0.641,5.7,2.09838,0.07638,2.43423,0.0,0.0,10.949,93.0
201401010400,201401010430,3.84575,0,0.0,0.637,5.6,2.08621,-1.75954,2.42967,0.0,0.0,10.924,93.0
201401010430,201401010500,-9999.0,1,0.0,0.632,5.5,2.07406,-0.239924,2.42511,0.0,0.0,10.898,93.0
201401010500,201401010530,-9999.0,1,0.0,0.641,5.7,2.09838,-0.09234,2.43423,0.0,0.0,10.872,93.0
201401010530,201401010600,3.97093,0,0.0,0.646,5.8,2.11058,-1.86035,2.43877,0.0,0.0,10.843,93.0
201401010600,201401010630,1.12759,0,0.0,0.65,5.9,2.1228,0.995208,2.44331,0.0,0.0,10.816,93.0
201401010630,201401010700,1.07928,0,0.0,0.646,5.8,2.11058,1.0313,2.43877,0.0,0.0,10.787,93.0
201401010700,201401010730,2.17058,0,0.0,0.65,5.9,2.1228,-0.047782,2.44331,0.0,0.0,10.76,93.0
201401010730,201401010800,2.15266,0,7.0,0.655,6.0,2.13504,-0.017617,2.44784,0.769226,19.5546,10.73,93.0
201401010800,201401010830,0.803092,0,37.0,0.664,6.2,2.1596,1.35651,2.45686,3.43881,123.244,10.706,93.0
201401010830,201401010900,-0.708535,0,84.0,0.687,6.7,2.22139,2.92993,2.47927,6.28772,229.108,10.679,93.0
201401010900,201401010930,-3.70974,0,122.0,0.83,7.5,2.32142,6.03116,2.51467,7.89063,324.703,10.655,92.0
201401010930,201401011000,-5.36263,0,165.0,0.966,8.0,2.38463,7.74726,2.53651,9.2489,408.392,10.632,91.0
201401011000,201401011030,-10.9613,0,171.0,1.23,8.6,2.46116,13.4225,2.56243,9.41015,478.743,10.612,89.0
201401011030,201401011100,-8.30424,0,200.0,1.523,9.3,2.55134,10.8556,2.59229,10.1133,534.553,10.59,87.0
201401011100,201401011130,-21.7049,0,222.0,1.818,9.8,2.61632,24.3212,2.61336,10.575,574.866,10.57,85.0
201401011130,201401011200,-10.7678,0,217.0,2.005,10.3,2.68177,13.4496,2.63422,10.4748,598.994,10.554,84.0
201401011200,201401011230,-9.52467,0,406.0,2.545,11.3,2.81396,12.3386,2.67534,13.0249,606.522,10.543,81.0
201401011230,201401011300,-7.92498,0,376.0,3.335,12.5,2.97477,10.8997,2.72363,12.7407,597.323,10.534,77.0
201401011300,201401011330,-11.2768,0,384.0,3.795,13.2,3.06958,14.3464,2.75127,12.8196,571.554,10.531,75.0
201401011330,201401011400,-12.4367,0,357.0,4.125,13.3,3.08319,15.5199,2.75519,12.5436,529.655,10.533,73.0
201401011400,201401011430,-7.28776,0,317.0,4.402,13.2,3.06958,10.3573,2.75127,12.0771,472.344,10.54,71.0
201401011430,201401011500,-9.56516,0,254.0,4.431,13.3,3.08319,12.6483,2.75519,11.1584,400.601,10.548,71.0
201401011500,201401011530,-8.18176,0,185.0,4.584,13.3,3.08319,11.2649,2.75519,9.76445,315.654,10.564,70.0
201401011530,201401011600,-4.756,0,104.0,4.195,13.0,3.04242,7.79842,2.74341,7.18942,218.955,10.582,72.0
201401011600,201401011630,-2.29672,0,38.0,3.745,12.4,2.96128,5.258,2.71965,3.51369,112.161,10.605,74.0
201401011630,201401011700,4.17563,0,7.0,3.437,11.1,2.78739,-1.38824,2.66718,0.769226,13.395,10.626,74.0
201401011700,201401011730,3.16566,0,0.0,2.769,9.7,2.60329,-0.562371,2.60916,0.0,0.0,10.648,77.0
201401011730,201401011800,-9999.0,1,0.0,2.544,9.1,2.52547,0.338944,2.5838,0.0,0.0,10.668,78.0
201401011800,201401011830,-9999.0,1,0.0,2.659,9.1,2.52547,0.338944,2.5838,0.0,0.0,10.686,77.0
201401011830,201401011900,-9999.0,1,0.0,2.476,8.7,2.47398,0.32059,2.56672,0.0,0.0,10.703,78.0
201401011900,201401011930,-9999.0,1,0.0,2.347,8.6,2.46116,0.343705,2.56243,0.0,0.0,10.716,79.0
201401011930,201401012000,-9999.0,1,0.0,2.3,8.3,2.4228,0.273721,2.54951,0.0,0.0,10.721,79.0
201401012000,201401012030,-9999.0,1,0.0,2.119,7.1,2.27123,-0.213518,2.49705,0.0,0.0,10.722,79.0
