TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200101010000,200101010030,-9999.0,1,0.0,0.739,-6.094,0.15177,-0.366068,0.007585,0.0,0.0,1.08566,-0.133,-9999.0
200101010030,200101010100,-9999.0,1,0.0,1.433,-6.188,0.150787,-0.408624,0.007407,0.0,0.0,1.06636,-0.132,62.7485
200101010100,200101010130,-9999.0,1,0.0,1.464,-6.195,0.150714,-0.408694,0.007394,0.0,0.0,1.06886,-0.137,61.9461
200101010130,200101010200,-9999.0,1,0.0,1.484,-6.468,0.14787,-0.441743,0.006899,0.0,0.0,1.0901,-0.135,60.6
200101010200,200101010230,-9999.0,1,0.0,1.635,-5.987,0.15289,-0.459101,0.00779,0.0,0.0,1.05986,-0.13,58.1525
200101010230,200101010300,-9999.0,1,0.0,1.623,-6.22,0.150453,-0.408945,0.007348,0.0,0.0,1.0694,-0.132,57.7258
200101010300,200101010330,1.18623,0,0.0,1.626,-6.297,0.14965,-1.02345,0.007206,0.0,0.0,1.08533,-0.134,57.3849
200101010330,200101010400,2.765,0,0.0,1.622,-6.358,0.149014,-2.60283,0.007095,0.0,0.0,1.07775,-0.138,57.2994
200101010400,200101010430,2.60203,0,0.0,1.573,-6.57,0.146812,-2.44198,0.006721,0.0,0.0,1.07211,-0.133,57.8914
200101010430,200101010500,1.01572,0,0.0,1.747,-6.17,0.150975,-0.851669,0.007441,0.0,0.0,1.08392,-0.134,54.6668
200101010500,200101010530,3.24642,0,0.0,1.641,-6.41,0.148473,-3.08477,0.007002,0.0,0.0,1.05108,-0.137,56.6163
200101010530,200101010600,-0.172434,0,0.0,1.785,-6.076,0.151958,0.337429,0.007619,0.0,0.0,1.08848,-0.137,54.0015
200101010600,200101010630,0.214429,0,0.0,1.636,-6.553,0.146988,-0.054211,0.00675,0.0,0.0,1.04729,-0.126,56.2714
200101010630,200101010700,-0.266697,0,0.0,1.774,-6.388,0.148702,0.428564,0.007041,0.0,0.0,1.07634,-0.125,53.1932
200101010700,200101010730,2.79829,0,0.0,1.734,-6.335,0.149254,-2.63589,0.007137,0.0,0.0,1.15861,-0.132,54.4254
200101010730,200101010800,0.352179,0,0.0,1.854,-6.241,0.150234,-0.188839,0.007309,0.0,0.0,6.3326,-0.141,51.628
200101010800,200101010830,0.0536461,0,13.473,2.096,-5.656,0.156371,0.115575,0.008456,0.444187,42.6673,36.2381,-0.147,47.7112
200101010830,200101010900,-9999.0,1,59.805,1.976,-4.816,0.165296,-0.579287,0.010349,1.73451,142.168,136.957,-0.153,53.7601
200101010900,200101010930,-9999.0,2,102.005,1.955,-4.941,0.16396,-1.80813,0.010048,2.6663,232.891,172.844,-0.161,53.8078
200101010930,200101011000,-9999.0,1,216.253,2.303,-2.88,0.186314,1.32925,0.015999,4.46025,312.769,378.672,-0.175,53.4018
200101011000,200101011030,-9999.0,1,279.397,2.712,-1.877,0.197417,2.0486,0.019751,5.16092,380.435,492.771,-0.185,49.0695
200101011030,200101011100,-9999.0,1,247.375,3.217,-1.382,0.202943,2.12307,0.021839,4.8249,434.731,519.009,-0.195,41.7501
200101011100,200101011130,-9999.0,2,351.62,3.24,-1.623,0.200249,0.613689,0.020802,5.80208,474.728,609.005,-0.206,40.284
