TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,2,0.0,2.688,0.735,0.0,0.543542,2.58369,0.0,0.0,0.0185743,1.056,58.299
201301010030,201301010100,-9999.0,2,0.0,2.795,0.875,0.0,0.504208,2.59195,0.0,0.0,0.026004,1.055,57.061
201301010100,201301010130,-9999.0,2,0.0,2.848,0.801,0.0,0.563767,2.58759,0.0,0.0,0.0334338,1.055,56.017
201301010130,201301010200,-9999.0,2,0.0,3.035,0.869,0.0,0.504208,2.5916,0.0,0.0,0.0408635,1.055,53.352
201301010200,201301010230,-9999.0,2,0.0,3.119,0.92,0.0,0.504208,2.5946,0.0,0.0,0.0148595,1.055,52.247
201301010230,201301010300,-9999.0,2,0.0,3.166,0.862,0.0,0.504208,2.59118,0.0,0.0,0.0111446,1.055,51.327
201301010300,201301010330,-9999.0,2,0.0,3.123,0.973,0.0,0.534154,2.59772,0.0,0.0,0.00742972,1.055,52.368
201301010330,201301010400,-9999.0,2,0.0,2.981,0.862,0.0,0.504208,2.59118,0.0,0.0,0.0222892,1.055,54.161
201301010400,201301010430,-9999.0,2,0.0,2.779,0.496,0.0,0.546473,2.56953,0.0,0.0,0.0371486,1.055,56.126
201301010430,201301010500,-9999.0,2,0.0,2.688,0.23,0.0,0.557186,2.55369,0.0,0.0,0.0408635,1.054,56.728
201301010500,201301010530,-9999.0,2,0.0,2.666,0.241,0.0,0.557186,2.55435,0.0,0.0,0.0148595,1.053,57.121
201301010530,201301010600,-9999.0,2,0.0,2.706,0.298,0.0,0.557186,2.55775,0.0,0.0,0.0148595,1.052,56.665
201301010600,201301010630,-9999.0,2,0.0,2.378,-0.196,0.0,0.557495,2.52816,0.0,0.0,0.0222892,1.053,60.521
201301010630,201301010700,-9999.0,2,0.0,2.297,-0.358,0.0,0.569087,2.51839,0.0,0.0,0.0334338,1.054,61.407
201301010700,201301010730,-9999.0,2,0.0,2.373,-0.255,0.0,0.567512,2.52461,0.0,0.0,0.0631527,1.054,60.429
201301010730,201301010800,-9999.0,2,0.67,2.337,-0.446,0.0,0.605274,2.51307,0.058366,0.0,4.6733,1.051,60.484
201301010800,201301010830,-9999.0,2,16.272,2.302,-0.504,0.0,0.725265,2.50956,1.07914,42.6406,35.1389,1.048,60.918
201301010830,201301010900,-9999.0,2,44.77,2.589,0.142,0.0,1.67096,2.54844,2.0676,142.135,125.495,1.048,58.054
201301010900,201301010930,-9999.0,2,171.688,3.071,1.211,0.0,4.10614,2.61169,3.37085,232.855,160.872,1.048,53.957
201301010930,201301011000,-9999.0,3,197.874,3.317,1.826,0.0,3.89783,2.64747,3.47304,312.73,-9999.0,1.044,52.426
201301011000,201301011030,-9999.0,2,281.802,3.319,1.898,0.0,3.41209,2.65163,3.69157,380.394,448.347,1.042,52.629
201301011030,201301011100,-9999.0,2,293.236,3.393,2.119,0.0,3.86006,2.66436,3.71305,434.688,482.486,1.042,52.34
