TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.544,2.153,-4.975,1.09249,0.017303,0.559573,0.000546,0.0,1.8437,1.137,48.998
200501010030,200501010100,-9999.0,1,0.729,2.107,-4.851,1.10437,0.020232,0.571192,0.000732,0.0,1.8475,1.133,50.545
200501010100,200501010130,-9999.0,1,0.212,2.339,-4.227,1.16501,0.033356,0.632253,0.000213,0.0,1.8542,1.134,47.643
200501010130,200501010200,-9999.0,1,0.0,2.531,-4.067,1.18078,0.06281,0.648619,0.0,0.0,1.8595,1.131,44.022
200501010200,200501010230,-9999.0,1,0.0,2.46,-4.364,1.15157,0.041883,0.618472,0.0,0.0,1.8716,1.131,44.369
200501010230,200501010300,-9999.0,1,0.504,2.635,-4.03,1.18444,0.077221,0.652446,0.000506,0.0,1.8633,1.133,41.887
200501010300,200501010330,-9999.0,1,0.24,2.738,-3.411,1.2464,0.177671,0.718825,0.000241,0.0,1.8653,1.136,42.352
200501010330,200501010400,-9999.0,1,0.0,2.913,-3.226,1.26518,0.205529,0.739543,0.0,0.0,1.8675,1.135,39.514
200501010400,200501010430,-9999.0,1,0.0,2.685,-3.497,1.23771,0.171033,0.709333,0.0,0.0,1.8686,1.136,43.096
200501010430,200501010500,-9999.0,1,0.989,2.371,-3.616,1.22573,0.150683,0.696344,0.000993,0.0,1.8664,1.133,49.317
200501010500,200501010530,-9999.0,1,0.055,2.669,-2.691,1.32014,0.209309,0.801781,5.5e-05,0.0,1.8806,1.137,46.748
200501010530,200501010600,-9999.0,1,1.556,2.877,-2.333,1.35745,0.209313,0.845392,0.001563,0.0,1.8769,1.136,44.104
200501010600,200501010630,-9999.0,1,2.688,2.682,0.379,1.65333,0.19496,1.22965,0.0027,0.0,1.9073,1.137,57.293
200501010630,200501010700,1.91437,0,0.616,2.842,2.199,1.86392,-0.050452,1.54426,0.000619,0.0,1.9747,1.136,60.312
200501010700,200501010730,1.21467,0,0.0,2.74,2.274,1.87279,0.658116,1.55825,0.0,0.0,1.9516,1.131,61.93
200501010730,200501010800,2.94543,0,0.057,2.639,2.017,1.84246,-1.10297,1.51065,5.7e-05,0.0,2.8049,1.132,62.654
200501010800,200501010830,1.8355,0,14.131,2.826,2.471,1.89615,0.060649,1.5954,0.014187,38.8264,31.919,1.133,61.285
200501010830,200501010900,0.111061,0,40.312,2.893,2.608,1.91246,1.80139,1.62157,0.04044,137.976,97.374,1.131,60.762
200501010900,200501010930,0.978542,0,141.84,3.257,3.231,1.9872,1.00866,1.74411,0.141841,228.935,298.97,1.129,57.723
200501010930,200501011000,0.608706,0,202.65,3.323,3.285,1.99372,1.38501,1.755,0.20227,309.11,450.79,1.126,57.036
200501011000,200501011030,0.38969,0,260.86,3.644,3.658,2.03897,1.64928,1.83147,0.259902,377.129,665.25,1.122,54.114
200501011030,200501011100,-0.121416,0,306.57,3.994,4.384,2.12799,2.2494,1.98638,0.305012,431.827,755.47,1.121,52.205
200501011100,200501011130,1.03499,0,344.74,3.645,3.677,2.04129,1.0063,1.83542,0.342585,472.269,896.72,1.12,54.168
200501011130,200501011200,1.36949,0,369.4,3.688,3.551,2.02596,0.656467,1.80932,0.366811,497.762,905.69,1.12,53.207
200501011200,200501011230,1.73113,0,380.63,3.637,3.386,2.00594,0.274811,1.7755,0.377832,507.872,867.35,1.12,53.321
200501011230,200501011300,1.15623,0,377.68,3.717,3.493,2.01891,0.862684,1.79738,0.374937,502.424,882.92,1.119,52.642
200501011300,200501011330,1.55599,0,359.93,3.793,3.486,2.01806,0.462074,1.79594,0.357512,481.511,853.24,1.119,51.66
200501011330,200501011400,2.00324,0,327.36,3.822,3.534,2.02389,0.020652,1.80581,0.325488,445.493,826.15,1.12,51.45
200501011400,200501011430,1.90065,0,285.02,3.933,3.637,2.03642,0.135766,1.82711,0.283761,394.984,679.55,1.118,50.404
200501011430,200501011500,3.66268,0,236.83,3.886,3.54,2.02462,-1.63806,1.80705,0.236136,330.849,579.98,1.119,50.661
200501011500,200501011530,-9999.0,1,156.02,3.086,2.061,1.84764,0.123798,1.51873,0.155953,254.186,343.98,1.119,56.472
200501011530,200501011600,-9999.0,1,24.65,1.9,-1.123,1.48666,-0.058605,1.00482,0.02474,166.307,87.13,1.122,66.247
200501011600,200501011630,-9999.0,1,13.018,1.825,-1.543,1.44128,0.215729,0.947344,0.01307,68.7139,47.009,1.123,66.55
200501011630,200501011700,-9999.0,1,3.897,1.822,-1.658,1.42895,0.242381,0.932006,0.003914,1.37357,11.561,1.122,66.32
200501011700,200501011730,-9999.0,1,0.0,1.647,-2.307,1.36018,0.30425,0.848621,0.0,0.0,1.8518,1.127,68.059
200501011730,200501011800,-9999.0,1,0.0,1.881,-1.708,1.42361,0.184045,0.925391,0.0,0.0,1.8527,1.128,65.101
200501011800,200501011830,-9999.0,1,0.0,1.743,-2.218,1.36953,0.279529,0.859741,0.0,0.0,1.8491,1.131,66.415
200501011830,200501011900,-9999.0,1,0.0,2.017,-1.464,1.44977,0.254811,0.957979,0.0,0.0,1.8656,1.131,63.257
200501011900,200501011930,-9999.0,1,0.0,1.735,-2.432,1.34709,0.292522,0.833173,0.0,0.0,1.8669,1.13,66.038
200501011930,200501012000,-9999.0,1,0.0,1.92,-1.932,1.39975,0.26385,0.896148,0.0,0.0,1.8734,1.13,63.787
200501012000,200501012030,-9999.0,1,0.0,1.771,-2.491,1.34093,0.287612,0.825948,0.0,0.0,1.865,1.131,65.178
200501012030,200501012100,-9999.0,1,0.0,1.693,-2.822,1.30659,0.292032,0.786219,0.0,0.0,1.8538,1.131,65.884
200501012100,200501012130,-9999.0,1,0.0,1.543,-3.112,1.27681,0.321895,0.752514,0.0,0.0,1.8598,1.13,68.236
