TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.464,1.364,7.419,0.861533,-0.139316,0.918172,0.022927,0.0,0.0,11.898,-9999.0
200601010030,200601010100,-9999.0,1,0.0,1.369,7.398,0.860217,-0.141153,0.917269,0.0,0.0,0.0,11.865,-9999.0
200601010100,200601010130,-9999.0,1,0.0,1.374,7.382,0.859215,-0.135395,0.916581,0.0,0.0,0.0,11.72,-9999.0
200601010130,200601010200,-9999.0,1,0.721,1.382,7.37,0.858464,-0.131204,0.916065,0.035595,0.0,0.0,11.6,-9999.0
200601010200,200601010230,-9999.0,1,0.0,1.388,7.357,0.857651,-0.129294,0.915507,0.0,0.0,0.0,11.537,-9999.0
200601010230,200601010300,-9999.0,1,0.0,1.393,7.341,0.85665,-0.144206,0.914819,0.0,0.0,0.0,11.457,-9999.0
200601010300,200601010330,-9999.0,1,0.064,1.39,7.314,0.854963,-0.140025,0.913659,0.003167,0.0,0.0,11.412,-9999.0
200601010330,200601010400,-9999.0,1,0.0,1.386,7.288,0.85334,-0.141523,0.912543,0.0,0.0,0.0,11.383,-9999.0
200601010400,200601010430,-9999.0,1,0.0,1.387,7.269,0.852155,-0.140926,0.911727,0.0,0.0,0.0,11.352,-9999.0
200601010430,200601010500,-9999.0,1,0.0,1.402,7.261,0.851656,-0.139091,0.911383,0.0,0.0,0.0,11.277,-9999.0
200601010500,200601010530,-9999.0,1,3.902,1.415,7.295,0.853777,-0.098241,0.912843,0.190596,0.0,0.0,11.245,-9999.0
200601010530,200601010600,-9999.0,1,0.0,1.422,7.238,0.850223,-0.148066,0.910396,0.0,0.0,0.0,11.25,-9999.0
200601010600,200601010630,-9999.0,1,0.182,1.432,7.228,0.8496,-0.115882,0.909967,0.009002,0.0,0.0,11.232,-9999.0
200601010630,200601010700,-9999.0,1,0.0,1.443,7.219,0.84904,-0.11459,0.909581,0.0,0.0,0.0,11.26,-9999.0
200601010700,200601010730,-9999.0,1,0.0,1.455,7.212,0.848604,-0.206122,0.90928,0.0,0.0,0.0,11.15,-9999.0
200601010730,200601010800,-9999.0,1,0.994,1.466,7.225,0.849413,-0.226114,0.909838,0.049028,1.01418,0.03745,11.088,-9999.0
200601010800,200601010830,-9999.0,1,1.577,1.477,7.243,0.850534,-0.213323,0.910611,0.077632,74.7001,9.1764,11.102,-9999.0
200601010830,200601010900,-9999.0,1,1.151,1.487,7.211,0.848542,-0.156343,0.909237,0.056742,187.464,21.986,10.93,-9999.0
200601010900,200601010930,-9999.0,1,10.752,1.494,7.291,0.853527,-0.125731,0.912672,0.513459,290.808,29.516,10.795,-9999.0
200601010930,200601011000,-9999.0,1,29.878,1.592,8.063,0.902363,1.33911,0.945944,1.34307,382.964,68.437,10.807,-9999.0
200601011000,200601011030,-9999.0,1,28.042,1.586,7.952,0.895261,1.42378,0.941146,1.26768,462.355,58.884,10.865,-9999.0
200601011030,200601011100,-9999.0,1,17.648,1.506,7.265,0.851905,-0.133099,0.911555,0.824244,527.623,39.033,10.84,-9999.0
200601011100,200601011130,-9999.0,1,28.885,1.592,7.927,0.893665,1.52032,0.940066,1.3024,577.651,54.358,10.785,-9999.0
200601011130,200601011200,-9999.0,1,62.399,2.339,9.315,0.98432,4.14337,1.00038,2.55038,611.583,129.93,10.77,-9999.0
200601011200,200601011230,-9999.0,1,122.92,2.909,10.194,1.04385,5.83082,1.0389,4.29812,628.838,240.41,10.895,-9999.0
200601011230,200601011300,-9999.0,1,87.394,2.641,9.836,1.01941,5.07082,1.02318,3.33909,629.122,174.14,11.025,-9999.0
200601011300,200601011330,-9999.0,1,134.22,2.864,10.129,1.03939,6.05288,1.03605,4.56996,612.429,267.29,11.107,-9999.0
200601011330,200601011400,-9999.0,1,90.37,2.784,9.817,1.01812,5.06981,1.02235,3.42619,579.045,187.98,11.21,-9999.0
200601011400,200601011430,-9999.0,1,64.025,2.316,9.337,0.985789,4.14453,1.00134,2.60502,529.542,126.45,11.13,-9999.0
200601011430,200601011500,-9999.0,1,108.32,3.017,9.873,1.02192,5.48865,1.02481,3.92439,464.765,224.05,11.12,-9999.0
200601011500,200601011530,-9999.0,1,273.82,4.946,11.719,1.15091,7.42567,1.10627,7.03885,385.824,521.93,11.207,-9999.0
200601011530,200601011600,-9999.0,1,58.42,2.163,9.132,0.972131,4.08654,0.992385,2.41457,294.069,124.46,11.162,-9999.0
200601011600,200601011630,-9999.0,1,71.073,2.518,9.337,0.985789,4.34178,1.00134,2.83626,191.071,138.92,11.043,-9999.0
200601011630,200601011700,-9999.0,1,38.908,1.753,8.116,0.905764,2.44854,0.948237,1.70181,78.5907,71.596,10.895,-9999.0
200601011700,200601011730,-9999.0,1,3.011,1.487,7.167,0.845806,-0.185069,0.90735,0.147513,1.60283,16.072,10.672,-9999.0
