TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,1.93544,0,0.813,0.035,3.02,0.536671,-1.39877,0.229177,0.0,0.0,0.0,2.33,99.5328
200401010030,200401010100,-0.04829,0,0.406,0.042,2.64,0.51961,0.5679,0.215034,0.0,0.0,0.0,2.28,99.4304
200401010100,200401010130,1.96549,0,0.406,0.045,2.4,0.508982,-1.45651,0.206448,0.0,0.0,0.0,2.25,99.3792
200401010130,200401010200,2.18172,0,0.406,0.058,1.85,0.485061,-1.69666,0.187755,0.0,0.0,0.0,2.16,99.1744
200401010200,200401010230,-0.557822,0,0.406,0.066,1.28,0.46091,1.01873,0.169769,0.0,0.0,0.0,2.08,99.0208
200401010230,200401010300,-4.44614,0,0.406,0.062,1.21,0.457989,4.90413,0.167655,0.0,0.0,0.0,2.03,99.072
200401010300,200401010330,0.15001,0,0.406,0.062,1.23,0.458823,0.308813,0.168257,0.0,0.0,0.0,2.02,99.072
200401010330,200401010400,-9999.0,1,0.406,0.055,1.31,0.462165,-0.030898,0.170682,0.0,0.0,0.0,2.0,99.1744
200401010400,200401010430,-9999.0,1,0.406,0.05,1.59,0.473963,-0.122196,0.17938,0.0,0.0,0.0,2.01,99.2768
200401010430,200401010500,1.93002,0,0.406,0.052,1.36,0.46426,-1.46576,0.172211,0.0,0.0,0.0,1.93,99.2256
200401010500,200401010530,1.92572,0,0.406,0.055,1.15,0.455494,-1.47023,0.165858,0.0,0.0,0.0,1.87,99.1744
200401010530,200401010600,1.60302,0,0.406,0.061,0.91,0.445585,-1.15744,0.158819,0.0,0.0,0.0,1.86,99.072
200401010600,200401010630,-2.74586,0,0.406,0.066,0.59,0.432554,3.17841,0.149792,0.0,0.0,0.0,1.81,98.9696
200401010630,200401010700,1.74448,0,0.406,0.065,0.54,0.430537,-1.31394,0.148418,0.0,0.0,0.0,1.77,98.9696
200401010700,200401010730,-9999.0,1,0.406,0.071,0.26,0.419336,-0.105665,0.140901,0.0,0.0,0.0,1.67,98.8672
200401010730,200401010800,-9999.0,1,0.813,0.075,-0.14,0.403612,-0.007158,0.130674,0.0,0.0,0.0,1.52,98.7648
200401010800,200401010830,-9999.0,1,5.689,0.07,0.07,0.411826,-0.107646,0.135969,0.0,28.8036,2.882,1.47,98.8672
200401010830,200401010900,-9999.0,1,27.632,0.067,0.17,0.415769,-0.116073,0.138548,0.0,128.458,47.16,1.53,98.9184
200401010900,200401010930,-9999.0,1,42.667,0.064,0.27,0.419733,-0.011947,0.141164,0.0,223.079,91.176,1.61,98.9696
200401010930,200401011000,-9999.0,1,86.552,0.067,0.11,0.413401,1.10759,0.136996,0.0,307.111,163.488,1.73,98.9184
200401011000,200401011030,-9999.0,1,103.619,0.061,0.31,0.421324,1.35064,0.142221,0.0,379.115,193.094,1.95,99.0208
200401011030,200401011100,-9999.0,1,116.216,0.053,0.75,0.439043,1.11941,0.154255,0.0,437.86,217.198,2.16,99.1744
200401011100,200401011130,-9999.0,1,115.81,0.039,1.47,0.468887,1.20631,0.175611,0.0,482.34,215.626,2.39,99.4304
200401011130,200401011200,-2.26536,0,98.337,0.022,2.22,0.501087,2.76645,0.200182,0.0,511.794,181.042,2.61,99.6864
200401011200,200401011230,-1.828,0,104.432,0.015,2.48,0.512512,2.34051,0.209281,0.0,525.719,193.618,2.79,99.7888
200401011230,200401011300,0.6375,0,109.308,0.016,2.56,0.516055,-0.121445,0.212143,0.0,523.876,205.146,2.96,99.7888
200401011300,200401011330,0.868453,0,103.213,0.012,2.71,0.522731,-0.345722,0.217588,0.0,506.296,192.57,3.09,99.84
200401011330,200401011400,-9999.0,1,93.867,0.012,2.79,0.526311,1.03312,0.220535,0.0,473.281,172.658,3.2,99.84
200401011400,200401011430,-9999.0,1,74.768,0.008,2.87,0.529902,0.810299,0.223513,0.0,425.395,136.502,3.27,99.8912
200401011430,200401011500,-9999.0,1,54.451,0.012,2.96,0.533958,0.54904,0.226898,0.0,363.458,95.368,3.27,99.84
200401011500,200401011530,-9999.0,1,38.603,0.0,3.36,0.552177,0.018905,0.242416,0.0,288.529,65.238,3.28,100.0
200401011530,200401011600,-1.96844,0,27.225,0.0,3.59,0.562796,2.53124,0.251693,0.0,201.891,40.348,3.29,100.0
200401011600,200401011630,0.90477,0,13.41,0.0,3.37,0.552637,-0.352133,0.242814,0.0,105.026,14.41,3.26,100.0
200401011630,200401011700,-9999.0,1,2.844,0.0,3.19,0.544396,-0.237501,0.235726,0.0,13.4414,0.0,3.16,100.0
200401011700,200401011730,-9999.0,1,0.813,0.0,3.3,0.549424,-0.147038,0.240039,0.0,0.0,0.0,3.1,100.0
200401011730,200401011800,-9999.0,1,0.813,0.0,3.37,0.552637,-0.152704,0.242814,0.0,0.0,0.0,3.03,100.0
200401011800,200401011830,-9999.0,1,0.813,0.0,3.37,0.552637,-0.152276,0.242814,0.0,0.0,0.0,3.02,100.0
200401011830,200401011900,-1.2778,0,0.813,0.0,3.51,0.55909,1.83689,0.248436,0.0,0.0,0.0,3.01,100.0
200401011900,200401011930,0.428027,0,0.813,0.0,3.7,0.56791,0.139883,0.256223,0.0,0.0,0.0,3.0,100.0
200401011930,200401012000,1.35113,0,0.813,0.0,3.81,0.573049,-0.778081,0.260814,0.0,0.0,0.0,3.0,100.0
200401012000,200401012030,-9999.0,1,0.813,0.0,3.88,0.576331,-0.214387,0.263768,0.0,0.0,0.0,3.01,100.0
200401012030,200401012100,-9999.0,1,0.813,0.0,3.71,0.568377,-0.213394,0.256638,0.0,0.0,0.0,3.01,100.0
200401012100,200401012130,3.16318,0,0.813,0.0,3.77,0.571178,-2.592,0.259137,0.0,0.0,0.0,3.01,100.0
200401012130,200401012200,2.62769,0,0.813,0.0,3.87,0.575862,-2.05183,0.263344,0.0,0.0,0.0,3.02,100.0
200401012200,200401012230,3.73428,0,0.813,0.0,3.97,0.580565,-3.15372,0.267602,0.0,0.0,0.0,3.02,100.0
200401012230,200401012300,3.38787,0,0.813,0.0,3.94,0.579152,-2.80872,0.266319,0.0,0.0,0.0,3.02,100.0
200401012300,200401012330,-1.61644,0,0.813,0.0,4.01,0.582452,2.19889,0.269319,0.0,0.0,0.0,3.02,100.0
200401012330,200401020000,-9999.0,1,0.813,0.0,3.49,0.558166,-0.131433,0.247627,0.0,0.0,0.0,3.02,100.0
200401020000,200401020030,-9999.0,1,0.813,0.004,2.77,0.525415,-0.233636,0.219796,0.0,0.0,0.0,2.95,99.9424
200401020030,200401020100,-9999.0,1,0.813,0.0,2.94,0.533055,-0.2296,0.226143,0.0,0.0,0.0,2.92,100.0
