TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1.0,0.0,1.288,-6.0,0.298324,-0.928375,0.301925,0.0,0.0,0.0,0.565,67.006
200901010030,200901010100,-9999.0,1.0,0.154,1.213,-6.3,0.289882,-0.967956,0.279972,0.000168,0.0,0.0,0.564,68.215
200901010100,200901010130,-9999.0,1.0,1.744,1.183,-5.0,0.327289,-0.747536,0.38523,0.001888,0.0,0.0,0.561,71.912
200901010130,200901010200,-9999.0,1.0,0.126,0.659,-4.5,0.342236,-0.882739,0.433231,0.000138,0.0,0.0,0.557,84.949
200901010200,200901010230,-9999.0,1.0,0.603,1.103,-4.7,0.336221,-0.812321,0.413493,0.000658,0.0,0.0,0.55,74.399
200901010230,200901010300,-9999.0,1.0,0.318,0.653,-4.5,0.342236,-0.882739,0.433231,0.000347,0.0,0.0,0.545,85.083
200901010300,200901010330,-9999.0,1.0,0.086,0.666,-4.2,0.35135,-0.694509,0.46423,9.4e-05,0.0,0.0,0.546,85.125
200901010330,200901010400,-9999.0,1.0,0.0,0.777,-4.7,0.336221,-0.743101,0.413493,0.0,0.0,0.0,0.553,81.975
200901010400,200901010430,-9999.0,1.0,0.163,0.656,-4.5,0.342236,-0.882739,0.433231,0.000178,0.0,0.0,0.549,85.02
200901010430,200901010500,-9999.0,1.0,0.0,0.456,-4.5,0.342236,-0.882739,0.433231,0.0,0.0,0.0,0.543,89.574
200901010500,200901010530,-9999.0,1.0,0.0,0.336,-4.5,0.342236,-0.882739,0.433231,0.0,0.0,0.0,0.548,92.323
200901010530,200901010600,-9999.0,1.0,0.0,0.322,-4.5,0.342236,-0.882739,0.433231,0.0,0.0,0.0,0.545,92.637
200901010600,200901010630,-9999.0,1.0,0.0,0.377,-4.7,0.336221,-0.743101,0.413493,0.0,0.0,0.0,0.54,91.256
200901010630,200901010700,-9999.0,1.0,0.0,0.485,-4.7,0.336221,-0.743101,0.413493,0.0,0.0,0.0,0.54,88.757
200901010700,200901010730,-9999.0,1.0,0.0,0.335,-4.5,0.342236,-0.889959,0.433231,0.0,0.0,0.0,0.541,92.35
200901010730,200901010800,-9999.0,1.0,0.0,0.286,-4.7,0.336221,-0.753611,0.413493,0.0,0.0,0.0,0.541,93.367
200901010800,200901010830,-9999.0,1.0,2.441,0.317,-4.7,0.336221,-0.822621,0.413493,0.002631,37.3884,2.355,0.54,92.654
200901010830,200901010900,-9999.0,1.0,15.831,0.335,-4.5,0.342236,-0.972739,0.433231,0.015713,134.823,20.604,0.538,92.337
200901010900,200901010930,-9999.0,1.0,48.357,0.358,-4.2,0.35135,-1.35604,0.46423,0.040266,224.171,80.736,0.537,91.997
200901010930,200901011000,-9999.0,1.0,74.743,0.574,-4.2,0.35135,-0.935789,0.46423,0.055046,302.751,117.9,0.538,87.167
200901011000,200901011030,-9999.0,1.0,102.34,0.704,-4.2,0.35135,-1.30343,0.46423,0.067244,369.216,169.39,0.539,84.281
200901011030,200901011100,-9999.0,1.0,104.95,0.86,-4.2,0.35135,-1.30343,0.46423,0.068262,422.432,176.77,0.542,80.782
200901011100,200901011130,-9999.0,1.0,113.73,0.995,-4.2,0.35135,-0.885629,0.46423,0.071544,461.485,215.58,0.543,77.778
200901011130,200901011200,-9999.0,1.0,355.04,1.243,-3.2,0.3825,-0.478305,0.580421,0.117387,485.71,650.33,0.544,74.23
200901011200,200901011230,-9999.0,1.0,367.27,1.519,-2.2,0.414801,-0.905104,0.718331,0.11858,494.69,689.53,0.539,70.779
200901011230,200901011300,-9999.0,1.0,361.3,1.665,-1.7,0.431368,-0.817344,0.796249,0.118005,488.272,684.65,0.543,69.128
200901011300,200901011330,-9999.0,1.0,339.55,1.809,-1.2,0.448205,-0.110034,0.880593,0.115792,466.567,647.51,0.545,67.669
200901011330,200901011400,-0.570403,0.0,311.2,1.838,-1.4,0.441438,1.02141,0.846062,0.112597,429.945,591.47,0.539,66.673
200901011400,200901011430,0.173261,0.0,275.28,1.818,-1.4,0.441438,0.277746,0.846062,0.107942,379.033,513.33,0.546,67.034
200901011430,200901011500,0.155204,0.0,225.26,1.783,-1.7,0.431368,0.285342,0.796249,0.09999,314.703,407.88,0.546,66.944
200901011500,200901011530,0.0417504,0.0,166.78,1.751,-2.2,0.414801,0.381595,0.718331,0.087544,238.054,284.5,0.54,66.316
200901011530,200901011600,0.188588,0.0,103.12,1.804,-2.2,0.414801,0.234758,0.718331,0.06755,150.399,161.09,0.54,65.289
200901011600,200901011630,-0.0428452,0.0,44.761,1.685,-2.7,0.39851,0.449288,0.6465,0.037947,53.2371,66.386,0.544,66.356
