TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,1.092,3.107,1.02568,-0.088021,1.17699,0.0,0.0,-9999.0,6.288,85.7
200501010030,200501010100,-9999.0,1,0.0,1.053,2.892,1.01547,-0.036383,1.17174,0.0,0.0,0.0,6.25,86.0
200501010100,200501010130,-9999.0,1,0.0,0.924,2.532,0.998396,-0.032844,1.16289,0.0,0.0,0.0,6.213,87.4
200501010130,200501010200,-9999.0,1,0.0,1.081,2.867,1.01428,-0.04053,1.17113,0.0,0.0,0.0,6.164,85.6
200501010200,200501010230,0.575361,0,0.0,1.005,2.643,1.00366,0.428295,1.16562,0.0,0.0,0.0,6.118,86.4
200501010230,200501010300,0.504433,0,0.0,0.888,2.319,0.988314,0.136848,1.15762,0.0,0.0,0.0,6.083,87.7
200501010300,200501010330,1.20019,0,0.0,0.862,2.248,0.984957,0.133491,1.15586,0.0,0.0,0.0,6.044,88.0
200501010330,200501010400,-9999.0,1,0.0,0.982,2.518,0.997733,-0.033507,1.16254,0.0,0.0,0.0,6.015,86.6
200501010400,200501010430,-9999.0,1,0.0,0.971,2.478,0.995839,0.03308,1.16156,0.0,0.0,0.0,5.981,86.7
200501010430,200501010500,0.899731,0,0.0,0.972,2.489,0.99636,0.096629,1.16183,0.0,0.0,0.0,5.942,86.7
200501010500,200501010530,0.936336,0,0.0,0.98,2.499,0.996834,0.060498,1.16208,0.0,0.0,0.0,5.907,86.6
200501010530,200501010600,1.29149,0,0.0,0.96,2.411,0.992667,-0.298823,1.1599,0.0,0.0,0.0,5.86,86.8
200501010600,200501010630,0.848153,0,0.0,0.997,2.433,0.993709,0.145556,1.16045,0.0,0.0,0.0,5.828,86.3
