TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1,0.0,0.895,7.244,1.38196,-0.384345,4.19823,0.0,0.0,-9999.0,-9999.0,-9999.0
201301010030,201301010100,-9999.0,1,0.0,0.892,7.243,1.38193,-0.286598,4.19815,0.0,0.0,-9999.0,-9999.0,-9999.0
201301010100,201301010130,-9999.0,1,0.0,0.605,2.109,1.19591,-1.74727,3.79813,0.0,0.0,0.889775,-9999.0,91.5
201301010130,201301010200,-9999.0,1,0.0,0.502,1.829,1.18546,-1.75458,3.77511,0.0,0.0,0.893929,-9999.0,92.8
201301010200,201301010230,-9999.0,1,0.0,0.547,1.903,1.18823,-1.75264,3.7812,0.0,0.0,0.893956,-9999.0,92.2
201301010230,201301010300,-9999.0,1,0.0,0.512,1.733,1.18187,-1.75709,3.76719,0.0,0.0,0.877551,-9999.0,92.6
201301010300,201301010330,3.72845,0,0.0,0.443,1.507,1.17341,-2.34851,3.74848,0.0,0.0,0.884421,-9999.0,93.5
201301010330,201301010400,6.87951,0,0.0,0.374,0.974,1.15337,-5.51372,3.70402,0.0,0.0,0.884899,-9999.0,94.3
201301010400,201301010430,-9999.0,1,0.0,0.334,0.669,1.14185,-1.78536,3.67836,0.0,0.0,0.88449,-9999.0,94.8
201301010430,201301010500,-9999.0,1,0.0,0.288,0.34,1.12939,-1.79425,3.65051,0.0,0.0,0.881333,-9999.0,95.4
201301010500,201301010530,0.73558,0,0.0,0.251,0.035,1.11781,0.604859,3.62453,0.0,0.0,0.882262,-9999.0,95.9
201301010530,201301010600,-4.86234,0,0.0,0.22,0.018,1.11716,6.20231,3.62308,0.0,0.0,0.887764,-9999.0,96.4
201301010600,201301010630,2.56567,0,0.0,0.268,0.261,1.1264,-1.21908,3.6438,0.0,0.0,0.881852,-9999.0,95.7
201301010630,201301010700,7.36043,0,0.0,0.426,0.742,1.14461,-6.00085,3.68451,0.0,0.0,0.878991,-9999.0,93.4
201301010700,201301010730,6.44975,0,0.0,0.406,0.516,1.13606,-5.09626,3.66543,0.0,0.0,0.890521,-9999.0,93.6
201301010730,201301010800,5.45376,0,0.547,0.392,0.457,1.13383,-4.10186,3.66044,0.053224,0.109596,4.80333,-9999.0,93.8
201301010800,201301010830,-0.02403,0,17.425,0.377,0.614,1.13977,1.38017,3.67372,1.61355,60.4254,29.3288,-9999.0,94.1
201301010830,201301010900,0.15603,0,65.175,0.616,1.423,1.17026,1.22169,3.7415,5.30941,165.533,110.611,-9999.0,90.9
201301010900,201301010930,-1.63137,0,79.057,0.939,2.427,1.20775,3.03533,3.82412,6.22273,261.21,149.083,-9999.0,87.1
201301010930,201301011000,-0.19753,0,59.6,0.781,2.206,1.19953,1.59576,3.80607,4.92439,345.819,118.491,-9999.0,89.1
201301011000,201301011030,-9999.0,1,43.697,0.78,2.321,1.20381,1.16085,3.81547,3.76329,417.914,85.6217,-9999.0,89.2
201301011030,201301011100,-9999.0,1,60.709,0.834,2.626,1.21513,3.36428,3.84029,5.00185,476.26,118.579,-9999.0,88.7
201301011100,201301011130,-2.31466,0,69.954,0.946,3.313,1.2405,3.74127,3.89566,5.63095,519.858,137.329,-9999.0,87.8
201301011130,201301011200,-7.71958,0,107.514,1.04,4.205,1.27316,9.16855,3.96642,7.91456,547.964,206.719,-9999.0,87.4
201301011200,201301011230,-10.7259,0,121.118,1.226,5.158,1.30769,12.1983,4.04063,8.64825,560.096,233.429,-9999.0,86.1
201301011230,201301011300,-8.48095,0,170.061,1.419,6.064,1.34017,9.97508,4.10989,10.9589,556.046,319.134,-9999.0,84.9
201301011300,201301011330,-4.60678,0,256.566,2.03,7.257,1.38242,6.12891,4.19919,14.1029,535.884,473.114,-9999.0,80.1
201301011330,201301011400,-9.79156,0,177.203,2.057,6.991,1.37305,11.3075,4.17946,11.259,499.955,331.731,-9999.0,79.46
201301011400,201301011430,-8.27916,0,266.553,2.435,8.15,1.41364,9.82176,4.26466,14.4074,448.873,496.902,-9999.0,77.54
201301011430,201301011500,-6.06995,0,230.483,3.106,9.32,1.45404,7.63877,4.3487,13.2568,383.513,441.764,-9999.0,73.53
201301011500,201301011530,-3.62266,0,104.848,2.527,8.78,1.43547,5.17947,4.31016,7.76542,304.993,208.264,-9999.0,77.67
201301011530,201301011600,-3.56602,0,44.017,1.957,8.19,1.41503,5.10953,4.26757,3.78763,214.657,84.2745,-9999.0,82.0
201301011600,201301011630,-1.36349,0,9.642,1.974,7.836,1.4027,2.89894,4.24177,0.913196,114.049,20.5154,-9999.0,81.4
201301011630,201301011700,2.68814,0,1.928,1.786,7.347,1.38558,-1.16393,4.20584,0.186821,16.663,5.1028,-9999.0,82.6
201301011700,201301011730,-9999.0,1,0.0,1.552,7.172,1.37943,0.484606,4.1929,0.0,0.0,0.961618,-9999.0,84.7
201301011730,201301011800,-9999.0,1,0.0,1.224,6.778,1.36553,0.686137,4.16359,0.0,0.0,0.899671,-9999.0,87.6
201301011800,201301011830,1.02551,0,0.0,1.191,6.619,1.3599,0.481735,4.1517,0.0,0.0,0.899685,-9999.0,87.8
201301011830,201301011900,3.13343,0,0.0,1.15,6.595,1.35905,-1.62675,4.1499,0.0,0.0,0.897437,-9999.0,88.2
201301011900,201301011930,3.06822,0,0.0,1.154,6.639,1.36061,-1.56051,4.15319,0.0,0.0,0.902924,-9999.0,88.2
201301011930,201301012000,2.75255,0,0.0,1.18,6.728,1.36376,-1.24275,4.15985,0.0,0.0,0.896093,-9999.0,88.0
201301012000,201301012030,-9999.0,1,0.0,1.053,6.607,1.35948,0.913599,4.1508,0.0,0.0,0.897467,-9999.0,89.2
201301012030,201301012100,-9999.0,1,0.0,0.915,6.418,1.35277,0.909148,4.13661,0.0,0.0,0.892917,-9999.0,90.5
201301012100,201301012130,-9999.0,1,0.0,1.012,6.573,1.35827,0.9128,4.14825,0.0,0.0,0.892463,-9999.0,89.6
201301012130,201301012200,0.2068,0,0.0,1.063,6.599,1.35919,1.29998,4.1502,0.0,0.0,0.901584,-9999.0,89.1
201301012200,201301012230,-1.59325,0,0.0,0.932,6.393,1.35189,3.09517,4.13473,0.0,0.0,0.896571,-9999.0,90.3
201301012230,201301012300,0.70753,0,0.0,0.808,6.401,1.35217,0.794581,4.13533,0.0,0.0,0.899771,-9999.0,91.6
201301012300,201301012330,3.16984,0,0.0,0.755,6.486,1.35519,-1.66572,4.14172,0.0,0.0,0.897954,-9999.0,92.2
201301012330,201301020000,-9999.0,1,0.0,0.657,6.462,1.35434,0.598065,4.13992,0.0,0.0,0.898407,-9999.0,93.2
201301020000,201301020030,-9999.0,1,0.0,0.697,6.709,1.36309,0.356357,4.15843,0.0,0.0,0.898409,-9999.0,92.9
201301020030,201301020100,-5.04729,0,0.0,0.521,6.708,1.36305,6.55662,4.15836,0.0,0.0,0.901592,-9999.0,94.7
201301020100,201301020130,-3.76964,0,0.0,0.334,6.688,1.36235,5.27851,4.15686,0.0,0.0,0.902503,-9999.0,96.6
201301020130,201301020200,3.23795,0,0.0,0.39,6.957,1.37185,-1.7228,4.17693,0.0,0.0,0.902045,-9999.0,96.1
201301020200,201301020230,-9999.0,1,0.0,0.291,6.995,1.37319,0.214671,4.17976,0.0,0.0,0.899756,-9999.0,97.1
201301020230,201301020300,-9999.0,1,0.0,0.161,7.093,1.37665,0.216951,4.18704,0.0,0.0,0.901573,-9999.0,98.4
201301020300,201301020330,-3.8321,0,0.0,0.071,7.26,1.38252,5.35429,4.19941,0.0,0.0,0.902022,-9999.0,99.3
201301020330,201301020400,-0.1885,0,0.0,0.031,7.364,1.38618,1.7131,4.2071,0.0,0.0,0.902469,-9999.0,99.7
201301020400,201301020430,1.90633,0,0.0,0.79,7.446,1.38906,-0.379836,4.21314,0.0,0.0,0.901098,-9999.0,-9999.0
201301020430,201301020500,0.22014,0,0.0,0.788,7.665,1.39673,1.31139,4.22925,0.0,0.0,0.901535,-9999.0,-9999.0
201301020500,201301020530,-1.21893,0,0.0,0.786,7.899,1.4049,2.75582,4.24638,0.0,0.0,0.901518,-9999.0,-9999.0
201301020530,201301020600,2.90555,0,0.0,0.784,8.1,1.4119,-1.36408,4.26103,0.0,0.0,0.902414,-9999.0,-9999.0
201301020600,201301020630,3.19252,0,0.0,0.022,8.2,1.41538,-1.64878,4.26829,0.0,0.0,0.90195,-9999.0,99.8
201301020630,201301020700,3.78454,0,0.0,0.076,8.25,1.41712,-2.23967,4.27192,0.0,0.0,0.902856,-9999.0,99.3
201301020700,201301020730,4.47415,0,0.0,0.065,8.11,1.41225,-2.93246,4.26175,0.0,0.0,0.902376,-9999.0,99.4
201301020730,201301020800,2.85165,0,0.092,0.022,8.15,1.41364,-1.30905,4.26466,0.008964,0.192275,0.942929,-9999.0,99.8
201301020800,201301020830,3.16311,0,1.674,0.044,8.2,1.41538,-1.61937,4.26829,0.162332,61.9429,3.92298,-9999.0,99.6
201301020830,201301020900,1.98532,0,3.33,0.054,8.22,1.41608,-0.44113,4.26975,0.321324,167.114,7.49196,-9999.0,99.5
201301020900,201301020930,0.67451,0,6.207,0.066,8.3,1.41886,0.871492,4.27555,0.593839,262.849,14.4185,-9999.0,99.4
201301020930,201301021000,0.98169,0,10.9,0.033,8.35,1.42059,0.565443,4.27917,1.02855,347.51,25.1385,-9999.0,99.7
201301021000,201301021030,-1.74829,0,15.313,0.056,8.5,1.42579,3.29881,4.29001,1.42661,419.648,35.4912,-9999.0,99.5
201301021030,201301021100,2.04095,0,22.389,0.089,8.58,1.42856,-0.488632,4.29577,2.04417,478.029,50.8098,-9999.0,99.2
201301021100,201301021130,-9999.0,1,35.906,0.135,8.69,1.43236,1.07496,4.30369,3.15782,521.654,78.9872,-9999.0,98.8
201301021130,201301021200,-9999.0,1,35.787,0.147,8.75,1.43443,0.694846,4.308,3.14837,549.777,78.8753,-9999.0,98.7
201301021200,201301021230,-9999.0,1,37.307,0.248,8.74,1.43409,0.857605,4.30729,3.26858,561.916,82.0008,-9999.0,97.8
201301021230,201301021300,1.26634,0,63.37,0.328,8.79,1.43581,0.290689,4.31087,5.18594,557.864,134.155,-9999.0,97.1
201301021300,201301021330,-9999.0,1,39.881,0.386,8.82,1.43685,0.982079,4.31302,3.46991,537.69,86.1962,-9999.0,96.6
201301021330,201301021400,-9999.0,1,19.9,0.431,8.82,1.43685,-0.253209,4.31302,1.82977,501.739,47.3233,-9999.0,96.2
201301021400,201301021430,-3.2883,0,32.316,0.397,8.81,1.4365,4.84578,4.31231,2.87011,450.627,70.3702,-9999.0,96.5
201301021430,201301021500,3.36983,0,25.595,0.527,8.96,1.44167,-1.809,4.32305,2.31593,385.227,56.2781,-9999.0,95.4
