TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,0.121,6.13,1.1912,-0.228809,0.694311,0.0,0.0,7.91,4.67,98.7136
200601010030,200601010100,2.7961,0,0.0,0.114,5.86,1.17789,-1.61821,0.667141,0.0,0.0,7.9,4.73,98.7648
200601010100,200601010130,1.47381,0,0.0,0.108,5.69,1.16951,-0.3043,0.650443,0.0,0.0,7.9,4.78,98.816
200601010130,200601010200,4.06361,0,0.0,0.094,5.64,1.16705,-2.89656,0.645592,0.0,0.0,7.93,4.81,98.9696
200601010200,200601010230,1.35826,0,0.0,0.09,5.8,1.17493,-0.18333,0.661212,0.0,0.0,7.95,4.85,99.0208
200601010230,200601010300,-0.23485,0,0.0,0.086,5.88,1.17887,1.41372,0.669126,0.0,0.0,7.91,4.87,99.072
200601010300,200601010330,-9999.0,1,0.0,0.082,6.06,1.18775,-0.314502,0.68719,0.0,0.0,7.93,4.9,99.1232
200601010330,200601010400,-9999.0,1,0.0,0.069,6.27,1.19811,-0.221301,0.708717,0.0,0.0,7.91,4.95,99.2768
200601010400,200601010430,-9999.0,1,0.0,0.072,6.89,1.22873,-0.062648,0.775179,0.0,0.0,7.9,4.98,99.2768
200601010430,200601010500,-9999.0,1,0.0,0.066,6.64,1.21638,-0.073422,0.747851,0.0,0.0,7.89,5.02,99.328
200601010500,200601010530,-9999.0,1,0.0,0.057,6.86,1.22725,-0.04634,0.771862,0.0,0.0,7.9,5.03,99.4304
200601010530,200601010600,-9999.0,1,0.0,0.053,7.27,1.24753,-0.181765,0.818115,0.0,0.0,7.9,5.06,99.4816
200601010600,200601010630,-9999.0,1,0.0,0.063,7.14,1.24109,-0.143406,0.803235,0.0,0.0,7.88,5.11,99.3792
200601010630,200601010700,6.25443,0,0.0,0.056,6.64,1.21638,-5.03805,0.747851,0.0,0.0,7.87,5.15,99.4304
200601010700,200601010730,-9999.0,1,0.0,0.05,6.57,1.21292,-0.07358,0.740328,0.0,0.0,7.89,5.2,99.4816
200601010730,200601010800,-9999.0,1,0.0,0.046,6.65,1.21687,-0.057308,0.748931,0.0,0.111445,8.29,5.25,99.5328
200601010800,200601010830,-9999.0,1,0.0,0.045,6.56,1.21243,-0.067034,0.739258,0.0,60.4848,12.62,5.29,99.5328
200601010830,200601010900,3.72883,0,4.6,0.045,6.37,1.20304,-2.52579,0.719141,0.235578,165.599,21.76,5.34,99.5328
200601010900,200601010930,-9999.0,1,8.3,0.035,6.34,1.20156,-0.193326,0.716002,0.422851,261.283,29.54,5.36,99.6352
200601010930,200601011000,-9999.0,1,7.7,0.036,6.59,1.21391,-0.051162,0.742472,0.392615,345.898,29.26,5.39,99.6352
200601011000,200601011030,-9999.0,1,34.7,0.026,6.9,1.22923,0.414226,0.776288,1.70448,417.998,82.4,5.44,99.7376
200601011030,200601011100,-9999.0,1,50.4,0.032,7.3,1.24901,1.03231,0.821578,2.42402,476.347,111.68,5.48,99.6864
200601011100,200601011130,-9999.0,1,24.8,0.027,7.31,1.2495,0.418423,0.822734,1.23478,519.949,63.36,5.55,99.7376
200601011130,200601011200,-9999.0,1,23.6,0.017,7.5,1.25891,0.223248,0.844936,1.17698,548.057,62.48,5.6,99.84
200601011200,200601011230,-9999.0,1,33.1,0.012,7.97,1.28218,0.284002,0.901737,1.62943,560.189,82.56,5.66,99.8912
200601011230,200601011300,-9999.0,1,39.6,0.006,8.4,1.30349,0.514457,0.956101,1.93232,556.139,94.4,5.71,99.9424
200601011300,200601011330,-9999.0,1,46.2,0.018,8.68,1.31737,0.847417,0.992759,2.23449,535.976,106.72,5.77,99.84
200601011330,200601011400,-9999.0,1,64.0,0.018,8.67,1.31688,2.4846,0.991432,3.02348,500.045,138.08,5.83,99.84
200601011400,200601011430,-9999.0,1,52.9,0.018,8.6,1.31341,1.48639,0.982183,2.53583,448.959,116.8,5.91,99.84
200601011430,200601011500,-9999.0,1,34.6,0.018,8.56,1.31142,0.357186,0.976926,1.6998,383.595,82.08,5.98,99.84
200601011500,200601011530,-9999.0,1,16.7,0.006,8.41,1.30399,-0.155733,0.957393,0.840854,305.069,47.68,6.05,99.9424
200601011530,200601011600,-9999.0,1,8.8,0.006,8.26,1.29655,-0.178748,0.938146,0.448009,214.727,30.96,6.1,99.9424
200601011600,200601011630,-9999.0,1,1.2,0.001,8.06,1.28664,-0.181209,0.912924,0.061752,114.112,15.52,6.16,99.9936
200601011630,200601011700,-9999.0,1,0.443,0.0,7.86,1.27673,-0.119797,0.8882,0.022821,16.6937,10.47,6.2,100.0
200601011700,200601011730,-9999.0,1,0.0,0.0,7.71,1.2693,-0.116835,0.869981,0.0,0.0,7.91,6.23,100.0
200601011730,200601011800,-9999.0,1,0.0,0.0,7.6,1.26386,-0.143232,0.856795,0.0,0.0,7.89,6.22,100.0
200601011800,200601011830,-9999.0,1,0.0,0.0,7.56,1.26188,-0.125642,0.852037,0.0,0.0,7.9,6.2,100.0
200601011830,200601011900,-9999.0,1,0.0,0.0,7.56,1.26188,-0.110512,0.852037,0.0,0.0,7.92,6.19,100.0
200601011900,200601011930,-9999.0,1,0.0,0.0,7.61,1.26435,-0.116567,0.857988,0.0,0.0,7.93,6.19,100.0
200601011930,200601012000,-9999.0,1,0.0,0.0,7.6,1.26386,-0.109592,0.856795,0.0,0.0,7.88,6.18,100.0
200601012000,200601012030,-9999.0,1,0.0,0.0,7.69,1.26831,-0.075636,0.867573,0.0,0.0,7.89,6.18,100.0
200601012030,200601012100,-9999.0,1,0.0,0.0,7.86,1.27673,-0.048367,0.8882,0.0,0.0,7.87,6.18,100.0
200601012100,200601012130,1.20206,0,0.0,0.0,7.78,1.27277,0.070711,0.878449,0.0,0.0,7.89,6.19,100.0
200601012130,200601012200,-9999.0,1,0.0,0.001,7.42,1.25495,-0.068312,0.835534,0.0,0.0,7.88,6.19,99.9936
200601012200,200601012230,-9999.0,1,0.0,0.011,6.98,1.23318,0.140312,0.785195,0.0,0.0,7.89,6.16,99.8912
