TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1,0.0,0.158,-7.565,1.47264,0.080347,2.22374,0.0,0.0,-9999.0,0.903,95.4209
200901010030,200901010100,-9999.0,1,0.0,0.16,-7.673,1.45909,0.066827,2.21561,0.0,0.0,-9999.0,0.903,95.3274
200901010100,200901010130,-9999.0,1,0.0,0.16,-7.568,1.47226,0.079971,2.22351,0.0,0.0,-9999.0,0.903,95.3616
200901010130,200901010200,-9999.0,1,0.0,0.16,-7.644,1.46273,0.070454,2.21779,0.0,0.0,-9999.0,0.903,95.3479
200901010200,200901010230,-9999.0,1,0.0,0.163,-7.635,1.46385,0.071579,2.21847,0.0,0.0,-9999.0,0.903,95.2736
200901010230,200901010300,-9999.0,1,0.0,0.164,-7.862,1.4355,0.043261,2.20135,0.0,0.0,-9999.0,0.902,95.1492
200901010300,200901010330,-9999.0,1,0.0,0.143,-7.355,1.49912,0.106745,2.2395,0.0,0.0,-9999.0,0.903,95.9441
200901010330,200901010400,-9999.0,1,0.0,0.129,-6.43,1.61791,0.224687,2.30819,0.0,0.0,-9999.0,0.905,96.5848
200901010400,200901010430,-9999.0,1,0.0,0.284,-5.725,1.7107,0.316316,2.35976,0.0,0.0,-9999.0,0.905,92.8652
200901010430,200901010500,-9999.0,1,0.0,0.675,-5.015,1.80603,0.410018,2.41101,0.0,0.0,-9999.0,0.902,83.9528
200901010500,200901010530,1.83931,0,0.0,0.732,-5.786,1.7026,-0.009159,2.35533,0.0,0.0,-9999.0,0.905,81.5596
200901010530,200901010600,-9999.0,1,0.0,1.058,-6.004,1.67376,0.279882,2.33944,0.0,0.0,-9999.0,0.905,72.8976
200901010600,200901010630,-9999.0,1,0.0,1.525,-6.062,1.66611,0.272336,2.3352,0.0,0.0,-9999.0,0.905,60.7466
200901010630,200901010700,1.20432,0,0.0,1.486,-6.879,1.55982,0.484604,2.27499,0.0,0.0,-9999.0,0.905,59.2797
200901010700,200901010730,-9999.0,1,0.0,1.11,-8.795,1.32131,0.003051,2.13022,0.0,0.0,-9999.0,0.901,64.6949
200901010730,200901010800,-9999.0,1,0.0,1.587,-7.634,1.46398,0.071705,2.21855,0.0,0.0,-9999.0,0.903,53.9009
200901010800,200901010830,-9999.0,3,0.0,1.744,-7.591,1.46937,-1.90547,2.22178,0.0,9.20584,-9999.0,0.91,49.5032
200901010830,200901010900,-9999.0,3,38.619,1.763,-7.76,1.44822,-1.75558,2.20905,0.20465,94.94,-9999.0,0.91,48.2685
200901010900,200901010930,-9999.0,3,76.168,1.794,-8.077,1.40885,-2.17253,2.18506,0.367022,190.704,-9999.0,0.91,46.0549
200901010930,200901011000,-9999.0,3,109.73,1.716,-8.155,1.39923,-1.95296,2.17914,0.489095,276.357,-9999.0,0.91,48.0641
200901011000,200901011030,-9999.0,3,230.69,1.829,-7.777,1.44609,-1.477,2.20777,0.809476,350.433,-9999.0,0.91,46.2723
