TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,2.59,0.35,1.68078,-1.15851,3.45122,0.0,0.0,0.0,3.212,58.92
200601010030,200601010100,-9999.0,1,0.0,2.2,-0.292,1.61215,-1.02319,3.13423,0.0,0.0,0.0,3.189,63.53
200601010100,200601010130,-9999.0,1,0.0,2.21,-0.266,1.61491,-1.03468,3.14665,0.0,0.0,0.0,3.151,63.3
200601010130,200601010200,-0.713648,0,0.0,2.46,0.195,1.66412,-1.14676,3.3727,0.0,0.0,0.0,3.109,60.51
200601010200,200601010230,1.35667,0,0.0,2.56,0.378,1.68379,0.683956,3.46554,0.0,0.0,0.0,3.08,59.52
200601010230,200601010300,4.16306,0,0.0,2.55,0.396,1.68573,-2.11996,3.47477,0.0,0.0,0.0,3.076,59.65
200601010300,200601010330,-9999.0,1,0.0,2.52,0.403,1.68649,-1.19007,3.47837,0.0,0.0,0.0,3.076,60.16
200601010330,200601010400,-9999.0,1,0.0,2.51,0.359,1.68175,-1.15727,3.45582,0.0,0.0,0.0,3.074,60.31
200601010400,200601010430,-9999.0,1,0.0,2.61,0.599,1.70765,-1.02886,3.58006,0.0,0.0,0.0,3.066,59.32
200601010430,200601010500,-9999.0,1,0.0,2.66,0.71,1.71967,-1.10891,3.63858,0.0,0.0,0.0,3.043,58.92
200601010500,200601010530,-9999.0,1,0.0,2.43,0.357,1.68153,-1.15754,3.4548,0.0,0.0,0.0,3.03,61.46
200601010530,200601010600,-9999.0,1,0.0,2.51,0.524,1.69954,-1.12872,3.5409,0.0,0.0,0.0,3.024,60.74
200601010600,200601010630,0.481815,0,0.0,2.49,0.479,1.69468,1.57273,3.51756,0.0,0.0,0.0,3.016,60.93
200601010630,200601010700,0.446292,0,0.0,2.5,0.563,1.70375,1.61986,3.56123,0.0,0.0,0.0,3.007,60.93
200601010700,200601010730,-9999.0,1,8.127,2.46,0.659,1.71414,-1.04384,3.61161,0.206404,47.3865,30.0,3.01,61.81
200601010730,200601010800,-9999.0,1,56.027,2.69,1.265,1.78018,-0.468723,3.94134,1.07362,173.747,120.0,3.021,60.03
200601010800,200601010830,-9999.0,1,97.195,2.9,1.882,1.84822,1.50037,4.29822,1.53801,293.16,190.0,3.035,58.77
200601010830,200601010900,-9999.0,1,123.14,2.79,2.015,1.86299,1.03493,4.37801,1.75577,402.046,260.0,3.088,60.78
200601010900,200601010930,-9999.0,1,192.96,2.94,2.445,1.91098,1.01423,4.64304,2.17279,498.543,370.0,3.185,59.87
200601010930,200601011000,-9999.0,1,155.44,3.41,3.144,1.98974,1.50021,5.09734,1.97327,581.0,320.0,3.332,55.73
200601011000,200601011030,-9999.0,1,271.16,3.19,2.954,1.96824,1.25306,4.97093,2.47133,648.005,580.0,3.495,58.08
200601011030,200601011100,-9999.0,1,442.41,4.36,5.293,2.23736,1.22961,6.68445,2.84466,698.412,760.0,3.677,51.29
200601011100,200601011130,-6.173,0,508.57,4.89,6.539,2.38431,9.11806,7.74306,2.93602,731.359,940.0,4.01,49.83
200601011130,200601011200,-6.56142,0,533.69,5.27,7.37,2.48353,6.97483,8.5082,2.966,746.283,1000.0,4.427,49.01
200601011200,200601011230,-9999.0,1,458.86,5.3,7.61,2.51236,6.4667,8.73819,2.86927,742.926,750.0,4.865,49.55
200601011230,200601011300,-9999.0,1,492.29,5.57,8.09,2.57024,5.5994,9.21043,2.91532,721.348,880.0,5.226,48.61
200601011300,200601011330,-9999.0,1,287.6,5.32,7.86,2.54247,7.66448,8.98209,2.52017,681.918,650.0,5.505,50.2
200601011330,200601011400,-9999.0,2,413.03,5.74,8.81,2.65757,3.92459,9.94988,2.79707,625.309,670.0,5.709,49.61
200601011400,200601011430,-9999.0,1,399.04,6.18,9.47,2.73815,2.81757,10.661,2.77258,552.491,680.0,5.901,48.11
200601011430,200601011500,-9999.0,1,293.11,6.07,9.39,2.72836,7.25956,10.573,2.53571,464.709,490.0,6.08,48.78
200601011500,200601011530,-9999.0,2,194.06,5.65,8.87,2.66488,3.82119,10.0132,2.17796,363.466,330.0,6.199,50.55
200601011530,200601011600,-6.21156,0,112.45,5.51,8.59,2.63082,9.47863,9.71995,1.67149,250.493,190.0,6.257,50.88
200601011600,200601011630,-9999.0,1,45.985,5.08,7.89,2.54609,-1.3452,9.01166,0.929003,127.724,70.0,6.268,52.49
200601011630,200601011700,-9999.0,1,1.86,4.86,7.49,2.49794,-0.266074,8.62268,0.049339,15.3426,0.0,6.252,53.35
200601011700,200601011730,-9999.0,1,0.0,4.49,6.843,2.4205,-0.428968,8.01739,0.0,0.0,0.0,6.201,54.95
200601011730,200601011800,-9999.0,1,0.0,4.34,6.561,2.38692,-0.297067,7.7627,0.0,0.0,0.0,6.106,55.54
200601011800,200601011830,-9999.0,1,0.0,4.13,6.32,2.35831,-0.481014,7.54937,0.0,0.0,0.0,5.982,57.02
200601011830,200601011900,-9999.0,1,0.0,4.05,6.243,2.34919,-0.49289,7.48205,0.0,0.0,0.0,5.857,57.66
200601011900,200601011930,-9999.0,1,0.0,3.88,6.004,2.32093,-0.558044,7.27567,0.0,0.0,0.0,5.743,58.7
200601011930,200601012000,-9999.0,1,0.0,3.9,6.099,2.33215,-0.543442,7.35724,0.0,0.0,0.0,5.654,58.84
200601012000,200601012030,-9999.0,1,0.0,3.59,5.8,2.29687,-0.258677,7.10257,0.0,0.0,0.0,5.593,61.25
200601012030,200601012100,-9999.0,1,0.0,3.73,6.127,2.33546,-0.510755,7.3814,0.0,0.0,0.0,5.549,60.66
200601012100,200601012130,-9999.0,1,0.0,3.87,6.359,2.36294,-0.474994,7.58362,0.0,0.0,0.0,5.491,59.83
