TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1
200801010000,200801010030,-9999.0,1,0.0,2.65,22.887,4.18284,0.070332,5.99576,0.0,0.0,0.0,24.431
200801010030,200801010100,-9999.0,1,0.0,1.017,22.5,4.14123,0.07814,5.97123,0.0,0.0,0.0,24.402
200801010100,200801010130,-9999.0,1,0.0,0.517,22.18,4.10678,0.185333,5.95082,0.0,0.0,0.0,24.38
200801010130,200801010200,7.63613,0,0.0,0.396,21.983,4.08556,-3.55057,5.9382,0.0,0.0,0.0,24.364
200801010200,200801010230,0.84317,0,0.0,0.324,21.89,4.07554,3.23237,5.93222,0.0,0.0,0.0,24.346
200801010230,200801010300,2.49317,0,0.0,0.278,21.787,4.06443,1.57126,5.92559,0.0,0.0,0.0,24.326
200801010300,200801010330,3.50832,0,0.0,0.253,21.803,4.06616,0.557836,5.92662,0.0,0.0,0.0,24.3
200801010330,200801010400,3.62208,0,0.0,0.233,21.68,4.05289,0.430811,5.91869,0.0,0.0,0.0,24.283
200801010400,200801010430,-9999.0,1,0.0,0.216,21.647,4.04933,-0.032438,5.91656,0.0,0.0,0.0,24.261
200801010430,200801010500,-9999.0,1,0.0,0.207,21.65,4.04965,-0.032115,5.91675,0.0,0.0,0.0,24.233
200801010500,200801010530,5.0839,0,0.0,0.206,21.553,4.03919,-1.04471,5.91048,0.0,0.0,0.0,24.214
200801010530,200801010600,5.47688,0,0.0,0.206,21.563,4.04027,-1.43661,5.91113,0.0,0.0,0.0,24.193
200801010600,200801010630,-9999.0,1,0.0,0.205,21.487,4.03207,-0.142603,5.9062,0.0,0.0,0.0,24.172
200801010630,200801010700,-9999.0,1,0.0,0.204,21.387,4.02127,-0.169837,5.89972,0.0,0.0,0.0,24.149
200801010700,200801010730,-9999.0,1,0.0,0.22,21.353,4.0176,-0.384567,5.89751,0.0,12.4116,5.21672,24.124
200801010730,200801010800,-9999.0,1,16.623,0.211,21.32,4.01404,-0.43737,5.89537,1.54254,150.245,41.5928,24.102
200801010800,200801010830,-9999.0,1,44.053,0.238,21.4,4.02268,-0.031913,5.90056,3.87339,317.797,105.213,24.076
200801010830,200801010900,-9999.0,1,86.91,0.326,21.57,4.04103,2.9314,5.91158,7.06252,479.416,202.468,24.063
200801010900,200801010930,-9999.0,1,127.5,0.593,21.817,4.06767,8.8471,5.92752,9.66712,632.338,296.92,24.059
