TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
199901010000,199901010030,-9999.0,1,0.0,2.384,5.825,1.85927,0.132552,2.11437,0.0,0.0,-9999.0,5.4,74.2
199901010030,199901010100,1.76,0,0.0,2.372,5.864,1.86504,0.105072,2.12091,0.0,0.0,-9999.0,5.6,74.4
199901010100,199901010130,2.51,0,0.0,2.487,5.994,1.88434,-0.625628,2.14281,0.0,0.0,-9999.0,5.4,73.4
199901010130,199901010200,0.76,0,0.0,2.593,6.061,1.89433,1.13436,2.15414,0.0,0.0,-9999.0,5.5,72.4
199901010200,199901010230,2.95,0,0.0,2.58,5.989,1.88359,-1.06637,2.14196,0.0,0.0,-9999.0,5.5,72.4
199901010230,199901010300,2.18,0,0.0,2.36,5.676,1.8373,-0.342659,2.08945,0.0,0.0,-9999.0,5.5,74.2
199901010300,199901010330,3.71,0,0.0,2.135,5.28,1.77959,-1.93037,2.02398,0.0,0.0,-9999.0,5.6,76.0
199901010330,199901010400,-1.29,0,0.0,2.091,5.16,1.76229,3.05233,2.00435,0.0,0.0,-9999.0,5.5,76.3
199901010400,199901010430,3.7,0,0.0,2.098,5.203,1.76848,-1.93148,2.01138,0.0,0.0,-9999.0,5.4,76.3
199901010430,199901010500,1.31,0,0.0,2.195,5.44,1.80279,0.492834,2.0503,0.0,0.0,-9999.0,5.4,75.6
199901010500,199901010530,0.73,0,0.0,2.125,5.449,1.8041,1.07414,2.05179,0.0,0.0,-9999.0,5.4,76.4
199901010530,199901010600,0.96,0,0.0,2.202,5.369,1.79248,0.83252,2.0386,0.0,0.0,-9999.0,5.4,75.4
199901010600,199901010630,2.95,0,0.0,2.185,5.199,1.7679,-1.18205,2.01072,0.0,0.0,-9999.0,5.4,75.3
199901010630,199901010700,2.28,0,0.0,1.913,4.759,1.70512,-0.574834,1.93949,0.0,0.0,-9999.0,5.5,77.7
199901010700,199901010730,3.0,0,0.0,1.846,4.637,1.68792,-1.31203,1.91998,0.0,0.0,-9999.0,5.4,78.3
199901010730,199901010800,0.89,0,0.0,1.75,4.411,1.6563,0.766356,1.88411,0.0,0.0,-9999.0,5.3,79.1
199901010800,199901010830,2.16,0,0.0,1.592,4.053,1.60687,-0.553077,1.82801,0.0,0.0,-9999.0,5.4,80.5
199901010830,199901010900,1.23,0,0.176,1.611,4.147,1.61977,0.389825,1.84265,0.01458,2.07138,-9999.0,5.4,80.4
199901010900,199901010930,3.45,0,9.29,1.647,4.249,1.63383,-1.81611,1.85861,0.744099,60.8047,-9999.0,5.4,80.1
199901010930,199901011000,0.1,0,36.65,1.678,4.439,1.6602,1.56025,1.88853,2.67005,138.421,-9999.0,5.3,80.0
