TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,2.287,22.09,4.83967,-0.895771,4.88619,0.0,0.0,3.1,24.41,91.4
200801010030,200801010100,-9999.0,1,0.0,2.543,22.37,4.86873,-0.227828,4.97745,0.0,0.0,3.1,24.32,90.6
200801010100,200801010130,-9999.0,1,0.0,2.616,22.32,4.86355,-0.289928,4.96108,0.0,0.0,3.1,24.24,90.3
200801010130,200801010200,-9999.0,1,0.0,2.513,22.18,4.84902,-1.03097,4.91542,0.0,0.0,3.1,24.18,90.6
200801010200,200801010230,-9999.0,1,0.0,2.54,22.35,4.86665,-0.316445,4.97089,0.0,0.0,3.1,24.12,90.6
200801010230,200801010300,-9999.0,1,0.0,2.461,22.19,4.85006,-0.947277,4.91867,0.0,0.0,3.1,24.07,90.8
200801010300,200801010330,-9999.0,1,0.0,2.121,22.04,4.83448,-0.892461,4.86999,0.0,0.0,3.1,24.01,92.0
200801010330,200801010400,-9999.0,1,0.0,1.994,21.87,4.8168,-1.38411,4.81515,0.0,0.0,3.1,23.95,92.4
200801010400,200801010430,-9999.0,1,0.0,1.819,21.71,4.80014,-1.41568,4.76384,0.0,0.0,3.1,23.88,93.0
200801010430,200801010500,-9999.0,1,0.0,1.76,21.65,4.79389,-1.42749,4.74468,0.0,0.0,3.1,23.82,93.2
200801010500,200801010530,-9999.0,1,0.0,1.916,21.65,4.79389,-1.42749,4.74468,0.0,0.0,3.1,23.75,92.6
200801010530,200801010600,-9999.0,1,0.32,2.144,21.81,4.81055,-1.66455,4.79587,0.022867,0.0,3.77,23.71,91.8
200801010600,200801010630,-9999.0,1,0.43,2.324,21.79,4.80847,-1.73407,4.78945,0.030718,0.0,4.01,23.66,91.1
200801010630,200801010700,10.9424,0,15.81,2.685,22.25,4.85628,-6.31597,4.93822,1.08403,47.2366,36.47,23.63,90.0
200801010700,200801010730,-9999.0,1,88.15,3.524,23.32,4.96683,5.34461,5.29406,5.08317,208.6,189.21,23.62,87.7
200801010730,200801010800,-9999.0,1,202.95,6.217,25.54,5.19311,10.3898,6.07579,9.3453,370.138,431.58,23.69,81.0
200801010800,200801010830,-3.62432,0,321.25,8.534,26.6,5.29966,9.13819,6.46952,12.2496,523.796,681.35,23.87,75.5
200801010830,200801010900,-5.34451,0,451.35,9.139,26.95,5.33463,10.9317,6.60241,14.4739,666.947,956.03,24.1,74.3
200801010900,200801010930,-7.21934,0,556.95,10.502,27.44,5.38341,12.9096,6.79084,15.7487,797.141,1178.98,24.4,71.3
200801010930,200801011000,-8.28466,0,638.85,11.515,27.79,5.41813,14.0489,6.92713,16.4332,912.15,1351.9,24.86,69.17
200801011000,200801011030,-10.222,0,605.15,11.789,27.95,5.43396,16.0201,6.9899,16.07,1010.01,1280.75,25.29,68.73
200801011030,200801011100,-9.21347,0,455.45,12.172,27.88,5.42704,14.9967,6.9624,14.2772,1089.04,964.69,25.56,67.58
200801011100,200801011130,-7.66042,0,733.95,13.067,28.09,5.4478,13.4882,7.04507,16.9747,1147.89,1552.68,25.6,65.62
200801011130,200801011200,-8.46102,0,774.95,13.784,28.26,5.46458,14.3249,7.11236,17.1457,1185.55,1639.25,25.72,64.09
200801011200,200801011230,-11.974,0,917.95,14.692,28.59,5.49707,17.9082,7.24393,17.8406,1201.38,1941.16,25.86,62.45
200801011230,200801011300,-8.78133,0,865.95,15.254,28.77,5.51476,14.7539,7.31623,17.4509,1195.12,1831.37,26.05,61.42
200801011300,200801011330,-7.11685,0,843.95,16.597,28.86,5.52359,13.1086,7.35251,17.082,1166.85,1784.93,26.18,58.24
200801011330,200801011400,-10.3481,0,791.95,16.283,28.94,5.53144,16.357,7.38484,16.8247,1117.08,1675.14,26.23,59.22
200801011400,200801011430,-5.61385,0,732.95,15.729,28.53,5.49117,11.5352,7.21992,16.5234,1046.65,1550.57,26.28,59.66
200801011430,200801011500,-6.57922,0,666.25,15.478,28.3,5.46852,12.4516,7.12825,16.057,956.765,1409.75,26.26,59.77
200801011500,200801011530,-3.34907,0,572.15,14.896,28.28,5.46655,9.21722,7.1203,15.2953,848.964,1211.07,26.36,61.24
200801011530,200801011600,-3.82158,0,488.25,14.223,28.16,5.45471,9.66424,7.07274,14.4555,725.091,1033.94,26.32,62.73
200801011600,200801011630,-1.94655,0,291.35,12.986,27.55,5.39434,7.66004,6.83352,11.389,587.267,618.22,26.19,64.74
200801011630,200801011700,-0.728123,0,193.85,12.704,27.34,5.37348,6.39733,6.75216,8.94633,437.848,412.37,26.02,65.08
200801011700,200801011730,0.443987,0,122.75,11.804,27.01,5.34062,5.15581,6.62533,6.53436,279.392,262.26,25.86,66.92
200801011730,200801011800,2.85539,0,48.64,10.879,26.39,5.27863,2.61462,6.39048,3.06689,114.611,105.79,25.7,68.38
200801011800,200801011830,3.13241,0,5.95,9.609,25.81,5.22034,2.21696,6.17483,0.418757,2.79326,15.65,25.53,71.1
200801011830,200801011900,2.81858,0,0.0,8.836,25.48,5.18705,2.46248,6.05389,0.0,0.0,3.1,25.37,72.9
200801011900,200801011930,4.28836,0,0.0,8.643,25.36,5.17492,0.967925,6.01023,0.0,0.0,3.1,25.24,73.3
200801011930,200801012000,4.3181,0,0.12,8.512,25.42,5.18098,0.950569,6.03204,0.00858,0.0,3.35,25.13,73.8
200801012000,200801012030,2.89976,0,0.0,8.047,25.4,5.17896,2.36478,6.02477,0.0,0.0,3.1,25.04,75.2
200801012030,200801012100,3.758,0,0.0,8.196,25.24,5.16277,1.47354,5.96674,0.0,0.0,3.1,24.97,74.5
200801012100,200801012130,-9999.0,1,0.0,5.968,24.08,5.04476,0.274378,5.5551,0.0,0.0,3.1,24.87,80.1
200801012130,200801012200,-9999.0,1,0.0,4.493,23.09,4.94315,-0.064619,5.21641,0.0,0.0,3.1,24.76,84.1
200801012200,200801012230,8.07007,0,0.0,4.109,22.8,4.91322,-3.33405,5.11942,0.0,0.0,3.1,24.65,85.2
200801012230,200801012300,6.17987,0,0.0,3.674,22.47,4.87909,-1.5097,5.01026,0.0,0.0,3.1,24.55,86.5
200801012300,200801012330,-9999.0,1,0.0,4.263,22.75,4.90806,-0.165802,5.1028,0.0,0.0,3.1,24.44,84.6
200801012330,200801020000,-9999.0,1,0.0,4.027,22.58,4.89048,-0.40649,5.0465,0.0,0.0,3.1,24.35,85.3
200801020000,200801020030,-9999.0,1,0.0,5.533,23.16,4.95036,0.031231,5.23998,0.0,0.0,3.1,24.27,80.5
200801020030,200801020100,-9999.0,1,0.0,6.074,23.32,4.96683,0.065373,5.29406,0.0,0.0,3.1,24.19,78.8
200801020100,200801020130,-9999.0,1,0.0,9.396,24.71,5.109,0.202358,5.77669,0.0,0.0,3.1,24.1,69.83
200801020130,200801020200,-9999.0,1,0.0,10.605,25.39,5.17795,0.343966,6.02113,0.0,0.0,3.1,24.04,67.3
200801020200,200801020230,8.04613,0,0.0,10.662,25.44,5.183,-2.77333,6.03932,0.0,0.0,3.1,23.97,67.22
200801020230,200801020300,7.75124,0,0.0,10.333,25.27,5.16581,-2.51351,5.9776,0.0,0.0,3.1,23.9,67.91
200801020300,200801020330,-9999.0,1,0.0,9.095,24.77,5.1151,0.156971,5.79804,0.0,0.0,3.1,23.85,70.9
200801020330,200801020400,-9999.0,1,0.0,7.719,24.17,5.05396,0.084121,5.58647,0.0,0.0,3.1,23.82,74.4
