TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1,0.0,4.586,24.18,8.64015,-0.927079,7.10921,0.0,0.0,3.1,26.255,84.8
200901010030,200901010100,-9999.0,1,0.0,4.539,23.79,8.51245,-1.03152,7.08098,0.0,0.0,3.1,26.195,84.6
200901010100,200901010130,-9999.0,1,0.0,5.649,24.2,8.64671,-0.92603,7.11066,0.0,0.0,3.1,26.13,81.3
200901010130,200901010200,7.71486,0,0.0,5.652,24.21,8.64999,0.978771,7.11138,0.0,0.0,3.1,26.065,81.3
200901010200,200901010230,7.14765,0,0.0,5.354,24.13,8.62375,1.52422,7.10561,0.0,0.0,3.1,26.0,82.2
200901010230,200901010300,8.76348,0,0.0,5.715,24.13,8.62375,-0.091609,7.10561,0.0,0.0,3.1,25.945,81.0
200901010300,200901010330,12.8087,0,0.0,5.785,24.07,8.60408,-4.15314,7.10127,0.0,0.0,3.1,25.89,80.7
200901010330,200901010400,-9999.0,1,0.0,4.251,23.25,8.33643,-1.27545,7.04156,0.0,0.0,3.1,25.825,85.1
200901010400,200901010430,-9999.0,1,0.0,5.122,23.77,8.50591,-1.02273,7.07953,0.0,0.0,3.1,25.77,82.6
200901010430,200901010500,-9999.0,1,0.0,5.645,24.1,8.61391,-0.931636,7.10344,0.0,0.0,3.1,25.715,81.2
200901010500,200901010530,8.4696,0,0.0,6.102,24.2,8.64671,0.22131,7.11066,0.0,0.0,3.1,25.67,79.8
200901010530,200901010600,9.0724,0,0.0,6.419,24.24,8.65983,-0.37061,7.11354,0.0,0.0,3.1,25.62,78.8
200901010600,200901010630,7.52302,0,0.34,6.283,24.36,8.69924,1.21142,7.12218,0.026253,0.0,3.81,25.575,79.4
200901010630,200901010700,7.17599,0,12.68,5.852,24.35,8.69596,1.55573,7.12146,0.963825,43.1632,29.86,25.535,80.8
200901010700,200901010730,-9999.0,1,72.15,5.666,24.43,8.72226,4.22555,7.12721,5.10148,203.157,155.42,25.505,81.5
200901010730,200901010800,-9999.0,1,188.45,7.047,25.26,8.99621,13.1424,7.18635,11.7245,364.912,400.96,25.495,78.1
200901010800,200901010830,-9999.0,1,317.25,8.447,26.15,9.2922,17.5874,7.24878,17.4209,518.878,672.9,25.51,75.1
200901010830,200901010900,-2.70479,0,382.65,8.832,26.37,9.3657,11.9875,7.26406,19.8302,662.422,810.98,25.555,74.3
200901010900,200901010930,-13.1252,0,557.75,10.236,27.06,9.59707,22.5967,7.31159,24.9853,793.086,1180.67,25.62,71.4
200901010930,200901011000,-9999.0,1,505.45,10.623,27.34,9.69132,24.5585,7.33071,23.372,908.636,1070.24,25.73,70.8
200901011000,200901011030,-9999.0,1,663.15,11.554,27.6,9.77901,26.9592,7.34837,26.5982,1007.09,1403.2,25.865,68.72
200901011030,200901011100,-23.8787,0,809.65,13.629,28.74,10.1654,33.8104,7.42487,27.5894,1086.78,1712.5,26.03,65.47
200901011100,200901011130,-21.8115,0,795.65,14.465,28.82,10.1927,31.7652,7.43018,26.6818,1146.32,1682.94,26.285,63.52
200901011130,200901011200,-21.3985,0,723.65,14.602,28.79,10.1825,31.344,7.42819,25.4727,1184.7,1530.93,26.565,63.11
200901011200,200901011230,-20.5731,0,882.65,15.338,28.91,10.2233,30.5515,7.43615,27.0882,1201.27,1866.63,26.815,61.52
200901011230,200901011300,-22.8027,0,857.65,15.468,29.07,10.2779,32.8249,7.44673,26.6642,1195.74,1813.84,27.055,61.55
200901011300,200901011330,-16.025,0,847.65,15.781,29.02,10.2608,26.0335,7.44343,26.2674,1168.2,1792.73,27.285,60.66
200901011330,200901011400,-10.5105,0,792.65,16.416,28.82,10.1927,20.4642,7.43018,25.0384,1119.14,1676.61,27.485,58.6
200901011400,200901011430,-10.8863,0,743.65,15.81,28.64,10.1314,20.7906,7.41822,24.8496,1049.37,1573.16,27.61,59.71
200901011430,200901011500,-8.60515,0,613.95,15.994,28.72,10.1586,18.5314,7.42354,22.6493,960.114,1299.32,27.695,59.43
200901011500,200901011530,-7.92883,0,470.95,15.366,28.42,10.0567,17.7728,7.40356,20.0916,852.88,997.4,27.74,60.34
200901011530,200901011600,-7.18448,0,440.95,13.476,27.7,9.81278,16.8312,7.35515,20.2243,729.509,934.07,27.72,63.73
200901011600,200901011630,-5.65962,0,342.55,14.001,27.82,9.85334,15.3392,7.36326,17.1038,592.111,726.31,27.65,62.58
200901011630,200901011700,-9999.0,1,220.55,13.448,27.59,9.77563,13.8469,7.3477,12.698,443.037,468.73,27.55,63.57
200901011700,200901011730,-9999.0,1,106.75,11.799,26.9,9.54331,8.95375,7.30062,7.16388,284.838,228.47,27.435,66.72
200901011730,200901011800,4.66578,0,45.72,10.541,26.13,9.28552,4.55136,7.24739,3.33062,120.22,99.62,27.31,68.89
200901011800,200901011830,5.09341,0,3.52,9.426,25.37,9.03267,3.91623,7.19412,0.270688,3.92249,10.53,27.165,70.9
200901011830,200901011900,9.26134,0,0.0,8.433,24.82,8.85073,-0.40165,7.15511,0.0,0.0,3.1,27.015,73.1
200901011900,200901011930,13.3512,0,0.0,7.124,24.26,8.6664,-4.64397,7.11498,0.0,0.0,3.1,26.87,76.5
200901011930,200901012000,12.1053,0,0.0,7.331,24.11,8.61719,-3.43887,7.10416,0.0,0.0,3.1,26.73,75.6
200901012000,200901012030,-9999.0,1,0.0,6.426,23.64,8.46346,-1.10874,7.07007,0.0,0.0,3.1,26.605,78.0
200901012030,200901012100,-9999.0,1,0.0,4.65,22.65,8.14199,-1.53406,6.99729,0.0,0.0,3.1,26.47,83.1
200901012100,200901012130,-9999.0,1,0.0,3.122,21.73,7.84624,-1.87807,6.92844,0.0,0.0,3.1,26.345,88.0
200901012130,200901012200,-9999.0,1,0.0,2.513,21.33,7.71859,-3.69543,6.89814,0.0,0.0,3.1,26.23,90.1
200901012200,200901012230,-9999.0,2,0.0,2.118,21.03,7.62324,1.34826,6.87526,0.0,0.0,3.1,26.12,91.5
200901012230,200901012300,-9999.0,2,0.0,1.855,20.91,7.5852,1.316,6.86608,0.0,0.0,3.1,26.015,92.5
200901012300,200901012330,-9999.0,2,0.0,1.728,20.64,7.49979,1.40266,6.84534,0.0,0.0,3.1,25.925,92.9
200901012330,200901020000,-9999.0,2,0.0,1.56,20.42,7.43041,1.59986,6.82835,0.0,0.0,3.1,25.82,93.5
200901020000,200901020030,-9999.0,2,0.0,1.423,20.23,7.37064,1.54894,6.81363,0.0,0.0,3.1,25.715,94.0
200901020030,200901020100,-9999.0,2,0.0,1.351,20.21,7.36435,1.54358,6.81208,0.0,0.0,3.1,25.62,94.3
200901020100,200901020130,-9999.0,2,0.0,2.346,21.05,7.62959,1.35364,6.8768,0.0,0.0,3.1,25.54,90.6
200901020130,200901020200,-9999.0,1,0.0,6.01,22.76,8.17755,-1.55503,7.00544,0.0,0.0,3.1,25.475,78.3
200901020200,200901020230,-9999.0,1,0.0,7.147,23.62,8.45693,-1.16123,7.06861,0.0,0.0,3.1,25.42,75.5
200901020230,200901020300,-9999.0,1,0.0,5.744,22.79,8.18725,-1.55514,7.00766,0.0,0.0,3.1,25.37,79.3
200901020300,200901020330,-9999.0,1,0.0,4.688,22.4,8.06133,-1.66926,6.9787,0.0,0.0,3.1,25.325,82.7
200901020330,200901020400,-9999.0,1,0.0,3.395,21.92,7.90707,-1.83118,6.94276,0.0,0.0,3.1,25.295,87.1
200901020400,200901020430,-9999.0,1,0.0,3.122,21.73,7.84624,-1.87807,6.92844,0.0,0.0,3.1,25.265,88.0
200901020430,200901020500,-9999.0,1,0.0,3.147,21.86,7.88785,-1.93352,6.93824,0.0,0.0,3.1,25.23,88.0
200901020500,200901020530,-9999.0,1,0.0,3.09,21.84,7.88144,-2.07298,6.93673,0.0,0.0,3.1,25.21,88.2
200901020530,200901020600,-9999.0,1,0.0,2.655,21.58,7.7983,-3.03859,6.91711,0.0,0.0,3.1,25.175,89.7
200901020600,200901020630,-9999.0,1,0.0,2.534,21.63,7.81427,-3.14571,6.92089,0.0,0.0,3.1,25.14,90.2
200901020630,200901020700,-9999.0,1,11.5,2.435,21.49,7.76958,-3.01674,6.91029,0.875434,43.4411,27.37,25.115,90.5
200901020700,200901020730,-9999.0,1,60.22,2.23,21.49,7.76958,3.97347,6.91029,4.31841,203.627,130.23,25.09,91.3
