TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,-9999.0,1,0.0,0.249,-16.62,0.432365,-0.505811,0.608595,0.0,0.0,0.0,0.697,85.0567
201001010030,201001010100,-9999.0,1,0.0,0.243,-17.023,0.410995,-0.289212,0.59272,0.0,0.0,0.0,0.71,84.91
201001010100,201001010130,-9999.0,2,0.0,0.241,-17.21,0.401248,1.5508,0.585348,0.0,0.0,0.0,0.69,84.76
201001010130,201001010200,-9999.0,2,0.0,0.24,-17.357,0.393661,1.78086,0.57955,0.0,0.0,0.0,0.7,84.65
201001010200,201001010230,-9999.0,1,0.0,0.24,-17.007,0.411834,-0.438704,0.59335,0.0,0.0,0.0,0.693,85.07
201001010230,201001010300,-9999.0,1,0.0,0.245,-16.607,0.433063,-0.505113,0.609107,0.0,0.0,0.0,0.707,85.3233
201001010300,201001010330,-9999.0,1,0.0,0.246,-16.643,0.431132,-0.429283,0.60769,0.0,0.0,0.0,0.69,85.2033
201001010330,201001010400,-9999.0,1,0.0,0.244,-15.953,0.468802,-0.436333,0.634821,0.0,0.0,0.0,0.703,86.1467
201001010400,201001010430,-9999.0,1,0.0,0.255,-15.0,0.523086,-0.276873,0.672145,0.0,0.0,0.0,0.703,86.6233
201001010430,201001010500,-9999.0,1,0.0,0.257,-14.74,0.538334,-0.201828,0.682291,0.0,0.0,0.0,0.693,86.82
201001010500,201001010530,-9999.0,1,0.0,0.258,-13.857,0.591458,-0.220259,0.716609,0.0,0.0,0.0,0.71,87.6933
201001010530,201001010600,-9999.0,1,0.0,0.266,-13.667,0.603153,-0.158674,0.723963,0.0,0.0,0.0,0.703,87.51
201001010600,201001010630,-9999.0,1,0.0,0.265,-13.61,0.606679,-0.155148,0.726167,0.0,0.0,0.0,0.703,87.5967
201001010630,201001010700,-9999.0,1,0.0,0.265,-13.657,0.603771,-0.158056,0.72435,0.0,0.0,0.0,0.693,87.5333
201001010700,201001010730,-9999.0,1,0.0,0.265,-13.563,0.609593,-0.152234,0.727983,0.0,0.0,0.0,0.697,87.6533
201001010730,201001010800,-9999.0,1,0.0,0.264,-13.257,0.628695,-0.094134,0.739791,0.0,0.0,0.0,0.7,87.98
201001010800,201001010830,-9999.0,1,0.0,0.267,-13.027,0.643204,-0.093895,0.748645,0.0,0.0,0.0,0.703,88.0633
201001010830,201001010900,-9999.0,1,0.0,0.267,-12.853,0.654265,-0.082834,0.75533,0.0,0.0,0.0,0.697,88.2367
201001010900,201001010930,-9999.0,1,0.0,0.268,-12.757,0.660399,-0.021116,0.759014,0.0,0.0,1.50213,0.7,88.3133
201001010930,201001011000,-9999.0,1,3.36,0.267,-12.447,0.680352,0.042955,0.770887,0.0,31.9825,7.20151,0.693,88.6467
201001011000,201001011030,-9999.0,1,8.8,0.268,-11.987,0.710366,0.138759,0.788437,0.0,96.3078,20.6989,0.7,89.0067
201001011030,201001011100,-9999.0,1,16.963,0.27,-11.527,0.74085,0.019036,0.805902,0.0,151.096,38.9247,0.69,89.3233
201001011100,201001011130,-9999.0,2,24.633,0.272,-11.213,0.761921,-1.19238,0.817774,0.0,195.344,57.7645,0.69,89.5233
201001011130,201001011200,-9999.0,2,38.293,0.272,-10.81,0.789265,-0.596175,0.832949,0.0,228.293,88.0639,0.693,89.85
