TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200301010000,200301010030,-9999.0,1,0.0,0.314,-22.0,0.021437,-0.096896,0.00205,0.0,0.0,0.0,-14.66,70.0
200301010030,200301010100,-9999.0,1,0.0,0.297,-22.12,0.020892,-0.057251,0.001937,0.0,0.0,0.0,-14.67,71.3
200301010100,200301010130,-9999.0,1,0.0,0.291,-22.36,0.019828,-0.078283,0.001726,0.0,0.0,0.0,-14.69,71.3
200301010130,200301010200,-9999.0,1,0.0,0.293,-22.55,0.01901,-0.0901,0.001573,0.0,0.0,0.0,-14.73,70.6
200301010200,200301010230,-9999.0,1,0.0,0.285,-22.74,0.018213,-0.090884,0.001431,0.0,0.0,0.0,-14.77,70.9
200301010230,200301010300,-9999.0,1,0.0,0.307,-22.51,0.01918,-0.07892,0.001604,0.0,0.0,0.0,-14.82,69.35
200301010300,200301010330,-9999.0,1,0.0,0.321,-22.1,0.020982,-0.057162,0.001956,0.0,0.0,0.0,-14.86,69.09
200301010330,200301010400,-0.0045418,0,0.0,0.339,-22.12,0.020892,0.025082,0.001937,0.0,0.0,0.0,-14.89,67.24
200301010400,200301010430,-9999.0,1,0.0,0.351,-22.23,0.0204,-0.057735,0.001838,0.0,0.0,0.0,-14.9,65.75
200301010430,200301010500,-9999.0,1,0.0,0.358,-22.09,0.021028,-0.057117,0.001965,0.0,0.0,0.0,-14.91,65.5
200301010500,200301010530,-9999.0,1,0.0,0.356,-22.15,0.020757,-0.057383,0.00191,0.0,0.0,0.0,-14.93,65.49
200301010530,200301010600,-9999.0,1,0.0,0.347,-22.41,0.019611,-0.078497,0.001685,0.0,0.0,0.0,-14.95,65.58
200301010600,200301010630,-9999.0,1,0.0,0.334,-22.81,0.017925,-0.091168,0.001382,0.0,0.0,0.0,-14.96,65.68
200301010630,200301010700,-9999.0,1,0.0,0.341,-22.71,0.018337,-0.090762,0.001453,0.0,0.0,0.0,-14.99,65.28
200301010700,200301010730,-9999.0,1,0.0,0.344,-22.58,0.018883,-0.090225,0.00155,0.0,0.0,0.0,-15.0,65.42
200301010730,200301010800,-9999.0,1,0.0,0.341,-22.17,0.020668,-0.057472,0.001891,0.0,0.0,0.0,-15.0,66.91
200301010800,200301010830,-9999.0,1,0.0,0.341,-22.1,0.020982,-0.057162,0.001956,0.0,0.0,0.0,-14.99,67.15
200301010830,200301010900,-9999.0,1,0.0,0.334,-22.18,0.020623,-0.057516,0.001882,0.0,0.0,0.0,-14.98,67.58
