TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,2,0.031,16.61,17.751,0.618193,0.030181,0.304941,0.000135,0.0,0.917872,27.447,18.2792
201201010030,201201010100,-9999.0,2,0.027,16.136,17.397,0.614579,0.025032,0.298514,0.000118,0.0,0.858821,27.246,18.8163
201201010100,201201010130,-9999.0,2,0.029,15.982,17.233,0.612898,0.022644,0.295559,0.000126,0.0,0.893308,27.04,18.7563
201201010130,201201010200,-9999.0,2,0.028,15.497,16.801,0.608451,0.016342,0.287842,0.000122,0.0,0.866268,26.845,19.0338
201201010200,201201010230,-9999.0,1,0.031,14.897,16.275,0.602998,-0.197779,0.278579,0.000135,0.0,0.890912,26.646,19.5185
201201010230,201201010300,-9999.0,1,0.03,14.161,15.633,0.596284,-0.205279,0.267474,0.000131,0.0,0.760507,26.46,20.2896
201201010300,201201010330,-9999.0,1,0.031,13.596,15.133,0.59101,-0.187767,0.258979,0.000135,0.0,0.780239,26.272,20.9759
201201010330,201201010400,-9999.0,1,0.033,13.532,15.083,0.590481,-0.170084,0.258137,0.000144,0.0,1.00181,26.073,21.0963
201201010400,201201010430,-9999.0,1,0.033,13.641,15.174,0.591444,-0.168743,0.259671,0.000144,0.0,0.888612,25.873,20.9237
201201010430,201201010500,-9999.0,1,0.032,13.83,15.356,0.593367,-0.166064,0.262751,0.000139,0.0,0.898473,25.703,20.7558
201201010500,201201010530,-9999.0,1,0.03,13.982,15.496,0.594843,-0.158689,0.265133,0.000131,0.0,0.947709,25.519,20.6103
201201010530,201201010600,-9999.0,1,0.026,13.897,15.444,0.594295,-0.123529,0.264247,0.000113,0.0,0.790169,25.374,20.8271
201201010600,201201010630,-9999.0,1,0.035,13.003,14.653,0.585911,-0.140608,0.250953,0.000152,0.0,1.05109,25.226,22.0507
201201010630,201201010700,-9999.0,1,0.032,11.994,13.731,0.576014,-0.105293,0.235892,0.000139,0.0,1.01909,25.081,23.6744
201201010700,201201010730,-9999.0,1,0.908,11.858,13.571,0.574283,-0.107666,0.233326,0.003953,0.0,2.92926,24.944,23.7489
201201010730,201201010800,-9999.0,1,19.522,11.604,13.295,0.571287,-0.098345,0.228934,0.08427,73.9472,41.9209,24.796,24.0231
201201010800,201201010830,-9999.0,2,84.908,12.756,14.411,0.583326,0.29292,0.246954,0.355824,234.096,203.578,24.652,22.3246
201201010830,201201010900,-9999.0,2,234.025,14.535,15.975,0.599868,0.964307,0.273362,0.919522,387.876,402.824,24.488,19.9552
201201010900,201201010930,-9999.0,2,291.529,16.163,17.325,0.613842,1.81412,0.297215,1.11854,532.484,507.609,24.375,18.3112
