TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,-9999.0,2,0.0,0.018,-2.227,0.292393,0.331517,0.592387,0.0,0.0,-9999.0,0.932,-9999.0
201001010030,201001010100,-9999.0,2,0.0,0.014,-2.309,0.295514,0.170141,0.596207,0.0,0.0,-9999.0,0.859,-9999.0
201001010100,201001010130,-9999.0,2,0.0,0.002,-2.575,0.298702,0.155682,0.600094,0.0,0.0,-9999.0,0.801,-9999.0
201001010130,201001010200,-9999.0,2,0.0,0.0,-2.81,0.301914,0.189741,0.603992,0.0,0.0,-9999.0,0.749,-9999.0
201001010200,201001010230,-9999.0,2,0.0,0.0,-2.887,0.305104,0.173475,0.607847,0.0,0.0,-9999.0,0.698,-9999.0
201001010230,201001010300,-9999.0,2,0.0,0.0,-3.067,0.308363,0.154703,0.611769,0.0,0.0,-9999.0,0.658,-9999.0
201001010300,201001010330,-9999.0,2,0.0,0.0,-3.186,0.311645,0.155482,0.615703,0.0,0.0,-9999.0,0.618,-9999.0
201001010330,201001010400,-9999.0,2,0.0,0.018,-3.224,0.313386,0.18393,0.617784,0.0,0.0,-9999.0,0.583,-9999.0
201001010400,201001010430,-9999.0,2,0.0,0.034,-3.266,0.315135,0.190732,0.619868,0.0,0.0,-9999.0,0.55,-9999.0
201001010430,201001010500,-9999.0,2,0.0,0.07,-3.313,0.316936,0.203975,0.622011,0.0,0.0,-9999.0,0.525,-9999.0
201001010500,201001010530,-9999.0,2,0.0,0.112,-3.349,0.318697,0.177686,0.624102,0.0,0.0,-9999.0,0.496,-9999.0
201001010530,201001010600,-9999.0,2,0.0,0.156,-3.379,0.320466,0.245909,0.626196,0.0,0.0,-9999.0,0.47,-9999.0
