TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,2,0.0,0.81,-9.65,0.269278,0.095788,0.692078,0.0,0.0,-0.104,1.94,72.8
201101010030,201101010100,-9999.0,2,0.0,0.85,-9.46,0.273019,0.099536,0.69704,0.0,0.0,0.053,1.775,72.0
201101010100,201101010130,-9999.0,2,0.0,0.95,-8.98,0.282525,0.072812,0.709504,0.0,0.0,-0.242,1.631,69.63
201101010130,201101010200,-9999.0,2,0.0,1.05,-8.65,0.289105,-0.008578,0.718012,0.0,0.0,0.089,1.505,67.27
201101010200,201101010230,-9999.0,2,0.0,1.14,-8.6,0.290105,-0.007576,0.719296,0.0,0.0,-0.087,1.393,64.57
201101010230,201101010300,-9999.0,2,0.0,1.17,-8.61,0.289905,-0.007776,0.71904,0.0,0.0,0.028,1.28,63.58
201101010300,201101010330,-9999.0,2,0.0,1.11,-8.91,0.283918,0.074207,0.711312,0.0,0.0,-0.159,1.173,64.82
201101010330,201101010400,-9999.0,2,0.0,1.1,-9.17,0.278753,0.069032,0.704583,0.0,0.0,0.017,1.053,64.44
201101010400,201101010430,-9999.0,2,0.0,0.99,-9.67,0.268885,0.095395,0.691554,0.0,0.0,0.045,0.934,66.49
201101010430,201101010500,-9999.0,2,0.0,0.87,-10.25,0.257549,0.262382,0.676301,0.0,0.0,-0.11,0.803,69.23
201101010500,201101010530,-9999.0,2,0.0,0.8,-10.57,0.251349,0.193745,0.667821,0.0,0.0,-0.106,0.664,71.2
201101010530,201101010600,-9999.0,2,0.0,0.73,-11.0,0.243081,0.185465,0.656355,0.0,0.0,-0.068,0.527,72.9
201101010600,201101010630,-9999.0,1,0.0,0.7,-11.11,0.240978,-0.151397,0.653409,0.0,0.0,-0.079,0.384,73.5
201101010630,201101010700,-9999.0,2,0.0,0.73,-10.95,0.244039,0.186424,0.657692,0.0,0.0,-0.164,0.229,72.7
201101010700,201101010730,-9999.0,2,0.0,0.74,-10.91,0.244805,0.187192,0.658762,0.0,0.0,0.457,0.114,72.6
201101010730,201101010800,-9999.0,2,10.93,0.78,-10.7,0.248841,0.191234,0.664363,0.150585,11.7462,18.42,-0.014,71.5
201101010800,201101010830,-9999.0,1,67.69,0.77,-10.42,0.25425,0.416739,0.671802,0.782063,117.85,107.8,-0.097,72.4
201101010830,201101010900,-9999.0,1,153.3,1.05,-8.92,0.283719,0.719452,0.711054,1.42442,237.969,261.5,-0.159,66.68
201101010900,201101010930,-9999.0,1,246.9,1.33,-7.55,0.311274,0.417909,0.746013,1.88965,348.325,414.8,-0.18,61.96
201101010930,201101011000,-9999.0,1,334.9,1.77,-6.189,0.339149,1.11488,0.779891,2.1987,447.03,564.7,-0.147,54.41
201101011000,201101011030,-9999.0,1,411.4,2.17,-5.137,0.36098,0.74046,0.805494,2.40381,532.394,699.9,-0.069,48.45
201101011030,201101011100,0.250556,0,474.8,2.36,-4.599,0.372226,0.121614,0.818391,2.54245,602.957,814.0,0.025,46.11
201101011100,201101011130,0.454111,0,523.701,2.64,-3.697,0.391187,-0.062927,0.839719,2.63452,657.512,904.0,0.11,43.68
201101011130,201101011200,-0.286333,0,557.7,2.94,-2.914,0.407739,0.694119,0.857933,2.69223,695.125,968.0,0.189,40.74
201101011200,201101011230,-9999.0,1,575.0,3.29,-2.025,0.42662,0.636303,0.878279,2.71984,715.153,1001.0,0.281,37.88
201101011230,201101011300,-9999.0,1,577.6,3.42,-1.687,0.433819,0.643525,0.885923,2.72389,717.253,1008.0,0.588,37.0
201101011300,201101011330,-0.221111,0,562.8,3.54,-1.096,0.446429,0.667709,0.899165,2.70048,701.389,984.0,1.037,37.59
201101011330,201101011400,-0.454778,0,531.1,3.67,-0.538,0.458359,0.913345,0.911527,2.64749,667.832,931.0,1.414,37.87
201101011400,201101011430,1.989,0,484.7,3.87,0.006,0.470006,-1.51875,0.923449,2.56203,617.157,851.0,1.721,37.02
201101011430,201101011500,1.56167,0,422.6,3.91,0.326,0.476864,-1.08453,0.930401,2.43011,550.231,744.0,1.956,37.82
201101011500,201101011530,-0.294667,0,349.2,4.16,0.756,0.486085,0.781057,0.939674,2.2408,468.199,598.6,2.106,35.84
201101011530,201101011600,-9999.0,1,264.9,4.29,0.884,0.488831,0.154451,0.942419,1.96092,372.464,466.6,2.206,34.55
201101011600,201101011630,-9999.0,2,173.6,4.31,0.886,0.488874,1.55276,0.942462,1.54148,264.665,310.6,2.294,34.28
201101011630,201101011700,-9999.0,2,86.9,4.1,0.625,0.483275,0.659868,0.936858,0.952005,146.645,150.2,2.388,36.28
201101011700,201101011730,-9999.0,2,17.64,3.58,-0.382,0.461697,0.432088,0.914959,0.237623,28.0598,31.76,2.372,40.09
201101011730,201101011800,-9999.0,1,0.0,2.98,-1.748,0.432519,0.218421,0.884547,0.0,0.0,1.264,2.227,44.89
201101011800,201101011830,-9999.0,1,0.0,2.9,-2.071,0.425641,0.211521,0.877235,0.0,0.0,-0.299,1.99,45.1
201101011830,201101011900,-9999.0,1,0.0,2.53,-3.07,0.404435,0.001138,0.854326,0.0,0.0,-0.18,1.813,48.47
201101011900,201101011930,-9999.0,1,0.0,2.39,-3.512,0.39509,-0.008235,0.844047,0.0,0.0,-0.21,1.665,49.69
201101011930,201101012000,-9999.0,1,0.0,1.96,-4.704,0.370027,-0.033369,0.815884,0.0,0.0,-0.246,1.538,54.81
201101012000,201101012030,-9999.0,1,0.0,1.7,-5.479,0.353859,-0.049581,0.797226,0.0,0.0,-0.193,1.417,58.41
201101012030,201101012100,-9999.0,1,0.0,1.66,-5.707,0.349124,-0.143717,0.791684,0.0,0.0,-0.24,1.285,58.84
201101012100,201101012130,-9999.0,1,0.0,1.56,-6.077,0.341463,-0.151398,0.782641,0.0,0.0,-0.034,1.172,60.09
201101012130,201101012200,-9999.0,1,0.0,1.53,-6.303,0.336798,-0.156074,0.777086,0.0,0.0,-0.244,1.051,60.31
201101012200,201101012230,-9999.0,2,0.0,1.5,-6.423,0.334325,-0.304996,0.774127,0.0,0.0,-0.072,0.938,60.63
201101012230,201101012300,-9999.0,1,0.0,1.62,-5.978,0.34351,-0.149345,0.785067,0.0,0.0,-0.178,0.819,58.82
201101012300,201101012330,-9999.0,1,0.0,1.66,-5.954,0.344006,-0.148847,0.785654,0.0,0.0,0.055,0.713,58.05
201101012330,201101020000,-9999.0,2,0.0,1.21,-7.63,0.30965,-0.124102,0.743995,0.0,0.0,-0.13,0.601,65.34
201101020000,201101020030,-9999.0,2,0.0,0.98,-8.53,0.291506,-0.006172,0.721093,0.0,0.0,-0.176,0.496,69.74
201101020030,201101020100,-9999.0,2,0.0,0.98,-8.55,0.291105,-0.006573,0.72058,0.0,0.0,-0.467,0.379,69.76
201101020100,201101020130,-9999.0,2,0.0,1.05,-8.27,0.296723,-0.000943,0.727747,0.0,0.0,-0.132,0.265,68.21
201101020130,201101020200,-9999.0,2,0.0,1.3,-7.25,0.317379,-0.198899,0.753554,0.0,0.0,-0.03,0.154,63.8
201101020200,201101020230,-9999.0,2,0.0,1.37,-7.12,0.320032,-0.225737,0.756809,0.0,0.0,-0.019,0.043,62.14
201101020230,201101020300,-9999.0,2,0.0,1.12,-8.11,0.299944,0.002284,0.731827,0.0,0.0,0.11,-0.062,66.52
201101020300,201101020330,-9999.0,2,0.0,0.96,-8.67,0.288705,-0.008978,0.717498,0.0,0.0,-0.31,-0.155,70.0
201101020330,201101020400,-9999.0,2,0.0,0.93,-8.94,0.283321,0.073609,0.710537,0.0,0.0,-0.151,-0.278,70.3
201101020400,201101020430,-9999.0,2,0.0,0.6,-10.38,0.255025,0.197428,0.672861,0.0,0.0,-0.378,-0.37,78.7
201101020430,201101020500,-9999.0,2,0.0,0.69,-9.85,0.265353,0.2702,0.686837,0.0,0.0,-0.331,-0.485,76.4
201101020500,201101020530,-9999.0,2,0.0,0.75,-9.44,0.273414,0.099932,0.697561,0.0,0.0,-0.164,-0.584,75.2
201101020530,201101020600,-9999.0,2,0.0,0.74,-9.56,0.271048,0.097562,0.69443,0.0,0.0,-0.3,-0.665,75.3
201101020600,201101020630,-9999.0,2,0.0,0.92,-8.77,0.286708,0.077003,0.714924,0.0,0.0,-0.087,-0.757,71.2
201101020630,201101020700,-9999.0,2,0.0,0.78,-9.47,0.272822,0.099339,0.696779,0.0,0.0,0.074,-0.84,74.3
201101020700,201101020730,-9999.0,2,0.0,0.79,-9.41,0.274006,0.100525,0.698343,0.0,0.0,0.414,-0.945,74.0
201101020730,201101020800,-9999.0,2,11.4,0.92,-8.86,0.284914,0.075205,0.712603,0.15681,12.3068,18.69,-1.043,70.9
201101020800,201101020830,-9999.0,1,68.43,0.93,-8.46,0.292909,0.737961,0.722888,0.788952,119.199,109.4,-1.127,71.4
201101020830,201101020900,-9999.0,1,152.4,1.16,-7.04,0.321666,0.880717,0.758808,1.41897,239.391,265.7,-1.162,68.09
201101020900,201101020930,-9999.0,1,245.7,1.51,-5.051,0.362774,0.469536,0.807564,1.88472,349.814,420.8,-1.13,64.32
201101020930,201101021000,-9999.0,1,333.4,2.19,-2.59,0.414611,0.274566,0.865389,2.19417,448.578,571.2,-1.033,57.01
201101021000,201101021030,-0.0333333,0,411.3,3.18,-0.599,0.457053,0.490591,0.910183,2.40357,533.994,708.0,-0.876,45.97
201101021030,201101021100,-0.0586667,0,475.7,3.84,0.421,0.478901,0.537847,0.932457,2.54425,604.6,824.0,-0.669,39.4
201101021100,201101021130,0.343222,0,525.0,4.4,1.618,0.504586,0.161735,0.958026,2.63681,659.188,914.0,-0.504,36.27
201101021130,201101021200,0.270333,0,559.1,4.9,2.428,0.521979,0.252082,0.974986,2.6945,696.824,978.0,-0.376,33.03
201101021200,201101021230,0.757667,0,576.9,5.64,3.483,0.544629,-0.212517,0.996668,2.7228,716.864,1013.0,-0.287,28.45
201101021230,201101021300,0.288556,0,577.2,5.79,3.952,0.554691,0.266696,1.00616,2.72327,718.965,1018.0,-0.205,28.93
201101021300,201101021330,0.129111,0,562.4,5.95,4.288,0.561896,0.433375,1.01291,2.69984,703.092,993.0,-0.126,28.67
201101021330,201101021400,-0.407111,0,531.1,6.34,4.902,0.575052,0.982805,1.02512,2.64749,669.515,940.0,0.049,27.18
201101021400,201101021430,2.09344,0,484.1,6.6,5.373,0.585133,-1.50762,1.03439,2.56086,618.809,859.0,0.599,26.68
201101021430,201101021500,-0.278778,0,424.4,6.88,5.747,0.59313,0.872624,1.04168,2.43426,551.842,752.0,1.061,25.5
201101021500,201101021530,-0.488222,0,350.7,6.99,5.968,0.597852,1.08681,1.04597,2.24511,469.76,620.7,1.369,25.46
201101021530,201101021600,-0.934889,0,265.5,7.06,6.151,0.60176,1.5374,1.0495,1.96322,373.967,471.9,1.56,25.67
201101021600,201101021630,-9999.0,2,175.0,7.01,6.079,0.600222,0.457599,1.04811,1.54917,266.102,314.3,1.665,25.83
201101021630,201101021700,-9999.0,1,87.5,6.58,5.55,0.588919,0.741482,1.03784,0.95703,148.011,154.1,1.749,27.76
