TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200701010000,200701010030,-9999.0,2,0.237,0.071,-39.67,1e-06,-0.072666,0.000497,0.0,0.0,0.455,-18.28,62.8
200701010030,200701010100,-9999.0,2,0.24,0.071,-39.63,1e-06,-0.072666,0.000522,0.0,0.0,0.462,-18.29,62.89
200701010100,200701010130,-9999.0,2,0.24,0.071,-39.52,1e-06,-0.072666,0.000596,0.0,0.0,0.462,-18.31,63.11
200701010130,200701010200,-9999.0,2,0.238,0.072,-39.44,1e-06,-0.072666,0.000654,0.0,0.0,0.458,-18.33,63.25
200701010200,200701010230,-9999.0,2,0.237,0.073,-39.18,1e-06,-0.072665,0.000873,0.0,0.0,0.455,-18.36,63.56
200701010230,200701010300,-9999.0,2,0.232,0.074,-39.03,2e-06,-0.072665,0.001022,0.0,0.0,0.447,-18.38,63.76
200701010300,200701010330,-9999.0,2,0.24,0.075,-38.84,3e-06,-0.072664,0.001235,0.0,0.0,0.462,-18.41,63.96
200701010330,200701010400,-9999.0,2,0.238,0.075,-38.8,3e-06,-0.072664,0.001283,0.0,0.0,0.458,-18.42,63.97
200701010400,200701010430,-9999.0,2,0.237,0.076,-38.58,4e-06,-0.072662,0.001575,0.0,0.0,0.455,-18.43,64.25
200701010430,200701010500,-9999.0,2,0.24,0.077,-38.54,4e-06,-0.072662,0.001632,0.0,0.0,0.462,-18.44,64.3
200701010500,200701010530,-9999.0,2,0.242,0.072,-39.34,1e-06,-0.072666,0.000733,0.0,0.0,0.466,-18.43,63.62
200701010530,200701010600,-9999.0,2,0.24,0.071,-39.61,1e-06,-0.072666,0.000535,0.0,0.0,0.462,-18.41,63.13
200701010600,200701010630,-9999.0,2,0.238,0.071,-39.52,1e-06,-0.072666,0.000596,0.0,0.0,0.458,-18.43,63.1
200701010630,200701010700,-9999.0,2,0.24,0.071,-39.49,1e-06,-0.072666,0.000617,0.0,0.0,0.462,-18.44,63.22
200701010700,200701010730,-9999.0,2,0.24,0.071,-39.59,1e-06,-0.075714,0.000548,0.0,0.0,0.462,-18.46,63.09
200701010730,200701010800,-9999.0,2,0.237,0.071,-39.55,1e-06,-0.075714,0.000575,0.0,0.0,0.455,-18.47,63.09
200701010800,200701010830,-9999.0,2,0.238,0.071,-39.55,1e-06,-0.075714,0.000575,0.0,0.0,0.458,-18.5,63.08
200701010830,200701010900,-9999.0,2,0.238,0.072,-39.46,1e-06,-0.075713,0.000639,0.0,0.0,0.458,-18.52,63.21
