TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
199901010000,199901010030,-9999.0,3,0.0,3.15,3.52,1.60962,2.75623,0.181414,0.0,0.0,-9999.0,7.231,-9999.0
199901010030,199901010100,-9999.0,3,0.0,3.116,3.403,1.58696,2.66737,0.176679,0.0,0.0,-9999.0,7.111,-9999.0
199901010100,199901010130,-9999.0,3,0.0,3.092,3.232,1.56449,2.55647,0.17204,0.0,0.0,-9999.0,6.994,-9999.0
199901010130,199901010200,-9999.0,3,0.0,3.062,3.099,1.56197,2.52058,0.171523,0.0,0.0,-9999.0,6.879,-9999.0
199901010200,199901010230,-9999.0,3,0.0,3.14,3.068,1.5596,2.67394,0.171039,0.0,0.0,-9999.0,6.766,-9999.0
199901010230,199901010300,-9999.0,3,0.0,3.212,2.976,1.55709,2.48458,0.170525,0.0,0.0,-9999.0,6.656,-9999.0
199901010300,199901010330,-9999.0,3,0.0,3.336,3.066,1.55473,2.48857,0.170044,0.0,0.0,-9999.0,6.548,-9999.0
199901010330,199901010400,-9999.0,3,0.0,3.418,3.187,1.55238,2.59,0.169563,0.0,0.0,-9999.0,6.443,-9999.0
199901010400,199901010430,-9999.0,3,0.0,3.516,3.371,1.54987,2.7447,0.169052,0.0,0.0,-9999.0,6.34,-9999.0
199901010430,199901010500,-9999.0,3,0.0,3.622,3.493,1.54533,2.70975,0.168129,0.0,0.0,-9999.0,6.243,-9999.0
199901010500,199901010530,-9999.0,3,0.0,3.834,3.649,1.54079,2.6785,0.16721,0.0,0.0,-9999.0,6.153,-9999.0
199901010530,199901010600,-9999.0,3,0.0,4.136,3.82,1.53626,3.20905,0.166294,0.0,0.0,-9999.0,6.071,-9999.0
199901010600,199901010630,-9999.0,3,0.0,4.618,4.091,1.53174,3.14242,0.165382,0.0,0.0,-9999.0,5.995,-9999.0
199901010630,199901010700,-9999.0,3,0.0,5.236,4.501,1.52723,3.14582,0.164475,0.0,0.0,-9999.0,5.927,-9999.0
199901010700,199901010730,-9999.0,3,0.0,5.928,5.148,1.52272,4.18245,0.16357,0.0,1.1995,-9999.0,5.867,-9999.0
199901010730,199901010800,-9999.0,3,50.084,6.632,6.005,1.66265,6.31806,0.192724,1.0544,78.4461,-9999.0,5.822,-9999.0
199901010800,199901010830,-9999.0,3,124.652,7.36,6.934,1.80956,7.62077,0.225702,2.54529,195.467,-9999.0,5.801,-9999.0
199901010830,199901010900,-9999.0,3,193.288,8.022,7.918,1.96341,9.79487,0.262815,3.84041,303.15,-9999.0,5.813,-9999.0
199901010900,199901010930,-9999.0,3,254.818,8.634,8.868,2.12416,12.3294,0.304376,4.9435,399.653,-9999.0,5.862,-9999.0
199901010930,199901011000,-9999.0,3,308.191,9.192,9.656,2.29175,13.9964,0.350703,5.85905,483.325,-9999.0,5.947,-9999.0
199901011000,199901011030,-9999.0,3,401.01,9.72,10.35,2.46612,15.3984,0.402119,7.36675,552.733,-9999.0,6.065,-9999.0
199901011030,199901011100,-9999.0,3,440.23,10.166,10.958,2.67158,15.9075,0.466866,7.9737,606.692,-9999.0,6.216,-9999.0
199901011100,199901011130,-9999.0,3,467.599,10.49,11.502,2.8855,16.2384,0.539015,8.38726,644.276,-9999.0,6.398,-9999.0
199901011130,199901011200,-9999.0,3,482.65,10.736,11.991,3.1075,15.4285,0.61895,8.61128,664.844,-9999.0,6.611,-9999.0
199901011200,199901011230,-9999.0,3,485.124,10.928,12.417,3.33788,14.3326,0.707298,8.64788,668.043,-9999.0,6.851,-9999.0
199901011230,199901011300,-9999.0,3,474.98,11.017,12.744,3.57626,13.3395,0.804439,8.49742,653.819,-9999.0,7.111,-9999.0
199901011300,199901011330,-9999.0,3,415.058,11.03,12.972,3.82246,13.0356,0.910828,7.58613,622.414,-9999.0,7.378,-9999.0
199901011330,199901011400,-9999.0,3,383.269,11.07,13.089,3.74443,12.5191,0.876446,7.08648,574.367,-9999.0,7.515,-9999.0
199901011400,199901011430,-9999.0,3,340.96,3.679,13.121,3.66715,12.1363,0.843003,6.4032,510.499,-9999.0,7.651,-9999.0
199901011430,199901011500,-9999.0,3,288.854,2.993,13.136,3.59089,11.4128,0.810588,5.53162,431.903,-9999.0,7.784,-9999.0
199901011500,199901011530,-9999.0,3,227.842,2.819,9.502,3.51514,9.48764,0.77898,4.46636,339.924,-9999.0,9.349,-9999.0
199901011530,199901011600,-9999.0,3,158.968,2.538,8.949,3.44016,7.86724,0.748269,3.20166,236.136,-9999.0,9.498,-9999.0
199901011600,199901011630,-9999.0,3,36.416,2.182,8.517,3.36597,6.05376,0.718444,0.771038,122.314,-9999.0,9.5,-9999.0
199901011630,199901011700,-9999.0,3,1.074,1.832,7.918,3.15247,4.74439,0.635766,0.023081,15.8671,-9999.0,9.48,-9999.0
199901011700,199901011730,-9999.0,3,0.0,1.571,7.203,2.94587,3.25075,0.560246,0.0,0.0,-9999.0,9.431,-9999.0
199901011730,199901011800,-9999.0,3,0.0,1.396,6.413,2.74608,2.7346,0.491448,0.0,0.0,-9999.0,9.346,-9999.0
199901011800,199901011830,-9999.0,3,0.0,1.311,5.558,2.55366,2.50438,0.429157,0.0,0.0,-9999.0,9.216,-9999.0
199901011830,199901011900,-9999.0,3,0.0,1.391,5.213,2.36848,2.44086,0.372927,0.0,0.0,-9999.0,9.122,-9999.0
199901011900,199901011930,-9999.0,3,0.0,1.476,5.004,2.19064,1.95295,0.322389,0.0,0.0,-9999.0,9.009,-9999.0
199901011930,199901012000,-9999.0,3,0.0,1.581,4.904,2.13238,2.88225,0.306579,0.0,0.0,-9999.0,8.884,-9999.0
199901012000,199901012030,-9999.0,3,0.0,1.698,4.848,2.07497,2.85129,0.291359,0.0,0.0,-9999.0,8.754,-9999.0
199901012030,199901012100,-9999.0,3,0.0,1.806,4.877,2.0184,3.08674,0.276715,0.0,0.0,-9999.0,8.625,-9999.0
199901012100,199901012130,-9999.0,3,0.0,1.932,4.92,1.96269,3.8636,0.262636,0.0,0.0,-9999.0,8.499,-9999.0
199901012130,199901012200,-9999.0,3,0.0,2.137,4.869,1.90783,3.92225,0.249106,0.0,0.0,-9999.0,8.377,-9999.0
199901012200,199901012230,-9999.0,3,0.0,2.206,4.843,1.85382,3.86697,0.236112,0.0,0.0,-9999.0,8.26,-9999.0
199901012230,199901012300,-9999.0,3,0.0,2.144,5.082,1.83411,4.24253,0.23145,0.0,0.0,-9999.0,8.19,-9999.0
199901012300,199901012330,-9999.0,3,0.0,2.143,5.266,1.81435,4.7717,0.226819,0.0,0.0,-9999.0,8.126,-9999.0
199901012330,199901020000,-9999.0,3,0.0,2.045,5.373,1.79488,3.24398,0.222298,0.0,0.0,-9999.0,8.071,-9999.0
199901020000,199901020030,-9999.0,3,0.0,1.914,5.535,1.77535,2.96446,0.217808,0.0,0.0,-9999.0,8.022,-9999.0
199901020030,199901020100,-9999.0,3,0.0,1.951,5.586,1.75611,3.31746,0.213425,0.0,0.0,-9999.0,7.978,-9999.0
199901020100,199901020130,-9999.0,3,0.0,1.986,5.534,1.73682,3.13432,0.209072,0.0,0.0,-9999.0,7.895,-9999.0
199901020130,199901020200,-9999.0,3,0.0,1.996,5.486,1.73482,3.43105,0.208622,0.0,0.0,-9999.0,7.819,-9999.0
199901020200,199901020230,-9999.0,3,0.0,2.073,5.5,1.73264,3.41806,0.208135,0.0,0.0,-9999.0,7.75,-9999.0
