TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,1.021,0,0.0,1.07,-0.327,0.911909,-0.109091,1.48,0.0,0.0,0.0,0.366,82.128
201301010030,201301010100,0.789398,0,0.0,1.26,-0.734,0.901025,0.111627,1.46552,0.0,0.0,0.0,0.369,78.281
201301010100,201301010130,1.3533,0,0.0,1.36,-1.01,0.893608,-0.459692,1.45563,0.0,0.0,0.0,0.373,76.185
201301010130,201301010200,-9999.0,1,0.0,1.44,-1.305,0.885648,0.037981,1.445,0.0,0.0,0.0,0.375,74.239
201301010200,201301010230,-9999.0,1,0.0,1.63,-1.482,0.880856,-0.080144,1.43859,0.0,0.0,0.0,0.378,70.438
201301010230,201301010300,0.69013,0,0.0,1.68,-1.667,0.875834,0.185704,1.43187,0.0,0.0,0.0,0.379,68.96
201301010300,201301010330,1.02214,0,0.0,1.64,-1.89,0.869764,-0.152376,1.42374,0.0,0.0,0.0,0.381,69.314
201301010330,201301010400,-9999.0,1,0.0,1.54,-2.132,0.863155,-0.130725,1.41487,0.0,0.0,0.0,0.385,70.597
201301010400,201301010430,-9999.0,1,0.0,1.56,-2.257,0.859732,0.007714,1.41028,0.0,0.0,0.0,0.387,69.885
201301010430,201301010500,-9999.0,1,0.0,1.59,-2.317,0.858087,0.008256,1.40807,0.0,0.0,0.0,0.392,69.229
201301010500,201301010530,0.97563,0,0.0,1.48,-2.515,0.85265,-0.12298,1.40075,0.0,0.0,0.0,0.395,70.908
201301010530,201301010600,1.19862,0,0.0,1.45,-2.808,0.844576,-0.354044,1.38988,0.0,0.0,0.0,0.397,70.873
201301010600,201301010630,-9999.0,1,0.0,1.41,-2.985,0.839683,-0.14716,1.38328,0.0,0.0,0.0,0.402,71.286
201301010630,201301010700,-9999.0,1,0.0,1.48,-3.118,0.835998,-0.073428,1.37831,0.0,0.0,0.0,0.403,69.727
201301010700,201301010730,-9999.0,1,0.0,1.34,-3.742,0.818624,-0.028166,1.3548,0.0,0.0,0.0,0.405,71.179
201301010730,201301010800,-9999.0,1,0.0,1.38,-3.704,0.819686,-0.026737,1.35624,0.0,0.0,0.0,0.409,70.525
201301010800,201301010830,1.09994,0,8.966,1.2,-4.224,0.805106,-0.294834,1.33645,0.204963,39.2129,23.495,0.412,73.182
201301010830,201301010900,-9999.0,1,42.218,1.28,-4.403,0.800064,0.518533,1.32959,0.399597,149.935,94.384,0.414,71.073
201301010900,201301010930,-9999.0,1,65.499,1.31,-4.861,0.787111,0.306234,1.31193,0.439606,253.681,148.092,0.417,69.49
201301010930,201301011000,-9999.0,1,109.672,1.28,-5.379,0.772371,-0.383699,1.29178,0.47429,346.746,248.622,0.419,68.774
201301011000,201301011030,-9999.0,1,269.209,1.42,-4.738,0.790597,0.136108,1.31669,0.509622,427.538,572.919,0.423,66.997
201301011030,201301011100,0.816185,0,347.581,1.34,-4.741,0.790512,-0.025673,1.31658,0.515575,494.674,749.322,0.427,68.902
201301011100,201301011130,-9999.0,1,400.983,1.22,-4.824,0.78816,0.251157,1.31337,0.518346,547.006,873.626,0.431,71.535
201301011130,201301011200,0.665,0,377.673,1.45,-4.736,0.790654,0.125654,1.31677,0.517229,583.637,871.625,0.432,66.413
201301011200,201301011230,-9999.0,1,449.706,1.69,-4.647,0.793172,2.22376,1.3202,0.520317,603.942,1001.13,0.433,61.194
201301011230,201301011300,-9999.0,1,492.651,1.75,-4.475,0.798033,-0.141907,1.32682,0.52174,607.573,1091.24,0.435,60.249
201301011300,201301011330,-9999.0,1,282.766,1.63,-4.786,0.789237,-0.012523,1.31484,0.510877,594.468,679.124,0.436,61.981
201301011330,201301011400,-9999.0,1,170.924,1.45,-5.468,0.769829,-0.537431,1.28829,0.495045,564.85,424.85,0.438,64.383
201301011400,201301011430,-9999.0,1,319.157,1.53,-5.132,0.779411,0.04052,1.30141,0.51374,519.227,742.788,0.439,63.515
201301011430,201301011500,0.296398,0,391.897,1.75,-4.43,0.799302,0.502904,1.32855,0.517926,458.38,870.79,0.442,60.269
201301011500,201301011530,1.26931,0,201.887,1.76,-4.818,0.78833,-0.48098,1.3136,0.501066,383.349,479.174,0.441,58.956
201301011530,201301011600,-9999.0,1,120.464,1.49,-5.714,0.762788,-0.450512,1.27864,0.479314,295.419,308.582,0.443,62.812
201301011600,201301011630,-9999.0,1,109.406,1.6,-5.475,0.769629,-0.386441,1.28802,0.474155,196.093,256.936,0.445,60.691
201301011630,201301011700,-9999.0,1,52.032,1.73,-5.349,0.773227,-0.010771,1.29295,0.419875,87.0716,116.474,0.447,57.908
201301011700,201301011730,-9999.0,1,0.0,1.58,-6.26,0.747087,-0.124504,1.25704,0.0,3.76157,0.0,0.447,58.994
201301011730,201301011800,-9999.0,1,0.0,1.39,-6.935,0.727538,-0.135809,1.23003,0.0,0.0,0.0,0.447,61.929
201301011800,201301011830,-9999.0,1,0.0,1.2,-7.937,0.698247,-0.226059,1.18932,0.0,0.0,0.0,0.447,64.467
201301011830,201301011900,-9999.0,1,0.0,1.16,-7.882,0.699863,-0.224443,1.19157,0.0,0.0,0.0,0.447,65.752
201301011900,201301011930,-9999.0,1,0.0,1.18,-7.906,0.699158,-0.225148,1.19059,0.0,0.0,0.0,0.445,65.334
201301011930,201301012000,-9999.0,1,0.0,0.6,-10.884,0.610407,-0.205668,1.0653,0.0,0.0,0.0,0.443,77.83
201301012000,201301012030,-9999.0,1,0.0,0.5,-11.419,0.594227,-0.220776,1.04212,0.0,0.0,0.0,0.439,80.85
201301012030,201301012100,-9999.0,1,0.0,0.41,-12.539,0.560172,-0.256816,0.992944,0.0,0.0,0.0,0.436,82.844
201301012100,201301012130,-9999.0,1,0.0,0.4,-12.666,0.556296,-0.259703,0.987314,0.0,0.0,0.0,0.431,83.13
201301012130,201301012200,-9999.0,1,0.0,0.53,-11.443,0.5935,-0.22098,1.04108,0.0,0.0,0.0,0.42,79.268
201301012200,201301012230,-9999.0,1,0.0,0.64,-11.005,0.606753,-0.207711,1.06008,0.0,0.0,0.0,0.414,75.982
201301012230,201301012300,-9999.0,1,0.0,0.65,-10.767,0.613937,-0.199048,1.07035,0.0,0.0,0.0,0.405,75.968
