TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,RH
200301010000,200301010030,-9999.0,1.0,0.0,0.53,-10.2,0.0,1.97495,0.828132,0.0,0.0,0.0,81.34
200301010030,200301010100,-0.293444,0.0,0.0,0.44,-10.36,0.0,0.293444,0.822139,0.0,0.0,0.0,84.37
200301010100,200301010130,-0.0762778,0.0,0.0,0.46,-10.29,0.0,0.076278,0.824762,0.0,0.0,0.0,83.73
200301010130,200301010200,-0.918722,0.0,0.0,0.46,-10.28,0.0,0.918722,0.825137,0.0,0.0,0.0,83.79
200301010200,200301010230,-0.302111,0.0,0.0,0.42,-10.26,0.0,0.302111,0.825886,0.0,0.0,0.0,85.35
200301010230,200301010300,-9999.0,1.0,0.0,0.4,-9.97,0.0,2.00389,0.836729,0.0,0.0,0.0,86.19
200301010300,200301010330,-9999.0,1.0,0.0,0.45,-9.67,0.0,2.29026,0.84791,0.0,0.0,0.0,84.93
200301010330,200301010400,1.79761,0.0,0.0,0.47,-9.59,0.0,-1.79761,0.850885,0.0,0.0,0.0,84.44
200301010400,200301010430,0.229889,0.0,0.0,0.51,-9.5,0.0,-0.229889,0.854229,0.0,0.0,0.0,83.21
200301010430,200301010500,1.62017,0.0,0.0,0.51,-9.48,0.0,-1.62017,0.854972,0.0,0.0,0.0,83.15
200301010500,200301010530,-0.124,0.0,0.0,0.49,-9.69,0.0,0.124,0.847166,0.0,0.0,0.0,83.55
200301010530,200301010600,-1.01411,0.0,0.0,0.41,-9.71,0.0,1.01411,0.846421,0.0,0.0,0.0,86.1
200301010600,200301010630,-1.14372,0.0,0.0,0.4,-9.68,0.0,1.14372,0.847538,0.0,0.0,0.0,86.53
200301010630,200301010700,-9999.0,1.0,0.0,0.38,-9.88,0.0,2.03386,0.840087,0.0,0.0,0.0,87.23
200301010700,200301010730,-9999.0,1.0,0.4,0.37,-9.88,0.0,2.03386,0.840087,0.0,0.0,1.4,87.59
200301010730,200301010800,-9999.0,1.0,5.4,0.37,-9.65,0.0,2.2444,0.848654,0.0,35.8929,13.6,87.49
200301010800,200301010830,-9999.0,1.0,28.3,0.38,-9.48,0.0,1.57842,0.854972,0.0,146.683,59.3,87.36
200301010830,200301010900,-9999.0,1.0,53.0,0.39,-9.4,0.0,0.114194,0.857941,0.0,251.504,108.8,87.28
200301010900,200301010930,2.44994,0.0,85.0,0.44,-9.31,0.0,-2.44994,0.861278,0.0,345.715,176.0,85.54
200301010930,200301011000,0.534944,0.0,114.3,0.45,-9.22,0.0,-0.534944,0.864611,0.0,427.702,232.0,85.31
200301011000,200301011030,0.968944,0.0,158.0,0.49,-9.25,0.0,-0.968944,0.8635,0.0,496.064,317.6,84.14
200301011030,200301011100,0.463556,0.0,202.5,0.51,-9.19,0.0,-0.463556,0.865722,0.0,549.63,404.2,83.57
200301011100,200301011130,0.520778,0.0,268.0,0.6,-8.91,0.0,-0.520778,0.876066,0.0,587.484,546.5,80.94
200301011130,200301011200,0.430833,0.0,352.2,0.64,-8.52,0.0,-0.430833,0.890418,0.0,608.978,715.8,80.35
200301011200,200301011230,0.371667,0.0,316.0,0.61,-8.82,0.0,-0.371667,0.879384,0.0,613.745,628.5,80.68
200301011230,200301011300,2.61533,0.0,232.5,0.6,-8.95,0.0,-2.61533,0.874591,0.0,601.703,461.4,80.78
200301011300,200301011330,1.11256,0.0,222.5,0.59,-9.2,0.0,-1.11256,0.865351,0.0,573.057,445.4,80.72
200301011330,200301011400,-0.0163333,0.0,289.3,0.66,-8.93,0.0,0.016334,0.875329,0.0,528.299,575.6,79.0
200301011400,200301011430,0.991222,0.0,175.5,0.52,-9.68,0.0,-0.991222,0.847538,0.0,468.194,346.3,82.39
200301011430,200301011500,2.2455,0.0,215.0,0.54,-10.3,0.0,-2.2455,0.824388,0.0,393.77,413.1,80.91
200301011500,200301011530,3.0205,0.0,185.8,0.56,-10.51,0.0,-3.0205,0.816512,0.0,306.301,356.9,79.72
200301011530,200301011600,1.29083,0.0,88.2,0.61,-10.89,0.0,-1.29083,0.802217,0.0,207.283,175.7,77.58
200301011600,200301011630,-0.177722,0.0,31.9,0.56,-11.51,0.0,0.177722,0.778778,0.0,98.411,67.2,78.19
200301011630,200301011700,-0.848167,0.0,3.4,0.52,-12.17,0.0,0.848167,0.753679,0.0,7.17214,12.6,78.81
200301011700,200301011730,1.18928,0.0,0.0,0.45,-12.17,0.0,-1.18928,0.753679,0.0,0.0,0.3,81.66
200301011730,200301011800,-0.787444,0.0,0.0,0.45,-12.54,0.0,0.787444,0.739546,0.0,0.0,0.0,80.9
200301011800,200301011830,-0.775611,0.0,0.0,0.41,-12.83,0.0,0.775611,0.728439,0.0,0.0,0.0,82.29
200301011830,200301011900,0.439778,0.0,0.0,0.59,-12.77,0.0,-0.439778,0.730739,0.0,0.0,0.0,74.44
200301011900,200301011930,-2.08367,0.0,0.0,1.05,-11.86,0.0,2.08367,0.765486,0.0,0.0,0.0,57.8
200301011930,200301012000,-1.39106,0.0,0.0,0.89,-12.09,0.0,1.39106,0.756729,0.0,0.0,0.0,63.7
200301012000,200301012030,-0.739222,0.0,0.0,0.78,-12.07,0.0,0.739222,0.757491,0.0,0.0,0.0,68.09
200301012030,200301012100,-0.591889,0.0,0.0,0.63,-12.29,0.0,0.591889,0.7491,0.0,0.0,0.0,73.93
