TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-0.456,0.0,0.0,0.39,-18.173,0.18509,0.629956,0.781379,0.0,0.0,0.025,-0.046,73.831
201301010030,201301010100,-9999.0,1.0,0.0,0.38,-18.343,0.180642,-0.209905,0.772808,0.0,0.0,0.055,-0.046,74.046
201301010100,201301010130,0.131,0.0,0.0,0.36,-18.655,0.172619,0.030704,0.757053,0.0,0.0,0.064,-0.049,74.677
201301010130,201301010200,-0.02,0.0,0.0,0.43,-18.169,0.185195,0.194059,0.78158,0.0,0.0,0.035,-0.046,71.161
201301010200,201301010230,0.455,0.0,0.0,0.48,-17.732,0.196878,-0.269429,0.80356,0.0,0.0,0.037,-0.04,68.723
201301010230,201301010300,3.232,0.0,0.0,0.5,-17.351,0.207347,-3.03608,0.822658,0.0,0.0,0.029,-0.04,68.917
201301010300,201301010330,-9999.0,1.0,0.0,0.48,-17.151,0.212947,-0.188208,0.832659,0.0,0.0,0.024,-0.036,70.423
201301010330,201301010400,-9999.0,1.0,0.0,0.47,-17.027,0.216455,-0.184732,0.838849,0.0,0.0,0.022,-0.035,71.256
201301010400,201301010430,-9999.0,1.0,0.0,0.45,-17.616,0.200037,-0.192079,0.809381,0.0,0.0,0.048,-0.039,70.909
201301010430,201301010500,-9999.0,1.0,0.0,0.44,-18.06,0.188076,-0.208777,0.787069,0.0,0.0,0.053,-0.043,70.868
201301010500,201301010530,-9999.0,1.0,0.0,0.43,-18.29,0.182023,-0.210243,0.775481,0.0,0.0,0.072,-0.046,70.714
201301010530,201301010600,-9999.0,1.0,0.0,0.41,-18.08,0.187546,-1.27963,0.786062,0.0,0.0,0.03,-0.043,72.8
201301010600,201301010630,0.981,0.0,0.0,0.42,-17.851,0.193662,-0.798601,0.797582,0.0,0.0,0.025,-0.041,72.797
201301010630,201301010700,0.332,0.0,0.0,0.42,-18.077,0.187626,-0.155549,0.786214,0.0,0.0,0.079,-0.043,71.715
201301010700,201301010730,0.884,0.0,0.389,0.4,-18.531,0.175786,-0.719189,0.763319,5.8e-05,0.0,3.015,-0.048,72.518
201301010730,201301010800,1.18,0.0,24.066,0.37,-18.446,0.177973,-1.01304,0.767611,0.003563,35.8855,46.249,0.056,74.932
201301010800,201301010830,1.919,0.0,111.457,0.39,-17.98,0.190205,-1.74001,0.791095,0.016486,146.672,200.048,0.019,74.556
201301010830,201301010900,1.366,0.0,200.726,0.42,-17.468,0.204104,-1.17329,0.8168,0.029663,251.493,363.309,0.071,73.63
201301010900,201301010930,-0.791,0.0,324.147,0.44,-17.218,0.211063,0.990593,0.829311,0.047843,345.702,583.407,0.184,73.016
