TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,1.114,0,0.0,0.73,13.3,1e-06,-1.114,0.713168,0.0,0.0,0.0,10.59,95.3
200501010030,200501010100,1.296,0,0.0,0.96,13.4,1e-06,-1.296,0.71723,0.0,0.0,0.0,10.57,93.8
200501010100,200501010130,0.841,0,0.0,0.92,12.9,1e-06,-0.840999,0.697013,0.0,0.0,0.0,10.52,93.9
200501010130,200501010200,1.478,0,0.0,0.75,12.6,1e-06,-1.478,0.684997,0.0,0.0,0.0,10.41,94.9
200501010200,200501010230,2.296,0,0.0,0.75,12.3,1e-06,-2.296,0.673067,0.0,0.0,0.0,10.35,94.8
200501010230,200501010300,-9999.0,1,0.0,0.59,11.9,1e-06,-1.337,0.657297,0.0,0.0,0.0,10.28,95.8
200501010300,200501010330,-9999.0,1,0.0,0.27,11.1,1e-06,-1.20733,0.626234,0.0,0.0,0.0,10.17,98.0
200501010330,200501010400,-9999.0,1,0.0,0.24,11.5,1e-06,-1.27111,0.641686,0.0,0.0,0.0,10.08,98.3
200501010400,200501010430,-9999.0,1,0.0,0.48,11.9,1e-06,-1.337,0.657297,0.0,0.0,0.0,10.08,96.6
200501010430,200501010500,-9999.0,1,0.0,0.65,12.0,1e-06,-1.34325,0.661225,0.0,0.0,0.0,10.11,95.4
200501010500,200501010530,1.341,0,0.0,0.47,11.7,1e-06,-1.341,0.649472,0.0,0.0,0.0,10.07,96.6
200501010530,200501010600,1.523,0,0.0,0.33,11.6,1e-06,-1.523,0.645574,0.0,0.0,0.0,10.02,97.6
200501010600,200501010630,1.841,0,0.0,0.13,11.3,1e-06,-1.841,0.63394,0.0,0.0,0.0,9.97,99.1
200501010630,200501010700,1.728,0,0.0,0.02,11.4,1e-06,-1.728,0.637808,0.0,0.0,0.0,9.93,99.9
200501010700,200501010730,3.614,0,8.0,0.0,11.6,1e-06,-3.614,0.645574,0.0,27.2392,18.0,9.92,100.0
200501010730,200501010800,3.887,0,42.0,0.0,11.9,1e-06,-3.887,0.657297,0.0,149.849,87.0,9.96,100.0
200501010800,200501010830,-1.522,0,76.0,0.0,12.5,1e-06,1.522,0.68101,0.0,273.527,160.0,10.05,100.0
200501010830,200501010900,-1.477,0,163.0,0.27,13.4,1e-06,1.477,0.71723,0.0,387.153,328.0,10.25,98.3
200501010900,200501010930,-2.068,0,180.0,0.35,13.8,1e-06,2.068,0.733573,0.0,488.782,366.0,10.44,97.8
200501010930,200501011000,-9999.0,1,354.0,1.08,15.0,1e-06,0.711334,0.783481,0.0,576.676,694.0,10.69,93.7
200501011000,200501011030,-9999.0,1,318.0,2.01,15.8,1e-06,1.0505,0.817463,0.0,649.33,635.0,11.02,88.9
200501011030,200501011100,-0.749,0,366.0,2.63,16.4,1e-06,0.749001,0.843312,0.0,705.501,725.0,11.24,86.0
200501011100,200501011130,-0.34,0,221.0,2.09,16.0,1e-06,0.340001,0.826045,0.0,744.229,452.0,11.4,88.6
200501011130,200501011200,-1.09,0,267.0,1.78,16.0,1e-06,1.09,0.826045,0.0,764.85,540.0,11.51,90.3
200501011200,200501011230,0.137,0,349.0,2.56,16.9,1e-06,-0.136999,0.865083,0.0,767.012,701.0,11.69,86.8
200501011230,200501011300,-0.045,0,240.0,2.62,17.2,1e-06,0.045001,0.878244,0.0,750.678,498.0,11.89,86.7
200501011300,200501011330,-0.09,0,221.0,2.91,17.7,1e-06,0.090001,0.900342,0.0,716.127,461.0,12.01,85.7
200501011330,200501011400,0.0,0,187.0,2.97,17.9,1e-06,1e-06,0.909237,0.0,663.951,393.0,12.13,85.6
200501011400,200501011430,0.0,0,112.0,2.99,18.0,1e-06,1e-06,0.913696,0.0,595.042,243.0,12.22,85.6
200501011430,200501011500,5.819,0,88.0,1.92,17.7,1e-06,-5.819,0.900342,0.0,510.579,183.0,12.2,90.6
200501011500,200501011530,-0.886,0,95.0,1.27,17.5,1e-06,0.886001,0.891479,0.0,412.007,214.0,12.19,93.7
200501011530,200501011600,-0.681,0,56.0,0.79,17.2,1e-06,0.681001,0.878244,0.0,301.013,142.0,12.18,96.0
200501011600,200501011630,-4.931,0,32.0,0.65,17.2,1e-06,4.931,0.878244,0.0,179.497,61.0,12.14,96.7
200501011630,200501011700,5.546,0,12.0,0.47,16.9,1e-06,-5.546,0.865083,0.0,50.6878,26.0,12.09,97.6
200501011700,200501011730,-9999.0,1,0.0,0.39,16.8,1e-06,-0.575584,0.860712,0.0,0.0,2.0,12.02,98.0
200501011730,200501011800,-9999.0,1,0.0,0.31,16.5,1e-06,-0.704654,0.847649,0.0,0.0,0.0,11.95,98.4
200501011800,200501011830,-9999.0,1,0.0,0.02,16.101,1e-06,-0.867182,0.830392,0.0,0.0,0.0,11.91,99.9
