TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,0.5,0,0.0,0.19,-0.7,0.379605,-0.127903,0.839219,0.0,0.0,0.0,2.3,96.8
200601010030,200601010100,0.196606,0,0.0,0.14,-0.7,0.379605,0.175491,0.839219,0.0,0.0,0.0,2.3,97.6
200601010100,200601010130,0.289654,0,0.0,0.12,-0.7,0.379605,0.082443,0.839219,0.0,0.0,0.0,2.3,98.1
200601010130,200601010200,-0.3047,0,0.0,0.15,-0.6,0.381529,0.678676,0.846128,0.0,0.0,0.0,2.3,97.6
200601010200,200601010230,-9999.0,1,0.0,0.21,-0.5,0.383455,-0.079737,0.853062,0.0,0.0,0.0,2.3,96.5
200601010230,200601010300,-9999.0,1,0.0,0.19,-0.7,0.379605,-0.048028,0.839219,0.0,0.0,0.0,2.3,96.8
200601010300,200601010330,-9999.0,1,0.0,0.14,-0.8,0.377683,-0.059572,0.832338,0.0,0.0,0.0,2.3,97.7
200601010330,200601010400,-9999.0,1,0.0,0.1,-1.0,0.373841,-0.076191,0.818653,0.0,0.0,0.0,2.3,98.4
200601010400,200601010430,-9999.0,1,0.0,0.04,-1.3,0.368089,-0.072876,0.798325,0.0,0.0,0.0,2.2,99.3
200601010430,200601010500,-9999.0,1,0.0,0.0,-1.4,0.366174,-0.084962,0.791602,0.0,0.0,0.0,2.2,100.0
200601010500,200601010530,0.820269,0,0.0,0.0,-1.3,0.368089,-0.459423,0.798325,0.0,0.0,0.0,2.2,100.0
200601010530,200601010600,0.638535,0,0.0,0.01,-1.0,0.373841,-0.272069,0.818653,0.0,0.0,0.0,2.2,99.9
200601010600,200601010630,0.903144,0,0.0,0.02,-1.0,0.373841,-0.536678,0.818653,0.0,0.0,0.0,2.2,99.7
200601010630,200601010700,0.671452,0,0.0,0.01,-1.2,0.370005,-0.308734,0.805074,0.0,0.0,0.0,2.2,99.9
200601010700,200601010730,0.23228,0,0.4,0.03,-1.0,0.373841,0.134186,0.818653,0.019356,0.985356,0.0,2.1,99.5
200601010730,200601010800,0.827231,0,13.4,0.08,-0.7,0.379605,-0.455134,0.839219,0.395612,72.6945,35.4,2.1,98.7
200601010800,200601010830,-0.0506722,0,49.8,0.15,-0.3,0.387308,0.430293,0.867008,0.702905,182.223,106.8,2.1,97.6
200601010830,200601010900,0.197296,0,89.7,0.34,0.5,0.402769,0.197426,0.923822,0.80534,282.267,188.7,2.1,94.8
200601010900,200601010930,0.385209,0,121.1,0.53,1.2,0.416349,0.022776,0.974859,0.845202,371.114,256.5,2.1,92.1
200601010930,200601011000,0.385209,0,137.3,0.77,1.9,0.42997,0.036077,1.0271,0.859542,447.245,293.5,2.1,89.2
200601011000,200601011030,-0.0189796,0,158.5,0.98,2.5,0.441673,0.451692,1.07281,0.874374,509.356,340.9,2.1,86.7
200601011030,200601011100,-0.295404,0,202.5,1.31,3.3,0.457309,0.743382,1.13507,0.896136,556.385,430.4,2.2,83.2
200601011100,200601011130,0.605565,0,189.5,1.71,4.1,0.472973,-0.142297,1.19879,0.890658,587.528,406.0,2.2,79.3
200601011130,200601011200,0.984861,0,148.7,2.0,4.7,0.484733,-0.510113,1.2475,0.867981,602.25,328.0,2.4,76.7
200601011200,200601011230,0.591563,0,128.6,2.31,5.3,0.496501,-0.10533,1.29698,0.852229,600.302,292.1,2.5,74.2
200601011230,200601011300,0.594946,0,168.7,2.88,6.0,0.510235,-0.095309,1.35565,0.880323,581.715,372.9,2.7,69.4
200601011300,200601011330,1.06258,0,107.0,3.5,6.5,0.520046,-0.55337,1.39817,0.829742,546.807,242.2,2.9,64.0
200601011330,200601011400,0.730463,0,77.0,3.81,6.7,0.523969,-0.217424,1.41532,0.781884,496.177,179.0,3.1,61.4
200601011400,200601011430,0.827069,0,49.4,4.0,6.9,0.527893,-0.310202,1.43254,0.701282,430.691,119.1,3.2,60.0
200601011430,200601011500,0.515743,0,52.0,3.98,7.0,0.529854,0.003038,1.44118,0.711513,351.468,120.2,3.3,60.5
200601011500,200601011530,0.415144,0,20.4,3.97,7.1,0.531815,0.105551,1.44984,0.497772,259.865,52.8,3.4,60.9
200601011530,200601011600,0.504537,0,6.9,3.74,7.0,0.529854,0.014244,1.44118,0.253039,157.448,23.3,3.4,62.9
200601011600,200601011630,0.894952,0,1.6,3.55,6.9,0.527893,-0.378085,1.43254,0.073111,46.6097,0.0,3.5,64.5
200601011630,200601011700,2.20165,0,0.0,3.38,6.8,0.525931,-1.6867,1.42392,0.0,0.0,0.0,3.5,66.0
200601011700,200601011730,-9999.0,1,0.0,2.85,6.4,0.518084,0.440644,1.38963,0.0,0.0,0.0,3.6,70.5
200601011730,200601011800,-9999.0,1,0.0,2.86,6.6,0.522007,0.444473,1.40673,0.0,0.0,0.0,3.6,70.8
200601011800,200601011830,1.22453,0,0.0,2.82,6.8,0.525931,-0.709577,1.42392,0.0,0.0,0.0,3.6,71.6
200601011830,200601011900,0.235848,0,0.0,2.93,7.1,0.531815,0.284847,1.44984,0.0,0.0,0.0,3.6,71.1
200601011900,200601011930,1.23542,0,0.0,3.01,7.4,0.537699,-0.708985,1.47594,0.0,0.0,0.0,3.7,70.9
200601011930,200601012000,0.31175,0,0.0,2.86,7.5,0.539659,0.216598,1.48468,0.0,0.0,0.0,3.7,72.6
200601012000,200601012030,1.21514,0,0.0,2.91,7.6,0.54162,-0.684879,1.49343,0.0,0.0,0.0,3.8,72.3
200601012030,200601012100,1.40175,0,0.0,2.69,7.5,0.539659,-0.873402,1.48468,0.0,0.0,0.0,3.8,74.2
200601012100,200601012130,-0.00363333,0,0.0,2.24,7.3,0.535738,0.528155,1.46722,0.0,0.0,0.0,3.9,78.2
200601012130,200601012200,-1.39498,0,0.0,1.14,6.7,0.523969,1.90802,1.41532,0.0,0.0,0.0,3.9,88.5
200601012200,200601012230,-9999.0,1,0.0,0.43,6.0,0.510235,0.214505,1.35565,0.0,0.0,0.0,4.0,95.5
200601012230,200601012300,-9999.0,1,0.0,0.15,5.6,0.502387,0.276455,1.322,0.0,0.0,0.0,4.0,98.4
200601012300,200601012330,-9999.0,1,0.0,0.04,5.7,0.504349,0.204329,1.33038,0.0,0.0,0.0,4.1,99.6
200601012330,200601020000,-9999.0,1,0.0,0.0,5.7,0.504349,0.204329,1.33038,0.0,0.0,0.0,4.1,100.0
200601020000,200601020030,-9999.0,1,0.0,0.0,5.4,0.498463,0.262728,1.3053,0.0,0.0,0.0,4.1,100.0
200601020030,200601020100,-9999.0,1,0.0,0.0,5.4,0.498463,0.254892,1.3053,0.0,0.0,0.0,4.1,100.0
200601020100,200601020130,-9999.0,1,0.0,0.0,5.3,0.496501,0.063283,1.29698,0.0,0.0,0.0,4.2,100.0
200601020130,200601020200,-9999.0,1,0.0,0.0,5.1,0.492578,0.119394,1.2804,0.0,0.0,0.0,4.2,100.0
200601020200,200601020230,-3.03262,0,0.0,0.0,5.1,0.492578,3.51502,1.2804,0.0,0.0,0.0,4.2,100.0
200601020230,200601020300,-9999.0,1,0.0,0.0,5.0,0.490617,0.131195,1.27214,0.0,0.0,0.0,4.3,100.0
200601020300,200601020330,-9999.0,1,0.0,0.0,4.9,0.488655,0.141762,1.26391,0.0,0.0,0.0,4.3,100.0
200601020330,200601020400,-0.105974,0,0.0,0.0,4.9,0.488655,0.58455,1.26391,0.0,0.0,0.0,4.3,100.0
200601020400,200601020430,1.50559,0,0.0,0.0,4.8,0.486694,-1.02893,1.25569,0.0,0.0,0.0,4.3,100.0
200601020430,200601020500,-1.17336,0,0.0,0.0,4.8,0.486694,1.65002,1.25569,0.0,0.0,0.0,4.3,100.0
200601020500,200601020530,-1.89862,0,0.0,0.0,4.8,0.486694,2.37528,1.25569,0.0,0.0,0.0,4.4,100.0
200601020530,200601020600,1.01941,0,0.0,0.0,4.9,0.488655,-0.540834,1.26391,0.0,0.0,0.0,4.4,100.0
200601020600,200601020630,0.321237,0,0.0,0.0,5.1,0.492578,0.161167,1.2804,0.0,0.0,0.0,4.4,100.0
200601020630,200601020700,-9999.0,1,0.0,0.0,5.2,0.49454,0.052167,1.28868,0.0,0.0,0.0,4.4,100.0
200601020700,200601020730,-9999.0,1,0.0,0.0,5.3,0.496501,0.063283,1.29698,0.0,1.17647,0.0,4.4,100.0
200601020730,200601020800,-1.11597,0,2.7,0.0,5.4,0.498463,1.60412,1.3053,0.117381,74.1675,0.0,4.5,100.0
200601020800,200601020830,-1.17533,0,8.1,0.0,5.5,0.500425,1.66539,1.31364,0.284335,183.763,24.6,4.5,100.0
200601020830,200601020900,-9999.0,1,17.1,0.0,5.5,0.500425,0.38306,1.31364,0.454421,283.867,45.0,4.5,100.0
200601020900,200601020930,-9999.0,1,25.8,0.0,5.7,0.504349,0.840172,1.33038,0.555218,372.768,63.1,4.5,100.0
200601020930,200601021000,-4.51113,0,23.9,0.0,5.9,0.508273,5.00885,1.34721,0.536619,448.945,61.5,4.6,100.0
200601021000,200601021030,-9999.0,1,7.3,0.0,5.8,0.506311,0.360233,1.33878,0.263777,511.094,26.5,4.6,100.0
200601021030,200601021100,-9999.0,2,15.5,0.0,5.3,0.496501,0.855124,1.29698,0.430497,558.152,-9999.0,4.8,100.0
200601021100,200601021130,-9999.0,2,22.333,0.0,4.9,0.488655,0.22624,1.26391,0.520022,589.313,-9999.0,4.8,100.0
200601021130,200601021200,-9999.0,1,15.3,0.0,4.9,0.488655,0.268044,1.26391,0.427354,604.045,47.1,4.9,100.0
200601021200,200601021230,-9999.0,1,44.4,0.0,4.8,0.486694,0.580454,1.25569,0.679282,602.095,111.5,4.9,100.0
200601021230,200601021300,-9999.0,1,60.7,0.0,4.7,0.484733,0.599955,1.2475,0.740952,583.496,146.2,4.9,100.0
200601021300,200601021330,0.806215,0,41.3,0.0,4.5,0.480812,-0.335295,1.23117,0.663837,548.568,103.4,4.9,100.0
200601021330,200601021400,-3.5177,0,29.0,0.0,4.5,0.480812,3.98862,1.23117,0.583278,497.907,74.2,5.0,100.0
200601021400,200601021430,-2.90696,0,26.1,0.0,4.5,0.480812,3.37788,1.23117,0.558014,432.381,64.8,5.0,100.0
200601021430,200601021500,-9999.0,1,23.8,0.0,4.5,0.480812,0.457532,1.23117,0.535595,353.11,59.7,5.0,100.0
200601021500,200601021530,5.39706,0,9.8,0.0,4.5,0.480812,-4.92614,1.23117,0.324347,261.451,30.3,5.0,100.0
200601021530,200601021600,-9999.0,1,8.3,0.0,4.6,0.482773,0.175394,1.23932,0.289292,158.973,0.0,5.0,100.0
200601021600,200601021630,-9999.0,1,3.7,0.0,4.5,0.480812,0.069859,1.23117,0.154052,47.924,0.0,5.0,100.0
200601021630,200601021700,-9999.0,1,0.0,0.0,4.4,0.478852,0.100294,1.22304,0.0,0.0,0.0,5.0,100.0
200601021700,200601021730,-1.71411,0,0.0,0.0,4.5,0.480812,2.18503,1.23117,0.0,0.0,0.0,5.0,100.0
200601021730,200601021800,-1.32968,0,0.0,0.0,4.4,0.478852,1.79869,1.22304,0.0,0.0,0.0,5.0,100.0
200601021800,200601021830,-9999.0,1,0.0,0.0,4.4,0.478852,0.100294,1.22304,0.0,0.0,0.0,5.0,100.0
200601021830,200601021900,-9999.0,1,0.0,0.0,4.4,0.478852,0.100294,1.22304,0.0,0.0,0.0,5.0,100.0
200601021900,200601021930,-1.86558,0,0.0,0.0,4.2,0.474932,2.33076,1.20685,0.0,0.0,0.0,5.0,100.0
200601021930,200601022000,0.99975,0,0.0,0.0,4.3,0.476892,-0.532656,1.21494,0.0,0.0,0.0,4.9,100.0
200601022000,200601022030,0.593037,0,0.0,0.0,4.3,0.476892,-0.125943,1.21494,0.0,0.0,0.0,4.9,100.0
200601022030,200601022100,0.573889,0,0.0,0.0,4.2,0.474932,-0.108708,1.20685,0.0,0.0,0.0,4.9,100.0
200601022100,200601022130,0.576576,0,0.0,0.0,4.3,0.476892,-0.109482,1.21494,0.0,0.0,0.0,4.9,100.0
200601022130,200601022200,4.19167,0,0.0,0.0,4.3,0.476892,-3.72458,1.21494,0.0,0.0,0.0,4.9,100.0
200601022200,200601022230,5.58036,0,0.0,0.0,4.2,0.474932,-5.11518,1.20685,0.0,0.0,0.0,4.9,100.0
200601022230,200601022300,-9999.0,1,0.0,0.0,4.3,0.476892,0.125723,1.21494,0.0,0.0,0.0,4.9,100.0
200601022300,200601022330,6.15904,0,0.0,0.0,4.3,0.476892,-5.69195,1.21494,0.0,0.0,0.0,4.9,100.0
200601022330,200601030000,-9999.0,1,0.0,0.0,4.2,0.474932,0.10183,1.20685,0.0,0.0,0.0,4.9,100.0
200601030000,200601030030,-9999.0,1,0.0,0.0,4.0,0.471013,0.089007,1.19074,0.0,0.0,0.0,4.9,100.0
200601030030,200601030100,-9999.0,1,0.0,0.0,3.9,0.469054,0.078458,1.1775,0.0,0.0,0.0,4.9,100.0
200601030100,200601030130,4.09829,0,0.0,0.0,3.9,0.469054,-3.63885,1.17228,0.0,0.0,0.0,4.9,100.0
200601030130,200601030200,-9999.0,1,0.0,0.0,3.8,0.467096,0.056733,1.15908,0.0,0.0,0.0,4.9,100.0
200601030200,200601030230,-9999.0,1,0.0,0.0,3.8,0.467096,0.056733,1.15386,0.0,0.0,0.0,4.9,100.0
200601030230,200601030300,-1.24995,0,0.0,0.0,3.8,0.467096,1.70748,1.14864,0.0,0.0,0.0,4.8,100.0
200601030300,200601030330,-9999.0,1,0.0,0.0,3.8,0.467096,0.056733,1.14343,0.0,0.0,0.0,4.8,100.0
200601030330,200601030400,-9999.0,1,0.0,0.0,3.8,0.467096,0.056733,1.13821,0.0,0.0,0.0,4.8,100.0
200601030400,200601030430,-9999.0,1,0.0,0.0,3.8,0.467096,0.056733,1.13299,0.0,0.0,0.0,4.8,100.0
200601030430,200601030500,-9999.0,1,0.0,0.0,3.7,0.465138,0.051677,1.11987,0.0,0.0,0.0,4.8,100.0
200601030500,200601030530,7.6305,0,0.0,0.0,3.7,0.465138,-7.17488,1.11466,0.0,0.0,0.0,4.8,100.0
200601030530,200601030600,-9999.0,1,0.0,0.0,3.6,0.46318,0.030337,1.10157,0.0,0.0,0.0,4.8,100.0
200601030600,200601030630,-9999.0,1,0.0,0.0,3.5,0.461222,0.013077,1.08853,0.0,0.0,0.0,4.8,100.0
200601030630,200601030700,-4.89382,0,0.0,0.0,3.2,0.455353,5.33989,1.06,0.0,0.0,0.0,4.8,100.0
200601030700,200601030730,-1.73223,0,0.0,0.0,3.1,0.453397,2.17639,1.04712,0.0,0.861513,0.0,4.8,100.0
200601030730,200601030800,-9999.0,1,11.4,0.0,3.3,0.457309,0.02335,1.0574,0.304032,71.9835,33.9,4.7,100.0
200601030800,200601030830,-9999.0,1,30.2,0.0,3.7,0.465138,0.302696,1.0834,0.49952,181.935,68.8,4.7,100.0
200601030830,200601030900,0.49852,0,34.5,0.0,3.8,0.467096,-0.040988,1.08604,0.519954,282.45,78.8,4.7,100.0
200601030900,200601030930,-9999.0,1,57.8,0.0,3.8,0.467096,0.271941,1.08083,0.606359,371.808,127.7,4.7,100.0
200601030930,200601031000,-9999.0,1,73.3,0.01,3.9,0.469054,0.303053,1.08348,0.636346,448.481,161.3,4.8,99.9
200601031000,200601031030,-9999.0,1,46.3,0.02,4.0,0.471013,0.333273,1.08614,0.555131,511.157,107.1,4.8,99.8
200601031030,200601031100,-9999.0,1,35.7,0.02,4.0,0.471013,0.365284,1.08091,0.501879,558.763,86.7,4.9,99.8
200601031100,200601031130,-0.406985,0,35.0,0.0,3.9,0.469054,0.866429,1.06781,0.492065,590.485,85.8,4.9,100.0
200601031130,200601031200,0.305733,0,41.8,0.0,3.8,0.467096,0.151799,1.05474,0.517609,605.78,100.0,5.0,100.0
200601031200,200601031230,-9999.0,1,69.9,0.0,3.6,0.46318,0.211129,1.03394,0.593275,604.386,158.4,5.0,100.0
200601031230,200601031300,-9999.0,1,62.8,0.0,3.7,0.465138,0.288548,1.03651,0.570233,586.327,144.9,5.1,100.0
200601031300,200601031330,0.324022,0,80.3,0.0,3.9,0.469054,0.135422,1.04691,0.598438,551.913,179.0,5.1,100.0
