TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,2,0.189,0.178,-20.431,0.095047,0.539973,0.07151,0.0,0.0,0.45531,-6.098,85.195
200601010030,200601010100,-9999.0,2,0.189,0.179,-20.276,0.097547,0.54232,0.073052,0.0,0.0,0.96883,-6.098,85.318
200601010100,200601010130,-9999.0,2,0.189,0.179,-20.135,0.09985,0.544489,0.074468,0.0,0.0,1.0388,-6.098,85.459
200601010130,200601010200,-9999.0,2,0.189,0.18,-20.011,0.101899,0.546423,0.075723,0.0,0.0,0.73271,-6.099,85.561
200601010200,200601010230,-9999.0,2,0.203,0.179,-19.63,0.108334,0.552522,0.079633,0.0,0.0,0.47975,-6.1,86.121
200601010230,200601010300,-9999.0,2,0.119,0.183,-19.488,0.110785,1.06095,0.081112,0.0,0.0,0.98901,-6.103,85.924
200601010300,200601010330,-9999.0,2,0.0,0.185,-19.612,0.108643,1.05891,0.07982,0.0,0.0,0.97382,-6.103,85.665
200601010330,200601010400,-9999.0,2,0.0,0.182,-19.92,0.103417,0.547858,0.076649,0.0,0.0,0.69305,-6.102,85.487
200601010400,200601010430,-9999.0,2,0.0,0.183,-20.165,0.099358,0.544025,0.074166,0.0,0.0,0.69726,-6.101,85.091
200601010430,200601010500,-9999.0,2,0.0,0.179,-20.436,0.094967,0.539898,0.07146,0.0,0.0,0.75715,-6.101,85.074
200601010500,200601010530,-9999.0,2,0.0,0.178,-20.428,0.095095,0.540018,0.07154,0.0,0.0,0.50589,-6.101,85.169
200601010530,200601010600,-9999.0,2,0.0,0.179,-20.424,0.09516,0.540079,0.071579,0.0,0.0,1.0573,-6.099,85.06
200601010600,200601010630,-9999.0,2,0.0,0.181,-20.762,0.089827,0.535093,0.068264,0.0,0.0,0.98144,-6.098,84.438
200601010630,200601010700,-9999.0,2,0.0,0.179,-21.265,0.082199,-0.409797,0.06346,0.0,0.0,1.7504,-6.095,83.993
200601010700,200601010730,-9999.0,2,0.0,0.175,-21.653,0.076569,-0.405797,0.059863,0.0,0.0,0.4882,-6.095,83.779
200601010730,200601010800,-9999.0,2,0.0,0.173,-21.902,0.073073,-0.408992,0.057606,0.0,0.0,0.76731,-6.093,83.588
200601010800,200601010830,-9999.0,2,0.0,0.171,-22.006,0.07164,-0.307534,0.056675,0.0,0.0,1.683,-6.092,83.628
200601010830,200601010900,-9999.0,2,0.0,0.17,-22.015,0.071516,-0.307646,0.056595,0.0,0.0,0.32719,-6.093,83.689
200601010900,200601010930,-9999.0,2,0.0,0.17,-21.942,0.07252,-0.409495,0.057247,0.0,0.0,0.40475,-6.094,83.835
200601010930,200601011000,-9999.0,2,0.0,0.171,-21.819,0.074228,-0.407938,0.058354,0.0,0.0,1.3643,-6.095,83.93
200601011000,200601011030,-9999.0,2,0.0,0.172,-21.736,0.075393,-0.406873,0.059106,0.0,0.0,0.39969,-6.093,83.9
200601011030,200601011100,-9999.0,2,0.0,0.173,-21.768,0.074943,-0.407285,0.058815,0.0,0.0,1.5953,-6.092,83.796
200601011100,200601011130,-9999.0,2,0.0,0.173,-21.819,0.074228,-0.407938,0.058354,0.0,0.0,0.11551,-6.091,83.76
200601011130,200601011200,-9999.0,2,0.036,0.172,-21.85,0.073795,-0.408333,0.058074,0.0,0.0,1.323,-6.094,83.758
200601011200,200601011230,-9999.0,2,0.33,0.172,-21.884,0.073322,-0.408764,0.057768,0.0,0.0,2.5305,-6.093,83.73
200601011230,200601011300,-9999.0,2,0.718,0.172,-21.96,0.072271,-0.409721,0.057086,0.0,0.0,1.7185,-6.095,83.568
200601011300,200601011330,-9999.0,2,0.763,0.172,-22.029,0.071325,-0.30782,0.05647,0.0,0.0,3.1208,-6.093,83.513
200601011330,200601011400,-9999.0,2,0.628,0.171,-22.08,0.07063,-0.308452,0.056017,0.0,0.0,2.571,-6.096,83.489
200601011400,200601011430,-9999.0,2,0.566,0.172,-22.134,0.069898,-0.309116,0.055539,0.0,0.0,2.8416,-6.097,83.401
200601011430,200601011500,-9999.0,2,0.168,0.171,-22.216,0.068794,-0.258889,0.054818,0.0,0.0,1.7379,-6.098,83.372
