TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200301010000,200301010030,-9999.0,3,0.0,0.6,18.86,2.84849,-0.585226,2.44414,0.0,0.0,0.0,-9999.0,97.2
200301010030,200301010100,-9999.0,3,0.0,0.5,19.18,2.86838,-0.541618,2.49517,0.0,0.0,-0.3,-9999.0,97.7
200301010100,200301010130,-9999.0,3,0.0,0.6,19.15,2.86652,-0.12648,2.49036,0.0,0.0,-0.5,-9999.0,97.4
200301010130,200301010200,-9999.0,3,0.0,0.6,19.39,2.88141,0.740909,2.52896,0.0,0.0,-0.6,-9999.0,97.5
200301010200,200301010230,-9999.0,3,0.0,0.5,19.58,2.89317,0.758174,2.55973,0.0,0.0,-0.3,-9999.0,97.9
200301010230,200301010300,-9999.0,3,0.0,0.7,20.32,2.9388,0.733802,2.68142,0.0,0.0,-0.5,-9999.0,97.2
200301010300,200301010330,-9999.0,3,0.0,0.8,20.99,2.97984,0.719844,2.79411,0.0,0.0,-0.7,-9999.0,96.9
200301010330,200301010400,-9999.0,3,0.0,0.8,20.59,2.95537,0.694771,2.72655,0.0,0.0,-0.6,-9999.0,96.7
200301010400,200301010430,-9999.0,3,0.0,0.9,20.32,2.9388,0.744601,2.68142,0.0,0.0,-0.9,-9999.0,96.3
200301010430,200301010500,-9999.0,3,0.0,0.8,19.97,2.91726,0.73886,2.6235,0.0,0.0,-0.3,-9999.0,96.5
200301010500,200301010530,-9999.0,3,0.0,0.9,19.81,2.90739,0.749789,2.59724,0.0,0.0,-0.6,-9999.0,96.3
200301010530,200301010600,-9999.0,3,0.0,0.9,19.7,2.90059,0.920594,2.57926,0.0,0.0,-0.7,-9999.0,96.1
200301010600,200301010630,-9999.0,3,0.0,0.9,19.55,2.89132,1.14352,2.55486,0.0,0.0,-0.6,-9999.0,96.0
200301010630,200301010700,-9999.0,3,0.0,1.0,19.62,2.89565,2.19085,2.56623,0.0,0.0,-0.7,-9999.0,95.8
200301010700,200301010730,-9999.0,3,3.803,0.9,19.4,2.88203,3.49603,2.53057,0.07453,9.4511,8.2,-9999.0,95.8
200301010730,200301010800,-9999.0,3,30.715,1.3,19.29,2.87521,5.42201,2.51284,0.597996,123.735,68.54,-9999.0,94.4
200301010800,200301010830,-9999.0,3,103.708,1.9,19.17,2.86776,7.20376,2.49357,1.98386,261.511,232.2,-9999.0,91.4
200301010830,200301010900,-9999.0,3,206.199,3.1,21.38,3.00362,9.19502,2.86079,3.85005,390.241,462.0,-9999.0,87.7
200301010900,200301010930,-9999.0,3,300.128,4.9,22.29,3.05875,10.3293,3.01948,5.4836,507.724,672.6,-9999.0,81.7
200301010930,200301011000,-9999.0,3,422.065,5.9,23.08,3.10622,11.278,3.16072,7.50251,611.95,946.0,-9999.0,79.1
200301011000,200301011030,-9999.0,3,496.993,6.8,23.59,3.13668,11.6121,3.25359,8.68969,701.134,1114.0,-9999.0,76.7
200301011030,200301011100,-9999.0,3,381.033,7.0,23.41,3.12595,12.0371,3.22066,6.83547,773.752,854.0,-9999.0,75.7
