TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
199701010000,199701010030,-9999.0,3,0.0,7.642,18.18,1e-06,0.722401,2.61875,0.0,0.0,-9999.0,13.324,-9999.0
199701010030,199701010100,-9999.0,3,0.0,6.952,17.52,1e-06,0.626801,2.61553,0.0,0.0,-9999.0,13.162,-9999.0
199701010100,199701010130,-9999.0,3,0.0,6.688,17.12,1e-06,0.454001,2.61231,0.0,0.0,-9999.0,12.972,-9999.0
199701010130,199701010200,-9999.0,3,0.0,6.73,16.8,1e-06,0.545001,2.60909,0.0,0.0,-9999.0,12.8,-9999.0
199701010200,199701010230,-9999.0,3,0.0,6.554,16.16,1e-06,0.636001,2.60586,0.0,0.0,-9999.0,12.632,-9999.0
199701010230,199701010300,-9999.0,3,0.0,6.216,15.38,1e-06,0.726801,2.60262,0.0,0.0,-9999.0,12.45,-9999.0
199701010300,199701010330,-9999.0,3,0.0,5.862,14.62,1e-06,0.863201,2.59938,0.0,0.0,-9999.0,12.288,-9999.0
199701010330,199701010400,-9999.0,3,0.0,5.176,13.64,1e-06,1.13983,2.59848,0.0,0.0,-9999.0,12.152,-9999.0
199701010400,199701010430,-9999.0,3,0.0,3.637,12.867,1e-06,0.704001,2.59762,0.0,0.0,-9999.0,11.957,-9999.0
199701010430,199701010500,-9999.0,3,0.0,0.0,13.75,1e-06,0.628334,2.59676,0.0,0.0,-9999.0,11.75,-9999.0
199701010500,199701010530,-9999.0,3,0.0,0.0,13.667,1e-06,0.698501,2.59586,0.0,0.0,-9999.0,11.727,-9999.0
199701010530,199701010600,-9999.0,3,0.0,0.0,13.6,1e-06,0.717801,2.595,0.0,0.0,-9999.0,11.703,-9999.0
199701010600,199701010630,-9999.0,3,0.0,0.0,13.54,1e-06,0.617801,2.5941,0.0,0.0,-9999.0,11.686,-9999.0
199701010630,199701010700,-9999.0,3,0.0,0.0,13.4,1e-06,0.575501,2.60403,0.0,0.0,-9999.0,11.642,-9999.0
199701010700,199701010730,-9999.0,3,0.0,0.0,13.26,1e-06,0.424001,2.6139,0.0,0.0,-9999.0,11.604,-9999.0
199701010730,199701010800,-9999.0,3,0.622,0.0,13.38,1e-06,-0.360713,2.62373,0.0,17.1856,-9999.0,11.612,-9999.0
199701010800,199701010830,-9999.0,3,22.933,0.008,13.82,1e-06,-1.27588,2.63351,0.0,131.789,-9999.0,11.7,-9999.0
199701010830,199701010900,-9999.0,3,43.923,0.204,14.56,1e-06,-1.8845,2.64324,0.0,255.012,-9999.0,11.886,-9999.0
199701010900,199701010930,-9999.0,3,113.665,0.696,15.66,1e-06,-2.50673,2.65293,0.0,368.403,-9999.0,12.186,-9999.0
199701010930,199701011000,-9999.0,3,144.764,1.494,16.96,1e-06,-2.56869,2.66449,0.0,470.021,-9999.0,12.598,-9999.0
199701011000,199701011030,-9999.0,3,171.717,2.642,18.28,1e-06,-2.67093,2.67595,0.0,558.128,-9999.0,13.066,-9999.0
199701011030,199701011100,-9999.0,3,194.065,4.188,19.52,1e-06,-2.56214,2.68737,0.0,631.216,-9999.0,13.558,-9999.0
199701011100,199701011130,-9999.0,3,211.425,6.072,20.7,1e-06,-2.804,2.69869,0.0,688.034,-9999.0,14.028,-9999.0
199701011130,199701011200,-9999.0,3,223.5,8.014,21.72,1e-06,-2.94357,2.70999,0.0,727.611,-9999.0,14.458,-9999.0
199701011200,199701011230,-9999.0,3,285.287,9.83,22.6,1e-06,-3.1075,2.72118,0.0,749.269,-9999.0,14.822,-9999.0
199701011230,199701011300,-9999.0,3,286.503,11.432,23.34,1e-06,-3.10264,2.73285,0.0,752.637,-9999.0,15.132,-9999.0
199701011300,199701011330,-9999.0,3,280.749,13.058,24.04,1e-06,-3.1474,2.74441,0.0,737.659,-9999.0,15.372,-9999.0
199701011330,199701011400,-9999.0,3,268.125,14.764,24.64,1e-06,-2.80953,2.75594,0.0,704.59,-9999.0,15.544,-9999.0
199701011400,199701011430,-9999.0,3,248.846,16.226,25.08,1e-06,-2.5504,2.7674,0.0,653.996,-9999.0,15.642,-9999.0
199701011430,199701011500,-9999.0,3,223.242,17.608,25.48,1e-06,-2.38521,2.77875,0.0,586.743,-9999.0,15.674,-9999.0
199701011500,199701011530,-9999.0,3,168.299,18.834,25.76,1e-06,-1.97621,2.79006,0.0,503.981,-9999.0,15.65,-9999.0
199701011530,199701011600,-9999.0,3,135.964,19.596,25.78,1e-06,-1.47962,2.77622,0.0,407.126,-9999.0,15.556,-9999.0
199701011600,199701011630,-9999.0,3,99.487,19.354,25.46,1e-06,-1.06875,2.76227,0.0,297.837,-9999.0,15.38,-9999.0
199701011630,199701011700,-9999.0,3,59.492,18.576,24.94,1e-06,-0.609699,2.74821,0.0,177.982,-9999.0,15.148,-9999.0
199701011700,199701011730,-9999.0,3,16.663,17.646,24.36,1e-06,-0.301749,2.73405,0.0,50.665,-9999.0,14.886,-9999.0
199701011730,199701011800,-9999.0,3,0.0,16.742,23.84,1e-06,-0.009599,2.71982,0.0,0.0,-9999.0,14.634,-9999.0
199701011800,199701011830,-9999.0,3,0.0,15.926,23.5,1e-06,0.219334,2.70544,0.0,0.0,-9999.0,14.446,-9999.0
199701011830,199701011900,-9999.0,3,0.0,15.442,23.38,1e-06,0.572668,2.69832,0.0,0.0,-9999.0,14.36,-9999.0
199701011900,199701011930,-9999.0,3,0.0,15.248,23.4,1e-06,0.428376,2.69118,0.0,0.0,-9999.0,14.346,-9999.0
