TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,1.0,0.0,0.06,-17.183,0.107786,0.034851,0.094667,0.0,0.0,0.0,-1.894,96.454
200401010030,200401010100,-9999.0,1.0,0.0,0.1,-17.27,0.106637,0.032096,0.094099,0.0,0.0,0.0,-1.966,94.098
200401010100,200401010130,-9999.0,1.0,0.0,0.1,-17.186,0.107746,0.027953,0.094648,0.0,0.0,0.0,-2.055,93.864
200401010130,200401010200,-9999.0,1.0,0.0,0.2,-15.63,0.129167,0.000289,0.104793,0.0,0.0,0.0,-2.135,89.411
200401010200,200401010230,-9999.0,1.0,0.0,0.22,-14.406,0.147114,-0.013208,0.112735,0.0,0.0,0.0,-2.171,89.304
200401010230,200401010300,-9999.0,1.0,0.0,0.2,-13.976,0.153631,0.004391,0.115512,0.0,0.0,0.0,-2.216,90.666
200401010300,200401010330,-9999.0,1.0,0.0,0.2,-13.946,0.15409,0.004881,0.115706,0.0,0.0,0.0,-2.255,90.653
200401010330,200401010400,-9999.0,1.0,0.0,0.21,-13.363,0.163101,0.010568,0.119458,0.0,0.0,0.0,-2.278,90.853
200401010400,200401010430,-9999.0,1.0,0.0,0.2,-13.056,0.167921,0.021564,0.121428,0.0,0.0,0.0,-2.281,91.26
200401010430,200401010500,-9999.0,1.0,0.0,0.28,-12.366,0.178932,0.032464,0.125837,0.0,0.0,0.0,-2.295,88.644
200401010500,200401010530,-9999.0,1.0,0.0,0.42,-11.693,0.1899,0.05167,0.130111,0.0,0.0,0.0,-2.293,83.602
200401010530,200401010600,-9999.0,1.0,0.0,0.46,-11.19,0.198236,0.06512,0.133288,0.0,0.0,0.0,-2.275,82.481
200401010600,200401010630,-9999.0,1.0,0.0,0.49,-10.816,0.204508,0.085198,0.13564,0.0,0.0,0.0,-2.265,82.102
200401010630,200401010700,-9999.0,1.0,0.0,0.55,-10.42,0.211214,0.090544,0.13812,0.0,0.0,0.0,-2.228,80.477
200401010700,200401010730,-9999.0,1.0,0.063,0.66,-9.9,0.220119,0.095279,0.14136,0.0,0.0,0.0,-2.195,77.322
200401010730,200401010800,-9999.0,1.0,2.031,0.74,-9.526,0.22659,0.103979,0.143679,0.0,7.83411,0.0,-2.16,75.35
200401010800,200401010830,-9999.0,1.0,13.978,0.79,-9.173,0.232747,0.075073,0.145858,0.0,91.202,31.508,-2.122,74.482
200401010830,200401010900,-9999.0,1.0,38.217,0.83,-8.766,0.239901,0.068204,0.148359,0.0,186.555,83.811,-2.086,73.907
200401010900,200401010930,-9999.0,1.0,66.557,0.9,-8.363,0.247043,0.043932,0.150823,0.0,271.84,147.282,-2.048,72.653
200401010930,200401011000,-9999.0,1.0,71.919,1.02,-7.706,0.258802,0.023828,0.154813,0.0,345.599,159.4,-2.005,70.521
200401011000,200401011030,-9999.0,1.0,94.748,1.15,-7.105,0.269677,0.007825,0.158433,0.0,406.568,209.272,-1.959,68.149
200401011030,200401011100,-9999.0,1.0,165.921,1.45,-5.97,0.290497,0.038169,0.165189,0.0,453.706,359.489,-1.913,63.294
200401011100,200401011130,-9999.0,2.0,223.345,1.73,-5.041,0.307783,0.036112,0.170639,0.0,486.206,474.6,-1.874,59.238
200401011130,200401011200,-9999.0,1.0,179.671,1.88,-4.556,0.316886,0.058504,0.173455,0.0,503.511,394.093,-1.832,57.294
200401011200,200401011230,-9999.0,1.0,131.671,1.89,-4.468,0.318544,0.0426,0.173963,0.0,505.325,298.181,-1.779,57.154
200401011230,200401011300,-9999.0,1.0,102.571,1.9,-4.151,0.324526,0.0505,0.175791,0.0,491.618,235.601,-1.693,58.14
200401011300,200401011330,-9999.0,2.0,191.239,2.16,-3.031,0.345817,-0.134191,0.182176,0.0,462.624,411.913,-1.612,56.032
200401011330,200401011400,-9999.0,1.0,109.465,2.23,-2.494,0.356101,0.049933,0.185199,0.0,418.838,247.915,-1.551,56.456
200401011400,200401011430,-9999.0,1.0,88.375,2.22,-2.224,0.36129,0.04741,0.186709,0.0,361.011,202.172,-1.475,57.488
