TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1,0.0,0.23,-10.76,0.084845,-0.31368,0.470337,0.0,0.0,0.0,0.067,91.667
201301010030,201301010100,-9999.0,1,0.0,0.23,-10.42,0.08948,-0.369142,0.476751,0.0,0.0,0.0,0.051,91.9
201301010100,201301010130,-9999.0,1,0.0,0.23,-10.16,0.093132,-0.364567,0.48163,0.0,0.0,0.0,0.059,92.133
201301010130,201301010200,-9999.0,1,0.0,0.24,-10.14,0.093416,-0.36421,0.482005,0.0,0.0,0.0,0.054,91.833
201301010200,201301010230,-9999.0,1,0.0,0.22,-9.7,0.09982,-0.437816,0.490211,0.0,0.0,0.0,0.026,92.633
201301010230,201301010300,1.34728,0,0.0,0.24,-9.83,0.0979,-1.22816,0.487793,0.0,0.0,0.0,0.017,91.933
201301010300,201301010330,-9999.0,1,0.0,0.23,-9.35,0.105107,-0.470054,0.496695,0.0,0.0,0.0,0.016,92.533
201301010330,201301010400,-9999.0,1,0.0,0.23,-9.23,0.106959,-0.474596,0.498909,0.0,0.0,0.0,0.018,92.567
201301010400,201301010430,-9999.0,1,0.0,0.21,-9.14,0.108361,-0.39073,0.500566,0.0,0.0,0.0,0.009,93.2
201301010430,201301010500,-9999.0,1,0.0,0.17,-9.76,0.098931,-0.302046,0.489096,0.0,0.0,0.0,0.016,94.533
201301010500,201301010530,-9999.0,1,0.0,0.14,-9.97,0.095859,-0.361147,0.485183,0.0,0.0,0.0,0.024,95.267
201301010530,201301010600,-9999.0,1,0.0,0.16,-10.0,0.095425,-0.361691,0.484622,0.0,0.0,0.0,0.017,94.767
201301010600,201301010630,-9999.0,1,0.0,0.16,-9.98,0.095714,-0.361328,0.484996,0.0,0.0,0.0,0.026,94.5
201301010630,201301010700,-9999.0,1,0.0,0.16,-9.94,0.096294,-0.3606,0.485743,0.0,0.0,0.0,0.019,94.533
201301010700,201301010730,-9999.0,1,0.0,0.17,-9.87,0.097314,-0.224001,0.487048,0.0,0.0,0.0,0.023,94.233
201301010730,201301010800,-9999.0,1,0.0,0.18,-9.81,0.098194,-0.2088,0.488165,0.0,7.76093,7.766,0.024,94.1
201301010800,201301010830,-9999.0,1,10.312,0.19,-9.85,0.097607,-0.086176,0.48742,0.226079,94.4864,31.733,0.017,93.733
201301010830,201301010900,-0.181944,0,27.607,0.19,-9.9,0.096876,0.299778,0.486488,0.455759,195.02,68.6,0.013,93.567
201301010900,201301010930,-1.72656,0,50.9,0.22,-9.96,0.096004,1.8433,0.485369,0.630548,285.548,123.87,0.0,92.633
201301010930,201301011000,-1.34478,0,62.753,0.21,-9.9,0.096876,1.46261,0.486488,0.689768,364.522,152.93,0.022,93.033
201301011000,201301011030,-0.131389,0,89.27,0.22,-9.71,0.099672,0.252734,0.490025,0.783649,430.589,217.0,0.01,92.633
201301011030,201301011100,0.0672222,0,114.17,0.24,-9.48,0.103123,0.058462,0.494291,0.842859,482.62,274.8,0.016,92.1
201301011100,201301011130,-2.25211,0,164.3,0.3,-9.29,0.10603,2.38145,0.497802,0.918796,519.724,375.37,0.011,90.4
201301011130,201301011200,-1.59911,0,215.9,0.36,-8.9,0.112157,1.73617,0.504973,0.966177,541.266,439.0,-0.006,88.6
201301011200,201301011230,-1.24383,0,401.93,0.55,-8.09,0.125571,1.39784,0.51971,1.04564,546.879,712.4,-0.002,83.6
201301011230,201301011300,-1.85289,0,457.97,0.67,-7.71,0.132188,2.01529,0.52655,1.058,536.465,754.2,-0.241,80.653
201301011300,201301011330,-1.50517,0,394.258,0.96,-6.78,0.149264,1.68926,0.543092,1.04371,510.203,699.83,-0.173,74.207
201301011330,201301011400,-2.81211,0,396.73,1.38,-5.48,0.175247,3.02936,0.565742,1.04434,468.542,617.53,-0.132,66.28
201301011400,201301011430,-1.96128,0,320.4,1.37,-4.98,0.1859,2.19217,0.574307,1.02085,412.196,520.8,0.044,67.743
201301011430,201301011500,-2.153,0,253.4,1.39,-4.72,0.191585,2.39119,0.578729,0.990239,342.127,402.9,0.234,68.04
201301011500,201301011530,-1.16528,0,180.17,1.43,-4.57,0.194911,1.40773,0.58127,0.935707,259.536,260.13,0.25,67.32
201301011530,201301011600,0.0402778,0,104.35,1.44,-4.55,0.195356,0.202747,0.581608,0.821907,165.836,128.331,0.224,67.16
201301011600,201301011630,1.19339,0,20.899,1.27,-4.7,0.192027,-0.954638,0.579068,0.381572,62.6282,45.133,0.215,70.797
201301011630,201301011700,0.373667,0,0.0,0.97,-5.56,0.173576,-0.158554,0.564364,0.0,0.305436,7.338,0.195,76.247
201301011700,201301011730,-9999.0,1,0.0,0.59,-6.88,0.147367,-0.616611,0.541326,0.0,0.0,0.0,0.184,84.033
201301011730,201301011800,0.0122778,0,0.0,0.31,-8.48,0.118996,0.133419,0.512641,0.0,0.0,0.0,0.18,90.567
201301011800,201301011830,-0.141111,0,0.0,0.13,-9.76,0.098931,0.261526,0.489096,0.0,0.0,0.0,0.157,95.6
201301011830,201301011900,0.107278,0,0.0,0.13,-9.81,0.098194,0.012211,0.488165,0.0,0.0,0.0,0.115,95.733
201301011900,201301011930,-9999.0,1,0.0,0.16,-9.92,0.096585,-0.360235,0.486116,0.0,0.0,0.0,0.091,94.567
201301011930,201301012000,-9999.0,1,0.0,0.19,-10.08,0.094274,-0.363135,0.483127,0.0,0.0,0.0,0.089,93.5
201301012000,201301012030,-9999.0,1,0.0,0.18,-10.32,0.090874,-0.367397,0.47863,0.0,0.0,0.0,0.086,93.867
201301012030,201301012100,-9999.0,1,0.0,0.18,-10.36,0.090315,-0.368097,0.477879,0.0,0.0,0.0,0.07,93.767
