TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,1.0,0.0,0.74,3.701,0.60205,-0.250257,0.938458,0.0,0.0,0.0,9.24,90.8
201201010030,201201010100,-9999.0,1.0,0.0,0.48,3.467,0.585998,-0.265403,0.931392,0.0,0.0,0.0,9.27,93.9
201201010100,201201010130,-9999.0,1.0,0.0,0.44,2.995,0.554476,-0.295167,0.917098,0.0,0.0,0.0,9.29,94.3
201201010130,201201010200,-9999.0,1.0,0.0,0.36,2.778,0.540365,-0.308499,0.910508,0.0,0.0,0.0,9.307,95.2
201201010200,201201010230,-9999.0,1.0,0.0,0.29,2.241,0.506463,-0.340551,0.894156,0.0,0.0,0.0,9.327,96.0
201201010230,201201010300,-9999.0,1.0,0.0,0.25,2.284,0.509125,-0.338034,0.895468,0.0,0.0,0.0,9.327,96.6
201201010300,201201010330,-9999.0,1.0,0.0,0.23,2.183,0.502888,-0.343934,0.892386,0.0,0.0,0.0,9.327,96.8
201201010330,201201010400,-9999.0,1.0,0.0,0.23,2.495,0.522318,-0.325557,0.901899,0.0,0.0,0.0,9.327,96.9
201201010400,201201010430,-9999.0,1.0,0.0,0.23,2.76,0.539205,-0.309595,0.909961,0.0,0.0,0.0,9.334,97.0
201201010430,201201010500,-9999.0,1.0,0.0,0.23,3.544,0.591249,-0.260448,0.933718,0.0,0.0,0.0,9.324,97.2
201201010500,201201010530,-9999.0,1.0,0.0,0.23,3.984,0.621841,-0.23159,0.946987,0.0,0.0,0.0,9.33,97.2
201201010530,201201010600,-9999.0,1.0,0.0,0.23,4.267,0.642048,0.354911,0.955496,0.0,0.0,0.0,9.344,97.3
201201010600,201201010630,-9999.0,1.0,0.0,0.23,4.646,0.669768,0.381028,0.966859,0.0,0.0,0.0,9.357,97.3
201201010630,201201010700,-9999.0,1.0,0.0,0.23,5.101,0.704049,0.413304,0.980453,0.0,0.0,0.0,9.36,97.4
201201010700,201201010730,-9999.0,1.0,1.875,0.23,5.139,0.706962,0.416045,0.981586,0.0,0.184755,3.606,9.374,97.4
201201010730,201201010800,-9999.0,1.0,16.084,0.24,5.234,0.714278,0.42293,0.984417,0.0,69.4359,30.93,9.38,97.4
201201010800,201201010830,-9999.0,3.0,42.627,0.23,5.125,0.705888,-0.559817,0.981169,0.0,189.218,81.974,9.387,97.4
201201010830,201201010900,-9999.0,2.0,75.09,0.23,5.147,0.707576,0.193217,0.981825,0.0,299.881,144.403,9.39,97.4
201201010900,201201010930,-9999.0,2.0,101.139,0.24,5.261,0.716366,0.201489,0.985221,0.0,399.529,194.498,9.387,97.4
201201010930,201201011000,-9999.0,3.0,130.148,0.24,5.463,0.732111,-0.582365,0.991231,0.0,486.458,250.285,9.38,97.4
201201011000,201201011030,-9999.0,3.0,145.936,0.24,5.596,0.742597,-0.008362,0.995181,0.0,559.181,280.646,9.38,97.4
201201011030,201201011100,-9999.0,3.0,170.308,0.23,5.643,0.746326,-0.674927,0.996577,0.0,616.454,327.515,9.387,97.5
201201011100,201201011130,-9999.0,3.0,187.477,0.24,5.948,0.77081,-0.432271,1.00561,0.0,657.296,360.532,9.38,97.5
201201011130,201201011200,-9999.0,3.0,222.011,0.24,6.144,0.78681,-0.417236,1.01141,0.0,681.009,426.945,9.374,97.5
201201011200,201201011230,-9999.0,3.0,226.748,0.25,6.438,0.811201,-0.394325,1.02008,0.0,687.187,436.054,9.37,97.5
201201011230,201201011300,-9999.0,3.0,225.662,0.25,6.795,0.841453,0.557532,1.03059,0.0,675.724,433.966,9.367,97.5
201201011300,201201011330,-9999.0,3.0,250.429,0.26,7.142,0.871527,1.15623,1.04076,0.0,646.816,481.594,9.36,97.5
201201011330,201201011400,-9999.0,3.0,328.873,0.27,7.458,0.899492,1.74293,1.04999,0.0,600.958,632.448,9.35,97.4
201201011400,201201011430,-9999.0,2.0,382.156,0.39,8.49,0.994684,0.230947,1.07996,0.0,538.935,734.915,9.324,96.5
