TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,1.04,0,0.0,2.35,-6.26,0.401172,-0.639102,0.343395,0.0,0.0,0.0,-1.26,38.69
200401010030,200401010100,0.143,0,0.0,2.31,-6.4,0.397894,0.254571,0.341872,0.0,0.0,0.0,-1.25,39.2
200401010100,200401010130,-0.765,0,0.0,2.29,-6.49,0.395788,1.16044,0.340892,0.0,0.0,0.0,-1.25,39.2
200401010130,200401010200,1.28,0,0.0,2.22,-6.64,0.392282,-0.888122,0.339253,0.0,0.0,0.0,-1.24,40.42
200401010200,200401010230,1.34,0,0.0,2.16,-6.77,0.389247,-0.951201,0.337829,0.0,0.0,0.0,-1.24,41.49
200401010230,200401010300,0.297,0,0.0,2.24,-6.72,0.390414,0.092983,0.338377,0.0,0.0,0.0,-1.24,39.6
200401010300,200401010330,0.291,0,0.0,2.2,-6.79,0.388781,0.097326,0.33761,0.0,0.0,0.0,-1.23,40.32
200401010330,200401010400,0.518,0,0.0,2.21,-6.82,0.388081,-0.130384,0.337281,0.0,0.0,0.0,-1.23,39.94
200401010400,200401010430,-0.12,0,0.0,2.31,-6.76,0.389481,0.509036,0.337939,0.0,0.0,0.0,-1.23,37.39
200401010430,200401010500,0.222,0,0.0,2.27,-6.93,0.385517,0.163016,0.336073,0.0,0.0,0.0,-1.23,37.89
200401010500,200401010530,0.55,0,0.0,2.19,-7.0,0.383887,-0.166638,0.335302,0.0,0.0,0.0,-1.23,39.64
200401010530,200401010600,0.684,0,0.0,2.04,-7.24,0.378306,-0.306297,0.332654,0.0,0.0,0.0,-1.23,42.64
200401010600,200401010630,0.018,0,0.0,2.25,-6.9,0.386216,0.367725,0.336402,0.0,0.0,0.0,-1.23,38.4
200401010630,200401010700,0.534,0,0.0,2.05,-7.31,0.37668,-0.157945,0.331879,0.0,0.0,0.0,-1.23,42.12
200401010700,200401010730,-0.021,0,1.965,1.95,-7.55,0.371116,0.391414,0.329215,0.0,0.0254447,5.03,-1.23,43.88
200401010730,200401010800,-9999.0,1,35.084,1.98,-7.35,0.375752,0.071447,0.331436,0.0,62.9444,67.93,-1.23,43.95
200401010800,200401010830,0.059,0,58.441,2.02,-7.21,0.379003,0.319409,0.332985,0.0,178.068,112.29,-1.23,43.39
200401010830,200401010900,0.353,0,32.299,2.15,-6.87,0.386915,0.033434,0.336732,0.0,284.005,62.64,-1.23,41.26
200401010900,200401010930,0.095,0,35.426,2.11,-7.0,0.383887,0.288362,0.335302,0.0,378.943,68.58,-1.23,41.97
200401010930,200401011000,-9999.0,1,93.129,2.13,-6.84,0.387615,-0.235857,0.337061,0.0,461.258,178.17,-1.23,42.11
200401011000,200401011030,-9999.0,1,425.906,2.41,-5.78,0.412441,0.328837,0.348585,0.0,529.542,810.18,-1.23,39.58
200401011030,200401011100,-9999.0,1,468.692,2.77,-4.44,0.444098,0.577829,0.362827,0.0,582.625,891.44,-1.23,37.16
200401011100,200401011130,-0.358,0,502.274,2.87,-4.03,0.453832,0.812392,0.367112,0.0,619.6,955.22,-1.23,36.9
200401011130,200401011200,-9999.0,1,493.687,2.91,-3.85,0.458112,0.247244,0.368983,0.0,639.834,938.91,-1.23,36.79
200401011200,200401011230,0.877,0,519.961,3.05,-3.33,0.470495,-0.40566,0.37435,0.0,642.982,988.81,-1.24,36.27
