TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,1,0.0,1.753,14.396,1.15552,0.546129,4.13197,0.0,0.0,-9999.0,67.835
201101010030,201101010100,2.77689,0,0.0,1.746,14.889,1.17338,-1.62857,4.26752,0.0,0.0,-9999.0,65.277
201101010100,201101010130,3.95256,0,0.0,1.739,14.888,1.17334,-2.80428,4.26724,0.0,0.0,-9999.0,64.907
201101010130,201101010200,1.31411,0,0.0,1.732,15.079,1.18025,-0.159157,4.32034,0.0,0.0,-9999.0,63.542
201101010200,201101010230,1.12633,0,0.0,1.726,15.097,1.1809,0.029252,4.32536,0.0,0.0,-9999.0,62.715
201101010230,201101010300,-9999.0,1,0.0,1.719,14.16,1.14697,0.60749,4.06786,0.0,0.0,-9999.0,71.427
201101010300,201101010330,-9999.0,1,0.0,1.714,13.528,1.12405,0.59039,3.89864,0.0,0.0,-9999.0,75.259
201101010330,201101010400,-9999.0,1,0.0,1.709,12.643,1.09193,0.558741,3.66779,0.0,0.0,-9999.0,83.483
201101010400,201101010430,-9999.0,1,0.0,1.704,12.368,1.08194,0.553198,3.59753,0.0,0.0,-9999.0,86.842
201101010430,201101010500,-9999.0,1,0.0,1.698,12.125,1.07312,0.54923,3.53602,0.0,0.0,-9999.0,92.825
201101010500,201101010530,-9999.0,1,0.0,1.693,12.218,1.0765,0.551995,3.5595,0.0,0.0,-9999.0,94.222
201101010530,201101010600,-9999.0,1,0.0,1.687,12.489,1.08634,0.598618,3.62836,0.0,0.0,-9999.0,93.675
201101010600,201101010630,-9999.0,1,0.0,1.681,12.683,1.09338,0.623233,3.67807,0.0,0.0,-9999.0,92.773
201101010630,201101010700,-9999.0,1,0.0,1.675,12.828,1.09865,0.628735,3.71546,0.0,0.0,-9999.0,90.932
201101010700,201101010730,-9999.0,1,0.0,1.67,12.989,1.10449,0.624108,3.75719,0.0,0.0,-9999.0,88.394
201101010730,201101010800,-9999.0,2,1.547,1.378,12.728,1.09502,1.38422,3.68965,0.010233,0.0308748,-9999.0,92.506
201101010800,201101010830,-9999.0,1,1.131,1.65,12.239,1.07726,0.584028,3.56481,0.007491,63.119,-9999.0,97.272
201101010830,201101010900,-9999.0,1,5.055,1.648,12.176,1.07497,0.56794,3.54888,0.03308,178.264,-9999.0,99.302
201101010900,201101010930,-9999.0,1,10.411,1.641,12.217,1.07646,0.560322,3.55924,0.06704,284.221,-9999.0,99.69
201101010930,201101011000,-9999.0,1,14.96,1.661,12.211,1.07624,0.555376,3.55773,0.095041,379.177,-9999.0,99.956
