TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
201001010000,201001010030,0.013,0,0.0,4.61,8.57,0.001958,-0.011042,0.074409,0.0,0.0,7.35,58.652
201001010030,201001010100,0.072,0,0.0,4.9,8.78,0.001999,-0.070001,0.074671,0.0,0.0,7.08,56.714
201001010100,201001010130,-9999.0,1,0.0,4.53,8.05,0.001859,0.015065,0.073756,0.0,0.0,6.6,57.984
201001010130,201001010200,-9999.0,1,0.0,2.89,5.81,0.001468,0.070924,0.070867,0.0,0.0,6.13,68.705
201001010200,201001010230,-9999.0,1,0.0,2.2,4.63,0.001286,0.073702,0.069292,0.0,0.0,5.58,74.156
201001010230,201001010300,-9999.0,1,0.0,2.36,4.85,0.001319,0.07498,0.069588,0.0,0.0,5.13,72.708
201001010300,201001010330,-9999.0,1,0.0,2.08,4.31,0.001239,0.079153,0.068858,0.0,0.0,4.67,75.069
201001010330,201001010400,-9999.0,1,0.0,2.24,4.57,0.001277,0.076293,0.069211,0.0,0.0,4.32,73.607
201001010400,201001010430,-9999.0,1,0.0,2.37,4.77,0.001307,0.076582,0.069481,0.0,0.0,3.97,72.479
201001010430,201001010500,-9999.0,1,0.0,2.45,4.88,0.001323,0.077341,0.069629,0.0,0.0,3.61,71.74
201001010500,201001010530,-9999.0,1,0.0,2.06,4.15,0.001216,0.078455,0.068641,0.0,0.0,3.29,74.947
201001010530,201001010600,-9999.0,1,0.0,2.33,4.61,0.001283,0.078076,0.069265,0.0,0.0,3.11,72.57
201001010600,201001010630,-9999.0,1,0.0,1.36,2.79,0.001032,0.084925,0.066761,0.0,0.0,2.86,81.889
201001010630,201001010700,-9999.0,1,0.0,1.23,2.69,0.00102,0.086754,0.06662,0.0,0.0,2.52,83.546
201001010700,201001010730,-9999.0,1,0.704,3.397,1.11,0.000832,0.007092,0.064367,0.001219,0.318119,2.21,-9999.0
201001010730,201001010800,-9999.0,1,30.6,5.196,0.549,0.000772,0.03073,0.06355,0.052398,78.5075,2.05,-9999.0
201001010800,201001010830,-9999.0,1,132.0,2.19,4.46,0.001261,0.207455,0.069062,0.218075,211.982,2.09,73.986
201001010830,201001010900,-9999.0,1,211.0,4.81,8.37,0.001919,0.628431,0.074159,0.339286,336.784,2.63,56.344
201001010900,201001010930,-0.763,0,306.0,4.93,8.39,0.001923,0.764923,0.074184,0.476745,450.78,3.95,55.276
201001010930,201001011000,-0.758,0,396.0,5.67,9.32,0.002107,0.760107,0.075338,0.59931,552.017,5.69,51.676
201001011000,201001011030,-1.07319,0,476.0,7.22,11.1,0.002488,1.07568,0.07749,0.702514,638.764,7.72,45.397
201001011030,201001011100,-0.943806,0,526.0,8.15,12.0,0.002695,0.946501,0.078549,0.764456,709.537,10.1,41.884
201001011100,201001011130,-0.63,0,592.0,8.8,12.6,0.002839,0.632839,0.079245,0.843381,763.124,12.2,39.703
201001011130,201001011200,-0.333194,0,628.0,9.78,13.5,0.003063,0.336257,0.080274,0.885131,798.609,14.3,36.788
201001011200,201001011230,-1.04,0,645.0,11.72,15.1,0.003488,1.04349,0.082058,0.904538,815.385,16.2,31.704
201001011230,201001011300,-1.04,0,642.0,12.88,16.0,0.003741,1.04374,0.083038,0.901128,813.164,17.8,29.145
201001011300,201001011330,-0.302,0,625.0,13.68,16.7,0.003945,0.305945,0.083789,0.881686,791.986,19.3,28.017
201001011330,201001011400,-0.918806,0,590.0,14.54,17.4,0.004155,0.922961,0.084529,0.841035,752.211,20.3,26.818
201001011400,201001011430,-0.901,0,541.0,15.47,18.1,0.004372,0.905372,0.08526,0.782672,694.52,21.1,25.53
201001011430,201001011500,-0.631,0,475.0,16.1,18.6,0.00453,0.63553,0.085776,0.701256,619.901,21.3,24.869
201001011500,201001011530,-1.13,0,396.0,17.0,19.3,0.004757,1.13476,0.08649,0.59931,529.631,20.7,24.049
201001011530,201001011600,-0.629194,0,308.0,17.41,19.6,0.004856,0.634051,0.086794,0.479547,425.253,19.8,23.644
201001011600,201001011630,-0.3,0,213.0,17.09,19.5,0.004823,0.304823,0.086693,0.342271,308.555,19.0,24.591
201001011630,201001011700,-0.140806,0,116.0,14.89,18.0,0.00434,0.145146,0.085156,0.192712,181.532,17.9,27.843
201001011700,201001011730,0.091,0,32.5,12.89,16.4,0.003857,-0.087143,0.083469,0.055613,48.2957,16.5,30.907
201001011730,201001011800,-0.0618056,0,0.0,10.72,14.5,0.003325,0.065131,0.081396,0.0,0.0,15.1,35.077
201001011800,201001011830,0.117,0,0.0,9.1,12.9,0.002913,-0.114087,0.07959,0.0,0.0,13.9,38.862
201001011830,201001011900,-0.0628056,0,0.0,8.06,11.8,0.002648,0.065454,0.078315,0.0,0.0,12.8,41.776
201001011900,201001011930,0.215806,0,0.0,8.38,12.2,0.002743,-0.213063,0.078782,0.0,0.0,11.9,41.072
201001011930,201001012000,-9999.0,1,0.0,7.08,10.7,0.002399,-0.082177,0.077013,0.0,0.0,11.2,45.007
201001012000,201001012030,-9999.0,1,0.0,8.26,11.9,0.002671,-0.102761,0.078432,0.0,0.0,10.4,40.766
201001012030,201001012100,-9999.0,1,0.0,7.31,10.9,0.002443,-0.084834,0.077252,0.0,0.0,9.62,43.974
201001012100,201001012130,-9999.0,1,0.0,5.06,8.23,0.001893,0.013601,0.073983,0.0,0.0,8.91,53.614
201001012130,201001012200,-9999.0,1,0.0,4.3,7.45,0.001748,0.042607,0.072995,0.0,0.0,8.36,58.384
201001012200,201001012230,-9999.0,1,0.0,3.74,6.8,0.001634,0.054114,0.07216,0.0,0.0,7.91,62.236
201001012230,201001012300,-0.015,0,0.0,3.15,5.96,0.001493,0.016493,0.071064,0.0,0.0,7.5,66.238
201001012300,201001012330,-9999.0,1,0.0,2.46,4.86,0.00132,0.075319,0.069602,0.0,0.0,7.05,71.603
201001012330,201001020000,-9999.0,1,0.0,1.8,3.69,0.001152,0.081169,0.06801,0.0,0.0,6.62,77.498
201001020000,201001020030,-9999.0,1,0.0,1.56,3.3,0.001099,0.079918,0.067472,0.0,0.0,6.28,79.894
201001020030,201001020100,-9999.0,1,0.0,1.47,3.24,0.001091,0.080076,0.067388,0.0,0.0,5.94,81.058
201001020100,201001020130,-9999.0,1,0.0,1.24,2.88,0.001044,0.079323,0.066887,0.0,0.0,5.62,83.513
201001020130,201001020200,-9999.0,1,0.0,1.21,2.75,0.001027,0.07751,0.066705,0.0,0.0,5.29,83.829
201001020200,201001020230,-9999.0,1,0.0,0.92,2.14,0.000952,0.087913,0.065844,0.0,0.0,4.99,87.168
201001020230,201001020300,-9999.0,1,0.0,1.24,2.87,0.001043,0.0787,0.066873,0.0,0.0,4.74,83.601
201001020300,201001020330,-0.0401944,0,0.0,1.07,2.57,0.001005,0.041199,0.066452,0.0,0.0,4.56,85.524
201001020330,201001020400,-0.167806,0,0.0,1.15,2.69,0.00102,0.168826,0.06662,0.0,0.0,4.4,84.553
201001020400,201001020430,-9999.0,1,0.0,1.47,3.34,0.001104,0.079909,0.067527,0.0,0.0,4.41,81.125
201001020430,201001020500,-9999.0,1,0.0,1.53,3.42,0.001115,0.07992,0.067638,0.0,0.0,4.4,80.436
201001020500,201001020530,-9999.0,1,0.0,1.73,3.74,0.001159,0.07987,0.068079,0.0,0.0,4.3,78.415
201001020530,201001020600,-9999.0,1,0.0,1.94,4.26,0.001232,0.079197,0.06879,0.0,0.0,4.34,76.584
201001020600,201001020630,-9999.0,1,0.0,2.2,4.69,0.001295,0.075294,0.069373,0.0,0.0,4.38,74.313
201001020630,201001020700,-9999.0,1,0.0,1.68,3.79,0.001166,0.081398,0.068148,0.0,0.0,4.37,79.042
201001020700,201001020730,-9999.0,1,1.89,1.52,3.58,0.001137,0.081154,0.067859,0.00327,0.118941,4.35,80.768
201001020730,201001020800,-9999.0,1,20.8,3.61,6.68,0.001613,0.025784,0.072004,0.035743,75.1123,4.43,63.237
201001020800,201001020830,-0.234389,0,47.7,2.6,5.16,0.001366,0.235755,0.070004,0.081179,208.918,4.67,70.636
201001020830,201001020900,-0.150611,0,129.0,4.05,7.61,0.001777,0.152388,0.073199,0.213341,334.121,4.84,61.31
201001020900,201001020930,0.0578056,0,290.0,8.29,12.7,0.002863,-0.054942,0.07936,0.454196,448.578,5.88,43.558
201001020930,201001021000,0.128806,0,387.0,10.33,14.7,0.003379,-0.125427,0.081617,0.58737,550.332,7.6,38.246
201001021000,201001021030,-0.278,0,465.0,10.65,15.0,0.00346,0.28146,0.081949,0.688628,637.64,9.64,37.567
201001021030,201001021100,-0.188,0,526.0,11.64,15.9,0.003712,0.191712,0.08293,0.764456,709.01,12.0,35.571
201001021100,201001021130,-0.405194,0,577.0,11.27,15.7,0.003655,0.408849,0.082714,0.825719,763.219,14.2,36.791
201001021130,201001021200,-0.462,0,615.0,11.52,15.9,0.003712,0.465712,0.08293,0.870158,799.341,16.2,36.223
201001021200,201001021230,-0.322,0,632.0,12.73,16.9,0.004004,0.326004,0.084002,0.889715,816.758,17.8,33.895
201001021230,201001021300,-1.19,0,629.0,13.94,17.9,0.004309,1.19431,0.085052,0.886278,815.171,19.3,32.049
201001021300,201001021330,-9999.0,1,611.0,14.92,18.5,0.004498,0.762661,0.085673,0.865527,794.607,20.8,29.929
201001021330,201001021400,-9999.0,1,577.0,16.1,19.3,0.004757,0.796529,0.08649,0.825719,755.419,21.8,28.075
