TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,-9999.0,1,0.0,7.4,7.723,0.090491,-0.071832,0.088743,0.0,0.0,-0.023,2.942,29.738
201001010030,201001010100,-0.096022,0,0.0,7.44,7.649,0.090084,0.188111,0.088629,0.0,0.0,-0.022,2.839,29.029
201001010100,201001010130,0.253009,0,0.0,7.29,7.435,0.088913,-0.161879,0.088299,0.0,0.0,-0.014,2.724,29.457
201001010130,201001010200,0.0153137,0,0.0,7.36,7.456,0.089027,0.07591,0.088331,0.0,0.0,-0.021,2.63,28.834
201001010200,201001010230,0.2296,0,0.0,7.63,7.68,0.090254,-0.137372,0.088677,0.0,0.0,-0.025,2.521,27.348
201001010230,201001010300,-0.0121088,0,0.0,8.18,8.11,0.092628,0.106271,0.089335,0.0,0.0,-0.034,2.449,24.338
201001010300,201001010330,0.31442,0,0.0,8.38,8.15,0.09285,-0.220077,0.089396,0.0,0.0,-0.04,2.33,22.703
201001010330,201001010400,-0.114109,0,0.0,9.04,8.78,0.096373,0.211303,0.090349,0.0,0.0,-0.044,2.262,20.074
201001010400,201001010430,0.247097,0,0.0,9.17,8.83,0.096655,-0.149676,0.090425,0.0,0.0,-0.039,2.186,19.213
201001010430,201001010500,0.102633,0,0.0,9.14,8.76,0.09626,-0.00553,0.090319,0.0,0.0,-0.043,2.145,19.127
201001010500,201001010530,0.879877,0,0.0,9.13,8.61,0.095417,-0.783454,0.090093,0.0,0.0,-0.026,2.106,18.338
201001010530,201001010600,0.405157,0,0.0,9.52,8.59,0.095305,-0.308825,0.090063,0.0,0.0,-0.021,2.073,14.78
201001010600,201001010630,0.445774,0,0.0,9.59,8.58,0.095249,-0.349487,0.090048,0.0,0.0,-0.022,2.074,14.073
201001010630,201001010700,0.269947,0,0.0,9.57,8.63,0.09553,-0.173433,0.090123,0.0,0.0,0.116,2.027,14.561
201001010700,201001010730,0.190916,0,3.057,9.83,8.9,0.09705,-0.093176,0.09053,0.0,0.40944,-9999.0,1.984,13.859
201001010730,201001010800,0.174987,0,19.966,9.91,9.04,0.097841,-0.07661,0.09074,0.0,79.9724,56.4,1.95,13.903
201001010800,201001010830,0.27549,0,125.653,10.62,9.85,0.102468,-0.173411,0.091942,0.0,213.619,243.949,1.915,12.672
201001010830,201001010900,0.0965856,0,257.218,11.5,10.95,0.108875,0.010566,0.093545,0.0,338.583,458.973,1.931,12.081
201001010900,201001010930,-0.393733,0,343.305,12.77,12.3,0.116921,0.507172,0.095465,0.0,452.725,599.682,2.082,10.7
201001010930,201001011000,-0.621453,0,427.131,13.13,12.81,0.120011,0.737283,0.096177,0.0,554.092,744.93,2.317,11.227
201001011000,201001011030,-0.831955,0,507.652,13.63,13.39,0.123557,0.950513,0.096978,0.0,640.951,880.21,2.734,11.265
201001011030,201001011100,-0.743868,0,570.696,14.59,14.39,0.129748,0.867154,0.098339,0.0,711.815,982.56,3.275,10.984
201001011100,201001011130,-0.388978,0,616.261,15.1,14.95,0.133257,0.514922,0.099089,0.0,765.472,1054.65,3.906,11.183
201001011130,201001011200,0.706141,0,644.522,14.42,14.68,0.131561,-0.58148,0.098728,0.0,801.003,1102.71,4.578,13.655
201001011200,201001011230,0.271464,0,657.479,13.26,13.67,0.125281,-0.151585,0.097362,0.0,817.8,1124.07,5.294,15.282
201001011230,201001011300,-9999.0,1,651.392,14.45,14.79,0.132251,-0.207445,0.098875,0.0,815.577,1111.61,5.976,14.094
201001011300,201001011330,-9999.0,1,631.131,15.56,15.8,0.138636,-0.064168,0.100213,0.0,794.371,1072.45,6.588,13.32
201001011330,201001011400,0.360556,0,592.348,16.86,16.9,0.145689,-0.225301,0.10164,0.0,754.545,1005.7,7.048,12.419
201001011400,201001011430,-0.0828565,0,535.826,17.21,17.19,0.147565,0.219503,0.102011,0.0,696.78,911.36,7.408,12.244
201001011430,201001011500,-9999.0,1,461.479,16.54,16.64,0.144013,0.014368,0.101305,0.0,622.065,792.99,7.788,12.678
201001011500,201001011530,-9999.0,1,378.957,16.62,16.71,0.144463,0.088731,0.101395,0.0,531.678,655.307,7.768,12.622
201001011530,201001011600,-9999.0,1,289.218,16.39,16.5,0.143112,-0.059432,0.101124,0.0,427.166,502.583,7.638,12.685
201001011600,201001011630,-9999.0,1,190.957,16.41,16.52,0.143241,-0.037394,0.10115,0.0,310.316,340.514,7.518,12.669
201001011630,201001011700,-9999.0,1,95.218,16.02,16.21,0.141253,-0.194477,0.100748,0.0,183.13,169.634,7.238,13.03
201001011700,201001011730,-0.100184,0,17.453,14.91,15.16,0.13458,0.227127,0.099368,0.0,49.4944,32.299,6.868,13.472
201001011730,201001011800,0.0743252,0,0.0,13.44,13.76,0.125837,0.045979,0.097485,0.0,0.0,1.035,6.378,14.62
201001011800,201001011830,0.254818,0,0.0,12.46,12.93,0.120742,-0.138425,0.096343,0.0,0.0,0.017,5.998,16.44
201001011830,201001011900,0.0580093,0,0.0,12.36,12.98,0.121047,0.058619,0.096413,0.0,0.0,-0.008,5.698,17.39
201001011900,201001011930,0.109883,0,0.0,12.01,12.7,0.119342,0.00543,0.096024,0.0,0.0,-0.016,5.46,18.256
201001011930,201001012000,0.0555035,0,0.0,11.64,12.32,0.117042,0.058029,0.095493,0.0,0.0,-0.008,5.255,18.717
201001012000,201001012030,0.206498,0,0.0,11.51,12.16,0.116077,-0.093714,0.095268,0.0,0.0,-0.025,5.082,18.774
