TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-0.355,0,0.114,0.52,-15.721,0.0,0.355,0.001239,0.008785,0.0,0.22,-3.675,71.532
200801010030,200801010100,-0.290542,0,0.11,0.51,-15.833,0.0,0.290542,0.00122,0.008479,0.0,0.212,-3.695,71.781
200801010100,200801010130,-0.490806,0,0.108,0.58,-15.261,0.0,0.490806,0.001318,0.008326,0.0,0.207,-3.715,69.379
200801010130,200801010200,-0.233722,0,0.106,0.44,-16.478,0.0,0.233722,0.001113,0.008173,0.0,0.203,-3.735,74.291
200801010200,200801010230,-0.259125,0,0.108,0.47,-16.158,0.0,0.259125,0.001165,0.008326,0.0,0.207,-3.756,73.036
200801010230,200801010300,-0.258875,0,0.108,0.46,-16.535,0.0,0.258875,0.001104,0.008326,0.0,0.207,-3.778,73.193
200801010300,200801010330,-0.271778,0,0.113,0.46,-16.556,0.0,0.271778,0.001101,0.008708,0.0,0.218,-3.799,72.699
200801010330,200801010400,-9999.0,1,0.108,0.43,-16.966,0.0,0.099566,0.001036,0.008326,0.0,0.208,-3.82,73.999
200801010400,200801010430,-9999.0,1,0.116,0.38,-17.264,0.0,0.119755,0.000991,0.008938,0.0,0.224,-3.844,76.15
200801010430,200801010500,-0.0522222,0,0.111,0.39,-16.8,0.0,0.052222,0.001062,0.008555,0.0,0.214,-3.867,76.313
200801010500,200801010530,-0.0416806,0,0.113,0.57,-15.286,0.0,0.041681,0.001314,0.008708,0.0,0.217,-3.892,69.985
200801010530,200801010600,-9999.0,1,0.116,0.48,-16.318,0.0,0.019942,0.001139,0.008938,0.0,0.223,-3.917,72.299
200801010600,200801010630,-9999.0,1,0.118,0.46,-16.517,0.0,0.030975,0.001107,0.009091,0.0,0.227,-3.944,73.252
200801010630,200801010700,-0.292597,0,0.122,0.56,-15.984,0.0,0.292597,0.001194,0.009396,0.0,0.235,-3.972,68.562
200801010700,200801010730,-0.444736,0,0.967,0.73,-14.983,0.0,0.444736,0.001367,0.070398,0.0,1.859,-4.0,61.906
200801010730,200801010800,-9999.0,1,17.925,0.75,-15.297,0.0,-0.046825,0.001312,0.621691,29.7738,34.472,-4.03,60.157
200801010800,200801010830,-9999.0,1,84.502,0.81,-15.16,0.0,-0.065687,0.001336,0.959151,138.895,162.504,-4.06,57.4
200801010830,200801010900,-9999.0,1,170.602,0.78,-15.334,0.0,0.511914,0.001305,1.03553,244.312,328.081,-4.09,58.169
200801010900,200801010930,-9999.0,1,247.256,0.65,-16.372,0.0,0.643818,0.00113,1.06124,339.237,475.492,-4.121,62.102
200801010930,200801011000,-9999.0,1,332.071,0.75,-15.349,0.0,0.398935,0.001303,1.07643,422.046,638.599,-4.15,59.918
200801011000,200801011030,-9999.0,1,398.626,0.87,-14.211,0.0,0.556904,0.001509,1.08399,491.322,766.588,-4.178,57.785
200801011030,200801011100,-9999.0,1,452.339,1.07,-12.655,0.0,0.43374,0.001816,1.08851,545.88,869.883,-4.203,54.07
200801011100,200801011130,-9999.0,1,491.425,1.26,-11.17,0.0,0.472908,0.002133,1.0912,584.787,945.049,-4.225,51.816
200801011130,200801011200,-9999.0,1,514.26,1.58,-9.349,0.0,0.504841,0.002553,1.09259,607.375,988.961,-4.245,47.748
200801011200,200801011230,-9999.0,1,521.035,1.8,-8.256,0.0,0.655907,0.00282,1.09298,613.26,1001.99,-4.26,45.428
200801011230,200801011300,-9999.0,1,510.24,2.07,-7.501,0.0,0.667722,0.003011,1.09235,602.341,981.23,-4.272,40.849
200801011300,200801011330,-9999.0,1,482.401,2.61,-5.051,0.0,0.786173,0.003663,1.09062,574.803,927.694,-4.278,37.914
200801011330,200801011400,-9999.0,1,440.688,2.15,-6.709,0.0,0.437133,0.003217,1.08762,531.119,847.476,-4.28,41.963
200801011400,200801011430,-9999.0,1,387.645,1.82,-7.649,0.0,0.484615,0.002973,1.08291,472.036,745.472,-4.277,47.423
200801011430,200801011500,-9999.0,1,319.131,2.1,-6.72,0.0,0.19008,0.003214,1.07462,398.564,613.713,-4.27,43.458
200801011500,200801011530,-9999.0,1,238.85,1.47,-9.369,0.0,0.280899,0.002548,1.05918,311.962,459.326,-4.259,51.504
200801011530,200801011600,-9999.0,1,157.25,1.32,-10.0,0.0,0.343783,0.002399,1.0287,213.71,302.404,-4.246,54.106
200801011600,200801011630,-9999.0,1,67.866,1.06,-11.263,0.0,0.002887,0.002113,0.925979,105.489,130.512,-4.233,59.107
200801011630,200801011700,-9999.0,1,13.225,1.24,-11.01,0.0,0.0311,0.002169,0.536542,10.0104,25.433,-4.221,53.135
200801011700,200801011730,-9999.0,1,0.57,1.24,-11.295,0.0,4.4e-05,0.002106,0.042592,0.0,1.096,-4.212,52.244
200801011730,200801011800,-9999.0,1,0.159,1.21,-11.6,0.0,0.001879,0.002039,0.012215,0.0,0.305,-4.205,52.253
200801011800,200801011830,-9999.0,1,0.134,0.96,-13.455,0.0,-0.077988,0.001655,0.010312,0.0,0.258,-4.202,55.795
200801011830,200801011900,-9999.0,1,0.132,0.79,-15.006,0.0,-0.051139,0.001363,0.010159,0.0,0.253,-4.203,59.106
200801011900,200801011930,-0.0440417,0,0.122,0.83,-14.847,0.0,0.044042,0.001392,0.009396,0.0,0.235,-4.21,57.3
200801011930,200801012000,-0.100556,0,0.121,0.76,-15.473,0.0,0.100556,0.001281,0.00932,0.0,0.232,-4.224,58.803
200801012000,200801012030,0.00293056,0,0.126,0.76,-15.436,0.0,-0.002931,0.001288,0.009702,0.0,0.242,-4.241,58.898
200801012030,200801012100,-0.0224444,0,0.124,0.85,-14.863,0.0,0.022444,0.001389,0.009549,0.0,0.238,-4.262,56.4
200801012100,200801012130,0.000125,0,0.12,0.88,-14.673,0.0,-0.000125,0.001424,0.009243,0.0,0.231,-4.285,55.452
200801012130,200801012200,0.0132361,0,0.117,0.85,-14.76,0.0,-0.013236,0.001408,0.009014,0.0,0.225,-4.309,56.519
200801012200,200801012230,-0.119,0,0.12,0.91,-14.334,0.0,0.119,0.001486,0.009243,0.0,0.231,-4.332,54.977
200801012230,200801012300,-0.0333472,0,0.119,0.85,-14.86,0.0,0.033347,0.00139,0.009167,0.0,0.229,-4.357,56.543
200801012300,200801012330,-0.0884861,0,0.126,0.81,-15.028,0.0,0.088486,0.001359,0.009702,0.0,0.243,-4.38,57.593
200801012330,200801020000,-0.115222,0,0.128,0.85,-14.814,0.0,0.115222,0.001398,0.009854,0.0,0.247,-4.404,56.736
200801020000,200801020030,-0.119264,0,0.121,0.9,-14.399,0.0,0.119264,0.001474,0.00932,0.0,0.233,-4.426,55.29
200801020030,200801020100,-0.0322361,0,0.113,0.9,-14.377,0.0,0.032236,0.001478,0.008708,0.0,0.218,-4.446,55.748
200801020100,200801020130,-0.188319,0,0.11,0.9,-14.293,0.0,0.188319,0.001494,0.008479,0.0,0.211,-4.468,55.629
200801020130,200801020200,-0.0746111,0,0.116,0.98,-13.827,0.0,0.074611,0.001582,0.008938,0.0,0.223,-4.49,53.904
