TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,3.0,0.0,0.52,-13.622,0.31874,-0.239183,0.378536,0.0,0.0,0.0,0.871,75.832
200401010030,200401010100,-9999.0,3.0,0.0,0.52,-13.666,0.317778,-0.240145,0.377742,0.0,0.0,0.0,0.815,75.853
200401010100,200401010130,-9999.0,3.0,0.0,0.61,-13.279,0.326247,-0.165953,0.384705,0.0,0.0,0.0,0.759,72.47
200401010130,200401010200,-9999.0,3.0,0.0,0.6,-13.399,0.323618,-0.153715,0.38255,0.0,0.0,0.0,0.77,73.055
200401010200,200401010230,-9999.0,3.0,0.0,0.68,-12.955,0.333352,-0.143965,0.390506,0.0,0.0,0.0,0.781,70.157
200401010230,200401010300,-9999.0,3.0,0.0,0.7,-12.779,0.337217,-0.100331,0.393645,0.0,0.0,0.0,0.774,69.614
200401010300,200401010330,-9999.0,3.0,0.0,0.68,-12.532,0.342647,-0.091516,0.398036,0.0,0.0,0.0,0.766,71.192
200401010330,200401010400,-9999.0,3.0,0.0,0.5,-13.371,0.324231,-0.154412,0.383053,0.0,0.0,0.0,0.787,77.59
200401010400,200401010430,-9999.0,3.0,0.0,0.43,-13.374,0.324166,-0.153167,0.383,0.0,0.0,0.0,0.808,80.453
200401010430,200401010500,-9999.0,3.0,0.0,0.42,-13.22,0.327539,-0.131873,0.385764,0.0,0.0,0.0,0.809,81.43
200401010500,200401010530,-9999.0,3.0,0.0,0.37,-12.778,0.337239,-0.100309,0.393662,0.0,0.0,0.0,0.809,84.041
200401010530,200401010600,-9999.0,3.0,0.0,0.36,-12.496,0.343439,-0.090724,0.398675,0.0,0.0,0.0,0.819,84.885
200401010600,200401010630,-9999.0,3.0,0.0,0.35,-12.155,0.350946,0.011569,0.404708,0.0,0.0,0.0,0.83,85.68
200401010630,200401010700,-9999.0,3.0,0.0,0.36,-11.766,0.359521,0.008329,0.411551,0.0,0.0,0.0,0.791,85.646
200401010700,200401010730,-9999.0,3.0,0.0,0.42,-11.357,0.368548,0.03208,0.4187,0.0,0.0,0.0,0.752,83.832
200401010730,200401010800,-9999.0,3.0,0.0,0.49,-10.818,0.380457,0.065978,0.428051,0.0,11.324,0.0,0.723,81.975
200401010800,200401010830,-9999.0,3.0,15.987,0.6,-10.269,0.392594,0.100451,0.43749,0.0,98.6166,30.745,0.694,78.98
200401010830,200401010900,-9999.0,3.0,22.951,0.65,-10.011,0.3983,-0.2842,0.441896,0.0,192.76,44.137,0.694,77.496
200401010900,200401010930,-9999.0,3.0,50.181,0.74,-9.696,0.405265,-0.18261,0.447249,0.0,276.712,96.501,0.695,74.916
200401010930,200401011000,-9999.0,3.0,85.118,0.84,-9.34,0.413136,-0.316364,0.453264,0.0,349.035,163.688,0.693,72.4
