TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,0.75,4.133,1e-06,-0.960603,1.14907,0.0,0.0,0.0,7.378,90.9
200801010030,200801010100,-9999.0,1,0.0,0.58,3.8,1e-06,-0.8488,1.13861,0.0,0.0,0.0,7.327,92.8
200801010100,200801010130,-9999.0,1,0.0,0.78,4.294,1e-06,-0.918942,1.15411,0.0,0.0,0.0,7.274,90.6
200801010130,200801010200,-9999.0,1,0.0,0.9,4.399,1e-06,-0.940462,1.1574,0.0,0.0,0.0,7.221,89.2
200801010200,200801010230,-9999.0,1,0.0,1.05,4.36,1e-06,-0.938582,1.15618,0.0,0.0,0.0,7.169,87.4
200801010230,200801010300,-9999.0,1,0.0,0.77,3.301,1e-06,0.090921,1.12284,0.0,0.0,0.0,7.114,90.0
200801010300,200801010330,-9999.0,1,0.0,0.82,3.353,1e-06,-0.248736,1.12449,0.0,0.0,0.0,7.058,89.5
200801010330,200801010400,-9999.0,1,0.0,0.8,3.168,1e-06,-1.11515,1.11863,0.0,0.0,0.0,7.008,89.6
200801010400,200801010430,-9999.0,1,0.0,0.88,3.192,1e-06,-1.11515,1.11939,0.0,0.0,0.0,6.964,88.5
200801010430,200801010500,-9999.0,1,0.0,1.33,3.498,1e-06,-0.860663,1.12908,0.0,0.0,0.0,6.917,83.0
200801010500,200801010530,-9999.0,1,0.0,1.51,3.334,1e-06,-0.248736,1.12389,0.0,0.0,0.0,6.866,80.6
200801010530,200801010600,-9999.0,1,0.0,1.43,3.254,1e-06,-0.334835,1.12135,0.0,0.0,0.0,6.819,81.4
200801010600,200801010630,-9999.0,1,0.0,1.35,2.9,1e-06,-1.22122,1.11011,0.0,0.0,0.0,6.768,82.1
200801010630,200801010700,-9999.0,1,0.0,1.94,3.809,1e-06,-0.860831,1.13889,0.0,0.0,0.0,6.719,75.8
200801010700,200801010730,-9999.0,1,0.0,2.65,5.192,1e-06,-0.692438,1.18206,0.0,0.861853,11.434,6.671,70.0
200801010730,200801010800,-9999.0,1,31.213,2.29,4.001,1e-06,-1.84537,1.14493,2.66668,76.6253,73.45,6.631,71.8
200801010800,200801010830,-9999.0,1,91.65,2.92,5.054,1e-06,6.70252,1.17778,4.08006,194.963,209.496,6.627,66.63
