TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,2,0.0,0.33,1.375,1.05187,-0.574459,1.49199,0.0,0.0,0.0,5.746,95.2
201301010030,201301010100,-9999.0,2,0.0,0.33,0.652,0.983206,-0.643124,1.4678,0.0,0.0,0.0,5.725,95.0
201301010100,201301010130,-9999.0,2,0.0,0.27,0.255,0.946578,-0.679752,1.45437,0.0,0.0,0.0,5.719,95.7
201301010130,201301010200,-9999.0,2,0.0,0.28,0.17,0.938835,-0.687495,1.45148,0.0,0.0,0.0,5.694,95.6
201301010200,201301010230,-9999.0,2,0.0,0.31,-0.079,0.916356,-0.709974,1.44299,0.0,0.0,0.0,5.684,95.0
201301010230,201301010300,-9999.0,2,0.0,0.29,-0.598,0.870472,-0.755858,1.42516,0.0,0.0,0.0,5.668,95.1
201301010300,201301010330,-9999.0,2,0.0,0.28,-0.082,0.916086,-0.710244,1.44289,0.0,0.0,0.0,5.638,95.5
201301010330,201301010400,-9999.0,2,0.073,0.27,0.489,0.968074,-0.658256,1.4623,0.000905,0.0,0.0,5.608,95.8
201301010400,201301010430,-9999.0,2,0.218,0.3,1.376,1.05197,-0.574363,1.49202,0.002701,0.0,0.0,5.595,95.7
201301010430,201301010500,-9999.0,2,0.0,0.38,2.057,1.11895,-0.507383,1.51448,0.0,0.0,0.0,5.596,94.7
201301010500,201301010530,-9999.0,2,0.0,0.41,1.841,1.09746,-0.528868,1.50739,0.0,0.0,0.0,5.618,94.2
201301010530,201301010600,-9999.0,2,0.0,0.38,1.132,1.02851,-0.597819,1.4839,0.0,0.0,0.0,5.611,94.3
201301010600,201301010630,-9999.0,2,0.0,0.35,0.501,0.969184,-0.657146,1.46271,0.0,0.0,0.0,5.605,94.6
201301010630,201301010700,-9999.0,2,0.0,0.37,0.146,0.936655,-0.689675,1.45067,0.0,0.0,0.0,5.571,94.1
201301010700,201301010730,-9999.0,2,4.676,0.44,0.081,0.930766,-0.695564,1.44845,0.056746,0.139196,5.0,5.534,93.0
201301010730,201301010800,-9999.0,2,13.479,0.59,0.345,0.954814,-0.671516,1.45743,0.157161,68.6691,40.834,5.508,90.7
201301010800,201301010830,-9999.0,3,66.087,1.39,2.777,1.19217,0.07449,1.5379,0.624272,188.357,138.542,5.484,81.5
201301010830,201301010900,-9999.0,1,146.522,2.03,4.138,1.33726,0.057221,1.58126,1.07272,298.932,287.292,5.441,75.3
201301010900,201301010930,-9999.0,3,218.696,2.71,5.493,1.49024,-2.66923,1.62327,1.33221,398.502,433.334,5.438,70.04
201301010930,201301011000,-9999.0,1,278.624,3.19,6.083,1.55946,-0.273842,1.64121,1.48954,485.363,546.667,5.448,66.1
