TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201401010000,201401010030,-9999.0,1,0.0,0.73,2.098,1.3944,0.051945,1.1912,0.0,0.0,-0.229,9.033,89.75
201401010030,201401010100,-9999.0,1,0.0,0.59,1.458,1.35114,0.008684,1.17463,0.0,0.0,-0.018,8.892,91.36
201401010100,201401010130,-9999.0,1,0.0,0.57,1.233,1.33599,-0.006475,1.16876,0.0,0.0,-0.001,8.739,91.471
201401010130,201401010200,-9999.0,1,0.0,0.42,0.826,1.30863,-0.033826,1.15806,0.0,0.0,0.0,8.595,93.65
201401010200,201401010230,-9999.0,1,0.0,0.36,1.265,1.33814,-0.004321,1.16959,0.0,0.0,0.0,8.448,94.639
201401010230,201401010300,-9999.0,1,0.0,0.35,1.098,1.3269,-0.015558,1.16522,0.0,0.0,0.0,8.319,94.783
201401010300,201401010330,-9999.0,1,0.0,0.3,0.245,1.26976,-0.072704,1.14264,0.0,0.0,0.006,8.217,95.209
201401010330,201401010400,-9999.0,1,0.0,0.26,-0.377,1.22837,-0.114091,1.12594,0.0,0.0,0.002,8.101,95.653
201401010400,201401010430,-9999.0,1,0.0,0.21,-0.829,1.19846,-0.144004,1.11367,0.0,0.0,0.0,7.992,96.383
201401010430,201401010500,-9999.0,1,0.0,0.21,0.248,1.26996,-0.072503,1.14272,0.0,0.0,0.0,7.877,96.653
201401010500,201401010530,-9999.0,1,0.0,0.21,-0.206,1.23972,-0.102738,1.13055,0.0,0.0,0.0,7.769,96.553
201401010530,201401010600,-9999.0,1,0.0,0.21,-0.252,1.23667,-0.105794,1.12931,0.0,0.0,0.0,7.685,96.643
201401010600,201401010630,-9999.0,1,0.0,0.19,-0.383,1.22797,-0.114489,1.12578,0.0,0.0,0.0,7.606,96.809
201401010630,201401010700,-9999.0,1,0.0,0.17,-1.149,1.17737,-0.165093,1.10492,0.0,0.0,0.309,7.547,96.983
201401010700,201401010730,-9999.0,1,4.137,0.17,-0.739,1.2044,-0.138059,1.11612,0.0,0.139445,15.0,7.465,97.083
201401010730,201401010800,-9999.0,2,48.896,0.17,-1.013,1.18632,-0.30521,1.10864,0.0,68.6771,84.666,7.383,97.117
201401010800,201401010830,-9999.0,2,111.96,0.22,1.415,1.34824,-0.123845,1.17351,0.0,188.366,240.169,7.221,96.842
201401010830,201401010900,-9999.0,3,168.83,0.31,3.118,1.46375,0.525022,1.21717,0.0,298.942,420.486,7.115,95.965
201401010900,201401010930,-9999.0,3,247.08,1.33,5.426,1.62209,1.00457,1.27403,0.0,398.513,573.533,7.112,85.273
201401010930,201401011000,-9999.0,2,325.04,2.69,7.086,1.73685,-0.166366,1.31333,0.0,485.375,707.178,7.144,73.381
201401011000,201401011030,-9999.0,3,396.49,4.38,8.644,1.84494,-0.654976,1.34905,0.0,558.041,811.758,7.2,60.979
201401011030,201401011100,-9999.0,2,444.14,5.68,10.22,1.95447,0.350984,1.38407,0.0,615.269,892.468,7.29,54.443
201401011100,201401011130,-9999.0,2,479.98,6.34,11.065,2.01321,0.406203,1.4024,0.0,656.079,963.664,7.433,51.902
201401011130,201401011200,-9999.0,2,491.29,6.99,12.133,2.08742,0.426304,1.42515,0.0,679.774,989.739,7.637,50.602
201401011200,201401011230,-9999.0,1,487.0,7.96,13.175,2.15972,1.07978,1.44688,0.0,685.947,982.786,7.884,47.453
201401011230,201401011300,-9999.0,1,489.9,9.18,14.094,2.2234,1.17683,1.46568,0.0,674.492,994.3,8.155,42.92
201401011300,201401011330,-9999.0,1,454.22,11.14,15.067,2.29067,1.19012,1.48523,0.0,645.607,931.795,8.437,34.913
201401011330,201401011400,-9999.0,2,333.35,11.72,15.426,2.31545,0.41224,1.49235,0.0,599.785,698.617,8.713,33.122
201401011400,201401011430,-9999.0,2,284.29,12.15,16.242,2.37168,0.544353,1.50835,0.0,537.811,596.842,9.036,34.174
201401011430,201401011500,-9999.0,2,168.24,12.09,16.416,2.38366,0.556066,1.51173,0.0,460.743,365.197,9.323,35.248
201401011500,201401011530,-9999.0,2,142.74,10.73,15.458,2.31766,0.917078,1.49298,0.0,369.903,305.159,9.629,38.87
201401011530,201401011600,-9999.0,2,81.602,9.55,14.774,2.27043,0.687168,1.47938,0.0,266.842,178.86,9.845,43.186
201401011600,201401011630,-9999.0,2,49.257,9.64,14.511,2.25225,0.760716,1.47411,0.0,153.326,93.068,10.024,41.637
201401011630,201401011700,-9999.0,1,7.239,8.41,13.527,2.18412,0.841664,1.45412,0.0,35.2837,19.69,10.162,45.745
