TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,1,0.075,0.02,6.61,0.731603,-0.156697,3.98231,0.007822,0.0,0.027,1.096,99.863
201101010030,201101010100,-9999.0,1,0.018,0.02,6.465,0.728423,-0.159893,3.97187,0.001882,0.0,0.026,1.089,99.864
201101010100,201101010130,-9999.0,1,0.055,0.02,6.372,0.726381,-0.161945,3.96516,0.005742,0.0,0.027,1.092,99.86
201101010130,201101010200,-9999.0,1,0.03,0.02,6.445,0.727984,-0.160334,3.97043,0.003135,0.0,0.028,1.091,99.884
201101010200,201101010230,-9999.0,1,0.019,0.01,6.552,0.730331,-0.157975,3.97814,0.001987,0.0,0.026,1.07,99.912
201101010230,201101010300,-9999.0,1,0.002,0.01,6.497,0.729125,-0.159187,3.97418,0.000209,0.0,0.026,1.079,99.918
201101010300,201101010330,-9999.0,1,0.047,0.01,6.492,0.729015,-0.159298,3.97382,0.004908,0.0,0.027,1.088,99.932
201101010330,201101010400,-9999.0,1,0.0,0.01,6.437,0.727808,-0.16051,3.96985,0.0,0.0,0.027,1.084,99.933
201101010400,201101010430,-9999.0,1,0.009,0.01,6.241,0.723503,-0.102284,3.95569,0.000941,0.0,0.025,1.142,99.906
201101010430,201101010500,-9999.0,1,0.073,0.01,6.423,0.727501,-0.160819,3.96885,0.007614,0.0,0.026,1.086,99.96
201101010500,201101010530,-9999.0,1,0.019,0.01,6.703,0.733641,-0.154649,3.98899,0.001987,0.0,0.026,1.082,99.992
201101010530,201101010600,-9999.0,1,0.0,0.01,6.769,0.735086,-0.153197,3.99372,0.0,0.0,0.027,1.08,99.993
201101010600,201101010630,-9999.0,1,0.0,0.01,6.979,0.739679,-0.148583,4.00874,0.0,0.0,0.027,1.079,99.993
201101010630,201101010700,-9999.0,1,0.322,0.01,6.403,0.727062,-0.161261,3.9674,0.033219,0.0,0.028,1.07,99.905
201101010700,201101010730,-9999.0,1,0.936,0.67,5.332,0.703449,0.066537,3.88926,0.094019,0.0,0.026,1.097,92.574
201101010730,201101010800,1.22563,0,0.448,1.7,5.379,0.70449,-0.496503,3.89273,0.045962,0.0,0.041,1.077,81.113
201101010800,201101010830,0.406759,0,1.403,1.69,5.468,0.706459,0.324349,3.89928,0.13816,1.24714,1.371,1.095,81.388
