TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200101010000,200101010030,-9999.0,1,0.0,0.43,4.33,2.03583,-1.8418,2.57029,0.0,0.0,0.0,5.033,94.9
200101010030,200101010100,-9999.0,1,0.0,0.4,3.582,2.00006,-1.91023,2.53208,0.0,0.0,0.0,4.702,95.0
200101010100,200101010130,-9999.0,1,0.0,0.32,3.744,2.00785,-1.85277,2.5404,0.0,0.0,0.0,4.72,96.1
200101010130,200101010200,7.86188,0,0.0,0.49,4.008,2.02048,-5.8414,2.55391,0.0,0.0,0.0,4.722,94.0
200101010200,200101010230,4.53541,0,0.0,0.57,4.011,2.02063,-2.51478,2.55406,0.0,0.0,0.0,4.688,93.1
200101010230,200101010300,-9999.0,1,0.0,0.64,3.779,2.00953,-1.69379,2.5422,0.0,0.0,0.0,4.587,92.1
200101010300,200101010330,-9999.0,1,0.0,0.32,2.711,1.95787,-1.97159,2.48687,0.0,0.0,0.0,4.149,95.8
200101010330,200101010400,-9999.0,1,0.0,0.19,2.569,1.95094,-2.07983,2.47942,0.0,0.0,0.0,3.996,97.5
200101010400,200101010430,-9999.0,1,0.0,0.32,2.926,1.96834,-1.9011,2.4981,0.0,0.0,0.0,4.086,95.8
200101010430,200101010500,-9999.0,1,0.0,0.4,2.872,1.96572,-1.95564,2.49529,0.0,0.0,0.0,4.015,94.8
200101010500,200101010530,4.46821,0,0.0,0.49,2.979,1.97092,-2.49729,2.50087,0.0,0.0,0.0,4.197,93.6
200101010530,200101010600,-9999.0,1,0.0,0.55,3.366,1.98966,2.06484,2.52094,0.0,0.0,0.0,4.106,93.0
200101010600,200101010630,-9999.0,1,0.0,0.48,2.882,1.9662,0.262012,2.49581,0.0,0.0,0.0,3.95,93.7
200101010630,200101010700,-9999.0,1,0.0,0.56,2.853,1.96479,-1.95656,2.4943,0.0,0.0,0.0,3.975,92.6
200101010700,200101010730,-9999.0,1,3.56,0.87,3.18,1.98066,-1.71809,2.51131,0.152601,0.891562,12.882,4.113,88.7
200101010730,200101010800,1.79456,0,13.66,1.28,4.035,2.02177,0.227214,2.55529,0.572534,76.8655,34.849,4.436,84.4
200101010800,200101010830,-9999.0,1,44.38,1.18,3.986,2.01943,-0.225467,2.55279,1.74239,195.233,101.67,4.438,85.5
200101010830,200101010900,-9999.0,1,201.1,1.75,6.01,2.11456,13.6031,2.65404,5.96841,304.329,442.53,5.39,81.4
200101010900,200101010930,-11.5365,0,235.1,2.16,8.29,2.21796,13.7545,2.7633,6.62663,402.288,516.48,6.744,80.3
200101010930,200101011000,-15.8651,0,312.9,2.28,9.33,2.26384,18.1289,2.81152,7.90944,487.433,685.7,8.014,80.6
200101011000,200101011030,-14.927,0,346.3,2.57,9.93,2.28994,17.2169,2.83888,8.38237,558.308,758.34,9.13,79.0
200101011030,200101011100,-19.4787,0,406.7,4.01,11.82,2.37046,21.8492,2.923,9.14299,613.7,889.71,10.553,71.1
200101011100,200101011130,-18.8028,0,471.0,6.46,14.07,2.46302,21.2658,3.01917,9.84201,652.66,1029.6,12.057,59.82
200101011130,200101011200,-21.1972,0,492.5,7.92,15.04,2.50185,23.6991,3.05934,10.0543,674.524,1076.3,13.273,53.72
200101011200,200101011230,-9999.0,1,475.9,9.23,16.281,2.55061,15.7251,3.10965,9.89126,678.915,1040.2,14.257,50.17
200101011230,200101011300,-9999.0,1,447.9,8.05,15.76,2.53027,17.6922,3.08868,9.60253,665.76,979.32,14.34,55.06
200101011300,200101011330,-9999.0,1,435.8,7.83,15.74,2.52948,17.9716,3.08787,9.47204,635.282,953.0,14.497,56.24
200101011330,200101011400,-9999.0,1,406.1,7.78,15.67,2.52673,16.2239,3.08503,9.13597,588.005,888.41,14.52,56.32
200101011400,200101011430,-9999.0,1,365.3,8.32,15.97,2.53849,11.5972,3.09716,8.63392,524.736,799.67,14.52,54.19
200101011430,200101011500,-9999.0,1,300.8,8.0,16.0,2.53966,9.7989,3.09836,7.72759,446.559,659.38,14.307,56.01
200101011500,200101011530,-9999.0,1,231.0,7.8,15.94,2.53732,9.38703,3.09595,6.55079,354.81,507.56,13.837,56.94
200101011530,200101011600,-9999.0,1,139.2,6.41,14.88,2.49549,7.87531,3.05277,4.57202,251.061,307.9,13.033,62.12
200101011600,200101011630,-9999.0,1,69.85,5.44,13.83,2.45331,2.57361,3.00911,2.60564,137.085,157.06,12.01,65.65
200101011630,200101011700,-9999.0,1,12.06,3.97,12.0,2.37799,-1.0118,2.93086,0.507258,24.0264,31.37,10.633,71.7
200101011700,200101011730,-9999.0,1,0.0,2.09,9.4,2.2669,1.36033,2.81473,0.0,0.0,0.0,9.237,82.3
200101011730,200101011800,-9999.0,1,0.0,1.3,7.95,2.20279,0.461873,2.74732,0.0,0.0,0.0,8.174,87.9
200101011800,200101011830,-9999.0,1,0.0,0.82,7.15,2.16675,0.240424,2.70929,0.0,0.0,0.0,7.49,91.9
200101011830,200101011900,-9999.0,1,0.0,0.66,6.321,2.1289,-0.541502,2.66924,0.0,0.0,0.0,6.998,93.1
200101011900,200101011930,-9999.0,1,0.0,0.55,5.988,2.11354,-0.708877,2.65296,0.0,0.0,0.0,6.812,94.2
200101011930,200101012000,-9999.0,1,0.0,0.56,5.832,2.10632,-1.08232,2.6453,0.0,0.0,0.0,6.575,94.0
200101012000,200101012030,-9999.0,1,0.0,0.54,5.595,2.09531,-1.37519,2.63361,0.0,0.0,0.0,6.286,94.1
200101012030,200101012100,-9999.0,1,0.0,0.71,5.787,2.10424,-1.14469,2.64308,0.0,0.0,0.0,6.153,92.4
200101012100,200101012130,-9999.0,1,0.0,0.77,5.313,2.08216,-1.41774,2.61963,0.0,0.0,0.0,5.802,91.4
200101012130,200101012200,-9999.0,1,0.0,0.47,4.548,2.04616,-1.59092,2.58131,0.0,0.0,0.0,5.459,94.5
