TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,0.041,0.0,0.0,0.07,-18.241,0.276859,0.235859,0.582645,0.0,0.0,0.0,0.695,95.257
201301010030,201301010100,0.033,0.0,0.0,0.08,-18.374,0.27365,0.24065,0.577622,0.0,0.0,0.0,0.665,94.779
201301010100,201301010130,1.158,0.0,0.0,0.03,-18.339,0.274494,-0.883506,0.578944,0.0,0.0,0.0,0.74,98.528
201301010130,201301010200,-9999.0,1.0,0.0,0.03,-18.105,0.280147,-0.312353,0.587777,0.0,0.0,0.0,0.666,98.232
201301010200,201301010230,-9999.0,1.0,0.0,0.03,-18.008,0.282496,-0.310004,0.591434,0.0,0.0,0.0,0.494,98.205
201301010230,201301010300,-9999.0,1.0,0.0,0.04,-18.02,0.282205,-0.310295,0.590982,0.0,0.0,0.0,0.5,97.442
201301010300,201301010330,-9999.0,1.0,0.0,0.09,-17.978,0.283223,-0.309277,0.592564,0.0,0.0,0.0,0.557,94.633
201301010330,201301010400,-9999.0,1.0,0.0,0.11,-17.932,0.284339,-0.308161,0.594297,0.0,0.0,0.0,0.589,93.158
201301010400,201301010430,-9999.0,1.0,0.0,0.14,-18.336,0.274566,-0.317934,0.579057,0.0,0.0,0.0,0.586,90.846
201301010430,201301010500,-9999.0,1.0,0.0,0.12,-19.005,0.258521,-0.631479,0.553729,0.0,0.0,0.0,0.592,91.857
201301010500,201301010530,-9999.0,1.0,0.0,0.11,-19.243,0.252858,-0.637142,0.544694,0.0,0.0,0.0,0.592,92.16
201301010530,201301010600,-9999.0,1.0,0.0,0.1,-19.591,0.244625,-0.645375,0.531465,0.0,0.0,0.0,0.58,92.376
201301010600,201301010630,-9999.0,1.0,0.0,0.1,-20.119,0.232247,-0.657753,0.511359,0.0,0.0,0.0,0.556,92.639
201301010630,201301010700,-9999.0,1.0,0.0,0.1,-20.373,0.226346,-0.468654,0.501675,0.0,0.0,0.0,0.523,92.253
201301010700,201301010730,-9999.0,1.0,0.0,0.1,-20.5,0.223408,-0.471592,0.496832,0.0,0.0,0.0,0.665,91.934
201301010730,201301010800,-9999.0,1.0,22.115,0.11,-20.449,0.224587,-0.297277,0.498777,0.113866,9.44393,0.0,0.563,91.331
201301010800,201301010830,-9999.0,1.0,121.824,0.18,-20.175,0.230943,-0.194962,0.509224,0.40145,95.5438,251.387,0.425,85.992
201301010830,201301010900,-9999.0,2.0,210.25,0.2,-19.133,0.255472,0.414972,0.548872,0.52518,191.374,433.854,0.448,85.873
201301010900,201301010930,-0.007,0.0,290.59,0.09,-18.43,0.272301,0.279301,0.575505,0.595034,277.086,599.638,0.495,94.17
201301010930,201301011000,-0.439,0.0,353.833,0.05,-17.851,0.286305,0.725305,0.597347,0.634511,351.214,730.141,0.529,97.115
201301011000,201301011030,0.056,0.0,395.877,0.06,-17.0,0.307089,0.251089,0.629263,0.65574,412.489,816.9,0.506,96.682
201301011030,201301011100,0.824,0.0,430.928,0.05,-16.192,0.327005,-0.496995,0.659329,0.671111,459.863,889.23,0.428,97.662
201301011100,201301011130,0.084,0.0,465.293,0.22,-15.22,0.351144,0.267144,0.695147,0.684494,492.525,960.142,0.391,88.563
201301011130,201301011200,-0.046,0.0,497.79,0.36,-14.132,0.378331,0.424331,0.734736,0.695854,509.917,1027.2,0.383,82.563
201301011200,201301011230,0.226,0.0,447.609,0.52,-13.578,0.392218,0.166218,0.754675,0.677798,511.74,923.65,0.374,76.088
201301011230,201301011300,0.977,0.0,397.053,0.57,-13.08,0.404717,-0.572283,0.772466,0.656288,497.964,819.327,0.382,74.797
201301011300,201301011330,-0.193,0.0,359.471,0.61,-12.411,0.42152,0.61452,0.796162,0.637559,468.825,741.776,0.512,74.633
201301011330,201301011400,0.287,0.0,317.445,0.74,-11.587,0.442216,0.155216,0.825017,0.613088,424.82,655.053,0.518,70.956
201301011400,201301011430,0.151,0.0,266.396,0.97,-11.298,0.449471,0.298471,0.835049,0.5768,366.703,549.713,0.338,62.943
201301011430,201301011500,-0.095,0.0,205.178,0.97,-11.209,0.451704,0.546704,0.838129,0.519725,295.469,423.39,0.355,62.99
201301011500,201301011530,0.058,0.0,138.411,1.05,-11.051,0.455668,0.397668,0.843586,0.430339,212.335,285.614,0.421,60.544
201301011530,201301011600,1.014,0.0,72.124,1.01,-11.383,0.447337,-0.566663,0.832103,0.289644,118.725,148.828,0.427,60.977
201301011600,201301011630,-0.412,0.0,18.341,0.81,-12.394,0.421947,0.833947,0.796761,0.096488,22.6914,37.847,0.454,66.243
201301011630,201301011700,0.887,0.0,0.0,0.71,-13.232,0.400901,-0.486099,0.767049,0.0,0.0,0.0,0.483,68.263
201301011700,201301011730,-9999.0,1.0,0.0,0.6,-13.43,0.395931,-0.041783,0.759976,0.0,0.0,0.0,0.476,72.577
201301011730,201301011800,-9999.0,1.0,0.0,0.5,-13.207,0.401528,-0.047597,0.767941,0.0,0.0,0.0,0.464,77.538
201301011800,201301011830,1.445,0.0,0.0,0.44,-13.219,0.401227,-1.04377,0.767513,0.0,0.0,0.0,0.464,80.24
201301011830,201301011900,1.571,0.0,0.0,0.34,-13.209,0.401478,-1.16952,0.76787,0.0,0.0,0.0,0.43,84.936
201301011900,201301011930,-0.049,0.0,0.01,0.28,-13.156,0.402809,0.451809,0.769759,5.9e-05,0.0,0.0,0.47,87.603
201301011930,201301012000,-0.313,0.0,0.0,0.19,-13.104,0.404114,0.717114,0.771612,0.0,0.0,0.0,0.519,91.716
201301012000,201301012030,1.691,0.0,0.0,0.14,-13.013,0.406399,-1.2846,0.77485,0.0,0.0,0.0,0.366,93.886
201301012030,201301012100,0.752,0.0,0.0,0.11,-13.046,0.405571,-0.346429,0.773676,0.0,0.0,0.0,0.353,95.436
201301012100,201301012130,0.105,0.0,0.0,0.07,-12.967,0.407555,0.302555,0.776485,0.0,0.0,0.0,0.419,97.219
