TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,1.071,0,0.0,1.31,4.823,0.946568,-0.142545,2.02243,0.0,0.0,0.0,4.997,84.911
201201010030,201201010100,-9999.0,1,0.0,1.13,4.487,0.921255,0.330992,2.00924,0.0,0.0,0.0,5.011,86.649
201201010100,201201010130,-9999.0,1,0.0,0.98,4.059,0.889519,0.304242,1.99231,0.0,0.0,0.0,4.993,88.01
201201010130,201201010200,-9999.0,1,0.0,0.93,3.932,0.880212,0.288431,1.98726,0.0,0.0,0.0,4.958,88.633
201201010200,201201010230,-9999.0,1,0.0,0.92,3.891,0.877218,0.284339,1.98563,0.0,0.0,0.0,4.971,88.635
201201010230,201201010300,-9999.0,1,0.0,0.95,3.907,0.878386,0.275549,1.98626,0.0,0.0,0.0,4.955,88.318
201201010300,201201010330,-9999.0,1,0.0,0.96,3.91,0.878605,0.273444,1.98638,0.0,0.0,0.0,4.961,88.207
201201010330,201201010400,-9999.0,1,0.0,1.04,4.148,0.896071,0.298588,1.99584,0.0,0.0,0.0,4.907,87.397
201201010400,201201010430,-9999.0,1,0.0,1.17,4.497,0.922003,0.331722,2.00963,0.0,0.0,0.0,4.932,86.122
201201010430,201201010500,-9999.0,1,0.0,1.31,4.77,0.942553,0.340468,2.02035,0.0,0.0,0.0,4.91,84.854
201201010500,201201010530,-9999.0,1,0.0,1.5,5.204,0.975695,0.364869,2.03728,0.0,0.0,0.0,4.881,83.139
201201010530,201201010600,-9999.0,1,0.0,1.82,5.895,1.02966,0.404246,2.06392,0.0,0.0,0.0,4.898,80.498
201201010600,201201010630,-9999.0,1,0.0,1.76,6.219,1.05546,0.380852,2.07628,0.0,0.0,0.0,4.928,81.497
201201010630,201201010700,-9999.0,1,0.0,2.12,6.793,1.10195,0.314807,2.09799,0.0,0.0,0.0,4.89,78.551
201201010700,201201010730,0.913,0,0.0,2.64,7.559,1.16551,0.228879,2.12658,0.0,0.0,0.0,4.88,74.713
201201010730,201201010800,-1.1412,0,0.0,2.73,7.753,1.18189,2.29903,2.13375,0.0,0.0,0.0,4.919,74.197
201201010800,201201010830,-0.591028,0,7.752,3.03,8.152,1.2159,1.78199,2.14842,0.0,44.398,21.865,4.892,72.055
201201010830,201201010900,0.68025,0,33.09,3.14,8.482,1.24439,0.538457,2.16046,0.0,156.071,64.496,4.923,71.674
201201010900,201201010930,0.952778,0,31.947,3.2,8.759,1.26854,0.289447,2.1705,0.0,259.752,63.114,4.927,71.698
201201010930,201201011000,0.924843,0,64.663,3.24,9.04,1.29326,0.341455,2.18064,0.0,352.668,130.488,4.918,71.855
201201011000,201201011030,1.05454,0,96.263,3.14,9.113,1.29972,0.218046,2.18326,0.0,433.229,194.39,4.938,72.923
201201011030,201201011100,0.418731,0,83.071,2.96,9.12,1.30034,0.854459,2.18351,0.0,500.058,171.92,4.99,74.422
201201011100,201201011130,4.12294,0,18.101,2.9,9.196,1.30708,-2.84319,2.18624,0.0,552.011,42.733,4.946,75.111
201201011130,201201011200,-9999.0,1,104.942,2.9,8.28,1.22691,0.541636,2.1531,0.0,588.199,220.389,5.154,73.483
201201011200,201201011230,-9999.0,1,67.365,1.68,6.687,1.09329,0.416221,2.094,0.0,608.002,148.369,5.062,82.894
201201011230,201201011300,-9999.0,1,46.753,1.72,6.148,1.04978,0.247555,2.07358,0.0,611.082,105.161,5.004,81.816
