TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201401010000,201401010030,-0.136,0,0.0,8.06,8.44,0.220538,0.356538,0.078738,0.0,0.0,-0.288,3.6,27.156
201401010030,201401010100,-0.0839491,0,0.0,8.03,8.32,0.21811,0.302059,0.077471,0.0,0.0,-0.211,3.4,26.767
201401010100,201401010130,0.269271,0,0.0,6.17,5.688,0.168896,-0.100375,0.053261,0.0,0.0,-0.235,3.2,32.62
201401010130,201401010200,-9999.0,1,0.0,5.68,4.966,0.15673,-0.012455,0.047735,0.0,0.0,-0.163,2.9,34.827
201401010200,201401010230,-9999.0,1,0.0,4.71,3.514,0.133964,0.075586,0.037928,0.0,0.0,-0.226,2.6,40.164
201401010230,201401010300,-9999.0,1,0.0,4.56,3.229,0.129759,0.066173,0.036197,0.0,0.0,-0.081,2.4,40.825
201401010300,201401010330,-9999.0,1,0.0,4.49,3.105,0.127956,0.076095,0.035462,0.0,0.0,-0.033,2.2,41.303
201401010330,201401010400,-9999.0,1,0.0,4.79,3.547,0.134457,0.054063,0.038133,0.0,0.0,-0.057,1.9,39.233
201401010400,201401010430,-9999.0,1,0.0,5.0,3.744,0.13742,0.038183,0.039371,0.0,0.0,-0.033,1.7,37.503
201401010430,201401010500,-9999.0,1,0.0,5.52,4.537,0.149768,-0.0157,0.044661,0.0,0.0,-0.033,1.6,34.75
201401010500,201401010530,-9999.0,1,0.0,6.18,5.576,0.166972,-0.025822,0.052375,0.0,0.0,-0.048,1.6,31.949
201401010530,201401010600,-9999.0,1,0.0,6.13,5.513,0.165895,-0.019466,0.051881,0.0,0.0,-0.062,1.3,32.244
201401010600,201401010630,-9999.0,1,0.0,4.22,2.459,0.118823,0.110556,0.031816,0.0,0.0,-0.062,1.1,42.267
201401010630,201401010700,-0.389938,0,0.0,4.96,3.638,0.13582,0.525758,0.038701,0.0,0.0,-0.043,0.9,37.532
201401010700,201401010730,-0.109426,0,0.0,5.98,5.239,0.161263,-0.011144,0.049772,0.0,2.27993,8.154,0.8,32.616
201401010730,201401010800,0.00409491,0,49.15,5.45,4.49,0.149018,0.100345,0.044333,0.0,94.2321,61.143,0.8,35.304
201401010800,201401010830,-9999.0,2,144.3,6.3,6.018,0.174647,0.527131,0.055939,0.0,227.177,206.878,1.1,32.812
201401010830,201401010900,-9999.0,2,238.7,8.93,9.66,0.246141,0.52178,0.092486,0.0,351.213,373.968,1.9,25.585
201401010900,201401010930,-9999.0,1,330.3,10.43,11.38,0.285094,0.353981,0.1147,0.0,464.218,539.392,3.5,22.568
201401010930,201401011000,-9999.0,1,416.9,11.94,12.82,0.320285,0.240114,0.136029,0.0,564.258,696.78,5.7,19.364
201401011000,201401011030,-9999.0,1,492.4,13.12,13.89,0.347956,0.339588,0.153589,0.0,649.622,836.92,7.8,17.309
201401011030,201401011100,-9999.0,1,555.6,13.58,14.36,0.360519,0.320938,0.161782,0.0,718.849,955.5,9.9,17.016
201401011100,201401011130,-9999.0,1,604.1,14.48,15.22,0.384152,0.185,0.177555,0.0,770.755,1048.6,12.0,16.266
201401011130,201401011200,0.795211,0,636.0,15.12,15.7,0.397703,-0.397508,0.186808,0.0,804.451,1112.3,13.9,15.223
201401011200,201401011230,0.0324514,0,652.4,15.48,16.05,0.407747,0.375296,0.193761,0.0,819.362,1149.54,15.5,15.105
201401011230,201401011300,0.445588,0,649.7,16.12,16.64,0.424987,-0.020601,0.205882,0.0,815.231,1154.44,16.7,14.855
201401011300,201401011330,-0.0447014,0,631.5,16.49,16.95,0.434201,0.478902,0.212455,0.0,792.13,1128.96,17.6,14.638
201401011330,201401011400,0.0603056,0,595.6,16.88,17.22,0.442312,0.382007,0.218296,0.0,750.453,1074.08,18.1,14.059
201401011400,201401011430,0.209519,0,541.4,17.39,17.6,0.453865,0.244346,0.2267,0.0,690.915,987.84,18.4,13.576
201401011430,201401011500,0.194451,0,473.5,17.86,17.96,0.464957,0.270506,0.234864,0.0,614.533,875.14,18.3,13.218
201401011500,201401011530,0.190727,0,393.6,18.18,18.22,0.473056,0.282329,0.240883,0.0,522.614,735.98,18.0,13.123
201401011530,201401011600,0.30888,0,303.0,18.61,18.48,0.481229,0.172349,0.247005,0.0,416.732,574.574,17.3,12.511
201401011600,201401011630,0.232988,0,205.4,18.44,18.28,0.474936,0.241948,0.242287,0.0,298.698,397.194,15.7,12.203
201401011630,201401011700,0.113076,0,106.8,17.69,17.72,0.457547,0.344471,0.2294,0.0,170.531,215.6,14.2,12.729
201401011700,201401011730,0.128914,0,19.85,16.03,16.4,0.417928,0.078221,0.20089,0.0,38.9126,52.509,12.8,14.059
201401011730,201401011800,-9999.0,1,0.0,13.98,14.73,0.370585,0.081012,0.168443,0.0,0.0,1.413,11.4,16.584
201401011800,201401011830,-9999.0,1,0.0,12.39,13.33,0.333313,0.067139,0.144212,0.0,0.0,-0.864,10.3,19.069
201401011830,201401011900,-9999.0,1,0.0,11.42,12.44,0.31077,0.038957,0.130148,0.0,0.0,-0.86,9.6,20.885
201401011900,201401011930,-9999.0,1,0.0,11.25,12.3,0.307306,0.035493,0.128028,0.0,0.0,-0.86,8.9,21.385
201401011930,201401012000,-9999.0,1,0.0,9.29,10.23,0.258678,0.015991,0.099469,0.0,0.0,-0.831,8.3,25.549
201401012000,201401012030,-9999.0,1,0.0,7.77,8.45,0.220741,-0.06275,0.078844,0.0,0.0,-0.822,7.6,29.823
201401012030,201401012100,-9999.0,1,0.0,7.16,7.7,0.205824,-0.088464,0.071161,0.0,0.0,-0.687,7.1,31.888
201401012100,201401012130,-9999.0,1,0.0,6.69,7.0,0.192467,-0.054728,0.064498,0.0,0.0,-0.519,6.6,33.302
