TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,3.09,8.695,1e-06,-0.032318,0.439454,0.0,0.0,-0.866,7.203,72.531
200501010030,200501010100,-0.290926,0,0.0,3.12,8.459,1e-06,0.290927,0.437718,0.0,0.0,-0.862,7.071,71.865
200501010100,200501010130,-0.192296,0,0.0,3.5,8.496,1e-06,0.192297,0.43799,0.0,0.0,-0.873,6.984,68.504
200501010130,200501010200,-9999.0,1,0.0,3.28,7.941,1e-06,0.017263,0.433878,0.0,0.0,-0.877,6.639,69.34
200501010200,200501010230,-9999.0,1,0.0,2.86,7.204,1e-06,0.01313,0.428347,0.0,0.0,-0.873,6.553,71.882
200501010230,200501010300,-9999.0,1,0.0,3.04,7.249,1e-06,0.01313,0.428687,0.0,0.0,-0.877,4.77,70.217
200501010300,200501010330,-9999.0,1,0.0,2.65,6.734,1e-06,0.007225,0.424777,0.0,0.0,-0.877,4.44,73.148
200501010330,200501010400,-9999.0,1,0.0,2.82,7.387,1e-06,0.018346,0.429728,0.0,0.0,-0.877,4.18,72.682
200501010400,200501010430,-9999.0,1,0.0,2.44,6.824,1e-06,0.015309,0.425463,0.0,0.0,-0.877,3.915,75.438
200501010430,200501010500,-9999.0,1,0.0,2.33,6.739,1e-06,0.0292,0.424815,0.0,0.0,-0.877,3.68,76.407
200501010500,200501010530,-9999.0,1,0.0,1.75,5.713,1e-06,0.165026,0.416905,0.0,0.0,-0.877,3.48,81.001
200501010530,200501010600,-9999.0,1,0.0,1.99,6.473,1e-06,0.093515,0.42278,0.0,0.0,-0.877,3.32,79.473
200501010600,200501010630,-9999.0,1,0.0,1.92,6.328,1e-06,0.093515,0.421666,0.0,0.0,-0.877,3.105,79.979
200501010630,200501010700,-9999.0,1,0.0,1.68,5.92,1e-06,0.113328,0.418514,0.0,0.0,-0.877,2.95,82.028
